"COMID"	"Al2O3Cat"	"Al2O3Ws"	"BFICat"	"BFIWs"	"CompStrgthCat"	"CompStrgthWs"	"KffactCat"	"KffactWs"	"Na2OWs"	"PctSilicicWs"	"SandCat"	"SandWs"	"SiO2Cat"	"SiO2Ws"	"Tmax8110Cat"	"Tmax8110Ws"	"Tmean08Cat"	"Tmean08Ws"	"Tmean09Cat"	"Tmean09Ws"	"Tmean8110Cat"	"Tmean8110Ws"	"Tmin8110Cat"	"Tmin8110Ws"	"WtDepCat"	"WtDepWs"	"CaOCat"	"CaOWs"	"CatAreaSqKm"	"CatAreaSqKmRp100"	"ClayCat"	"ClayWs"	"Fe2O3Cat"	"Fe2O3Ws"	"HydrlCondCat"	"HydrlCondWs"	"K2OCat"	"MgOCat"	"MgOWs"	"Na2OCat"	"OmCat"	"OmWs"	"PctNonCarbResidCat"	"PctNonCarbResidWs"	"PctSilicicCat"	"PermCat"	"PermWs"	"Precip08Cat"	"Precip08Ws"	"Precip09Cat"	"Precip09Ws"	"Precip8110Cat"	"Precip8110Ws"	"QC_01"	"QC_02"	"QC_03"	"QC_04"	"QC_05"	"QC_06"	"QC_07"	"QC_08"	"QC_09"	"QC_10"	"QC_11"	"QC_12"	"QC_MA"	"RckDepCat"	"RckDepWs"	"RunoffCat"	"RunoffWs"	"WetIndexCat"	"WetIndexWs"	"WsAreaSqKm"	"WsAreaSqKmRp100"	"ElevCat"	"ElevWs"	"K2OWs"	"NCat"	"NWs"	"P2O5Cat"	"P2O5Ws"	"SCat"	"SLOPE"	"SWs"	"clust"
21746325	7.070423	7.963163	28.22802	31.55241	69.65071	102.6949	0.3399893	0.2695006	1.193597	31.26676	40.03315	34.22977	45.71282	48.88979	20.98836	18.25968	12.38165	9.852268	12.49835	9.948555	12.43285	9.933143	3.873221	1.601566	182.3467	182.88	2.613549	2.71392	2.730444	0.816161	3.049273	3.42413	1.233052	1.579475	0.1444718	1.044539	0.9132718	1.736296	1.567864	0.3444959	0.4607984	0.3917592	4.613317	2.972513	0	1.471094	1.385331	5.159032	6.06712	4.756817	5.615827	5.392037	6.058798	3.111157	4.005222	4.607448	3.930806	2.960778	1.851599	2.384534	2.885527	2.615277	2.763737	2.282178	2.153273	3.392964	4.717835	4.754634	3.850148	3.830316	6.251657	6.243948	6.405682	4.569253	40.16422	44.27896	1.181756	0.2792418	0.2046185	0.3640305	0.4178712	1.50028	0.05452733	0.6524381	"4"
21746327	4.732853	7.363915	28	28.8275	101.7909	71.27737	0.3334301	0.3006094	0.4516592	1.065258	40.59598	37.1787	46.68939	47.25382	21.14699	20.14594	12.48815	11.74845	12.60776	11.89076	12.56163	11.65586	3.971103	3.159806	182.969	182.88	2.91513	2.565231	0.5201025	0.1977847	3.068639	3.233407	1.033466	1.250858	0.1745239	0.1801563	0.7554198	1.449413	1.692048	0.2636707	0.5911853	0.7929925	2.831038	4.581616	0	1.175865	0.5933268	5.127921	5.459495	4.730063	5.021198	5.365499	5.632806	0.2053868	0.4555243	0.560758	0.2507587	0.4555243	0	0.348542	0.5533102	0.4768551	0.4762342	0.5601871	0.2859305	0.5134222	4.377879	4.267597	3.850148	3.850148	6.055813	6.258176	3.782352	1.826032	39.93643	41.51366	1.239233	0.2262934	0.2752741	0.3152626	0.364141	0.632045	0.1012468	1.435418	"1"
21746337	5.740355	4.596789	29.63848	33.23467	87.93837	105.3499	0.26	0.2110658	0.3206158	0.8612042	41.6633	40.38473	46.26848	46.9456	21.27659	17.86066	12.58617	10.05523	12.70643	10.1865	12.63476	9.952381	3.989386	2.039043	182.9567	182.88	2.796107	2.934957	2.317858	0.7899562	3.113071	3.317105	1.12441	1.03329	0.1616819	0.2231394	0.8265292	1.583252	1.414417	0.2993105	0.3799498	0.2973705	3.774641	2.086645	0	1.539637	1.529073	5.123489	6.299584	4.711883	5.748354	5.338023	6.236589	5.715497	6.105993	6.252179	5.690221	4.760086	3.41871	3.564308	3.872637	3.660429	3.771127	3.839474	5.040039	5.134044	4.537499	4.757289	3.850148	3.847795	6.34411	6.097315	7.244008	5.554129	39.80751	45.06467	1.049001	0.2504905	0.2188656	0.3371478	0.3133158	1.094269	0.05856509	0.4415806	"4"
21746339	4.601126	4.601126	29.28524	29.28524	103.6021	103.6021	0.26	0.26	0.2955245	0	41.67931	41.67931	46.74442	46.74442	21.09515	21.09515	12.47147	12.47147	12.5892	12.5892	12.51505	12.51505	3.927576	3.927576	184.034	182.3892	2.929695	2.929695	2.392636	0.5222402	3.113071	3.113071	1.02094	1.02094	0.1761908	0.1761908	0.7457373	1.430512	1.430512	0.2589156	0.5126247	0.5256768	1.810665	1.810665	0	1.530554	1.562701	5.149951	5.149951	4.742916	4.742916	5.37961	5.37961	0	0.124869	0.124869	0	0.124869	0	0.2366519	0.2366519	0.10436	0.124869	0.124869	0	0.1124354	4.398415	4.403003	3.850148	3.850148	6.428066	6.428066	2.392636	0.5222402	40.03587	40.03587	1.052613	0.2229356	0.2229356	0.3122878	0.3122878	0.5432799	0.1243734	0.5432799	"1"
21746341	5.51034	5.51034	30	30	91.10094	91.10094	0.26	0.26	0.3381459	0	41.68	41.68	46.36458	46.36458	21.14923	21.14923	12.49966	12.49966	12.61078	12.61078	12.49568	12.49568	3.837766	3.837766	183.0526	181.9602	2.824555	2.824555	2.718878	0.7051746	3.113071	3.113071	1.104364	1.104364	0.1646283	0.1646283	0.8107344	1.554236	1.554236	0.291285	0.5115055	0.5145869	3.654221	3.654221	0	1.595258	1.622176	5.174792	5.174792	4.742328	4.742328	5.390521	5.390521	0	0.1739533	0.1739533	0	0.1739533	0	0.1142211	0.1839868	0.1475576	0.1266327	0.2468601	0	0.1561487	4.528602	4.501757	3.850148	3.850148	6.466036	6.466036	2.718878	0.7051746	40.06738	40.06738	1.117837	0.2451767	0.2451767	0.3322784	0.3322784	1.007597	0.1236134	1.007597	"1"
21746347	8.116218	8.855883	32.50389	41.90935	44.69027	69.01301	0.3227518	0.2634407	1.00651	2.044429	28.34453	42.95032	45.45959	52.16907	22.25436	18.91103	12.99053	9.900606	13.26004	10.11553	13.09568	10.08566	3.931468	1.255262	182.88	182.546	2.532797	2.342599	1.685584	0.466811	3.551796	3.246129	2.058409	1.759938	4.006608	2.268225	0.9502309	1.428513	1.364861	0.5019976	0.5596158	0.3579947	4.182306	4.27379	0	0.8415672	2.161267	4.979126	5.702532	4.546834	5.351025	5.319721	5.817873	0	0.05732507	0.05732507	0	0.05732507	0	0.05732507	0.1115414	0.05732507	0.05732507	0.05732507	0	0.04305949	5.033049	4.801571	3.850148	2.667363	6.263863	6.193211	10.2892	8.365971	39.37086	45.11259	1.285585	0.3992607	0.3254555	0.3440616	0.3921346	1.000747	0.01952204	0.7216108	"1"
21746349	7.653556	7.653556	33	33	53.67614	53.67614	0.3494325	0.3494325	0.4752315	0	28.01559	28.01559	42.57496	42.57496	22.06776	22.06776	12.94525	12.94525	13.2345	13.2345	12.93073	12.93073	3.788061	3.788061	182.88	182.88	2.889486	2.889486	2.128958	0.533917	3.530547	3.530547	1.284557	1.284557	1.458503	1.458503	0.9053039	1.518174	1.518174	0.3888149	0.5596158	0.5596158	4.596785	4.596785	0	0.8415672	0.8415672	4.944767	4.944767	4.533483	4.533483	5.3244	5.3244	0	0.02176149	0.09440068	0	0.09440068	0	0.09440068	0.1814879	0.1034587	0.09440068	0.09440068	0	0.06672363	5.033049	5.033049	3.854925	3.854925	6.190533	6.190533	2.128958	0.533917	39.7075	39.7075	1.213542	0.2775529	0.2775529	0.3317181	0.3317181	0.8727277	0.1166329	0.8727277	"1"
21746351	10.8956	11.22721	46.81577	47.10816	104.1886	106.3004	0.2554666	0.2527698	2.125806	43.47667	36.1736	36.38474	54.73325	55.1634	18.72835	17.82067	10.68934	10.19399	10.95514	10.4569	10.52209	9.840172	2.310829	1.854655	181.1962	182.0901	2.13068	2.125073	1.130737	0.3896049	3.299047	3.300395	1.691969	1.729649	1.053771	1.166083	1.087977	1.43325	1.44601	0.9683347	0.3397418	0.3532225	1.815892	1.905877	2.065593	1.618801	1.637159	6.244782	6.342567	5.739385	5.838045	6.205387	6.29573	1.082263	1.340615	1.650557	1.396447	1.002266	0.6526428	0.7370377	0.874129	0.7676608	0.9173002	1.009562	0.963871	1.191337	4.738348	4.732227	3.359194	3.38156	5.914671	5.8744	2.82203	1.549309	44.58462	45.99925	1.426292	0.1966976	0.1933801	0.4244799	0.4328179	0.3288806	0.1878895	0.3237608	"2"
21746353	10.08247	6.63227	32	32.05088	1.321583	73.61364	0.34	0.3399695	0.4424115	0	39.91637	40.00206	50.19462	46.3355	22.27794	21.67756	12.99099	12.62937	13.25878	12.86021	13.13166	12.6849	3.975431	3.686132	184.5273	183.4389	0.7090963	2.648463	0.09685444	0.04831386	3.049273	3.049273	2.999141	1.510329	5.312728	2.810442	1.060574	0.5978618	1.604572	0.80072	0.3971931	0.4454437	0	4.166963	0	1.766039	1.787693	4.985628	5.104774	4.550174	4.612592	5.321165	5.409359	0	0.1806535	0.1806535	0	0.1806535	0	0.2684993	0.1939207	0.1714291	0.1310283	0.2546422	0	0.1595646	4.786316	4.614006	3.850148	3.850148	6.695241	6.280197	2.755932	1.307846	39.23235	40.12769	1.191059	0.6270662	0.3073449	0.342247	0.349086	0.1661836	0.003162278	1.245327	"1"
21746359	9.767856	8.956618	33	42.56207	8.459916	69.25271	0.32	0.25995	1.045091	2.219217	29.95821	41.80206	49.72622	52.32265	22.31155	18.83711	12.91975	9.816771	13.22551	10.02553	13.07368	9.996438	3.833919	1.150739	182.88	182.6062	1.177312	2.311942	0.4824879	0.1049904	3.554029	3.273367	2.908529	1.776096	5.20302	2.227612	1.046166	0.7981733	1.372941	0.7616902	0.5432942	0.3672644	3.397271	4.2828	0	1.083462	2.145454	4.877625	5.725006	4.519736	5.38219	5.315134	5.833666	5.652524	6.350256	6.882946	6.742385	6.547332	6.030724	6.913215	7.104064	6.745361	6.725656	6.373618	5.684069	6.571887	5.033049	4.80076	3.852985	2.432682	6.632768	6.18752	10.20717	8.28537	39.33007	45.28775	1.289136	0.6002264	0.3267006	0.3445908	0.3970152	0.509959	0.003162278	0.7256174	"4"
