"fxnname"	"condition"	"result"	"comment"
"All data outliers"	"MaxMonthQ_Wet"	0	"Value removed as an outlier for site 407CE0220 Transformation applied prior to identification as necessary."
"All data outliers"	"Q99_Average"	0	"Value removed as an outlier for site 407CE0220 Transformation applied prior to identification as necessary."
"All data outliers"	"Qmax_Dry"	0	"Value removed as an outlier for site 407CE0220 Transformation applied prior to identification as necessary."
"All data outliers"	"QmaxIDR_All"	0	"Value removed as an outlier for site 407CE0220 Transformation applied prior to identification as necessary."
"All data outliers"	"MaxMonthQ_Dry"	0	"Value removed as an outlier for site 481S05856 Transformation applied prior to identification as necessary."
"All data outliers"	"Qmax_Dry"	0	"Value removed as an outlier for site 481S05856 Transformation applied prior to identification as necessary."
"All data outliers"	"MaxMonthQ_Dry"	0	"Value removed as an outlier for site 801RB8501 Transformation applied prior to identification as necessary."
"All data outliers"	"Qmax_Dry"	0	"Value removed as an outlier for site 801RB8501 Transformation applied prior to identification as necessary."
"All data outliers"	"MaxMonthQ_Dry"	0	"Value removed as an outlier for site 801S08727 Transformation applied prior to identification as necessary."
"All data outliers"	"MaxMonthQ_Wet"	0	"Value removed as an outlier for site 801S08727 Transformation applied prior to identification as necessary."
"All data outliers"	"Q99_Average"	0	"Value removed as an outlier for site 801S08727 Transformation applied prior to identification as necessary."
"All data outliers"	"Qmax_Dry"	0	"Value removed as an outlier for site 801S08727 Transformation applied prior to identification as necessary."
"All data outliers"	"QmaxIDR_All"	0	"Value removed as an outlier for site 801S08727 Transformation applied prior to identification as necessary."
"All data outliers"	"Q99_Average"	0	"Value removed as an outlier for site 801WE0674 Transformation applied prior to identification as necessary."
"All data outliers"	"MaxMonthQ_Dry"	0	"Value removed as an outlier for site 801WE1008 Transformation applied prior to identification as necessary."
"All data outliers"	"Q99_Average"	0	"Value removed as an outlier for site 801WE1008 Transformation applied prior to identification as necessary."
"All data outliers"	"Qmax_Dry"	0	"Value removed as an outlier for site 801WE1008 Transformation applied prior to identification as necessary."
"All data outliers"	"MaxMonthQ_Dry"	0	"Value removed as an outlier for site 801WE1020 Transformation applied prior to identification as necessary."
"All data outliers"	"Q99_Average"	0	"Value removed as an outlier for site 801WE1020 Transformation applied prior to identification as necessary."
"All data outliers"	"MaxMonthQ_Dry"	0	"Value removed as an outlier for site 901S00469 Transformation applied prior to identification as necessary."
"All data outliers"	"Q99_Average"	0	"Value removed as an outlier for site 901S00469 Transformation applied prior to identification as necessary."
"All data outliers"	"Qmax_Dry"	0	"Value removed as an outlier for site 901S00469 Transformation applied prior to identification as necessary."
"All data outliers"	"MaxMonthQ_Dry"	0	"Value removed as an outlier for site 901S01849 Transformation applied prior to identification as necessary."
"All data outliers"	"MaxMonthQ_Wet"	0	"Value removed as an outlier for site 901S01849 Transformation applied prior to identification as necessary."
"All data outliers"	"Q99_Average"	0	"Value removed as an outlier for site 901S01849 Transformation applied prior to identification as necessary."
"All data outliers"	"Qmax_Dry"	0	"Value removed as an outlier for site 901S01849 Transformation applied prior to identification as necessary."
"All data outliers"	"QmaxIDR_All"	0	"Value removed as an outlier for site 901S01849 Transformation applied prior to identification as necessary."
"All data outliers"	"Q99_Average"	0	"Value removed as an outlier for site 901S04309 Transformation applied prior to identification as necessary."
"All data outliers"	"Q99_Average"	0	"Value removed as an outlier for site 901S04409 Transformation applied prior to identification as necessary."
"All data outliers"	"MaxMonthQ_Dry"	0	"Value removed as an outlier for site 901S04565 Transformation applied prior to identification as necessary."
"All data outliers"	"Q99_Average"	0	"Value removed as an outlier for site 901S04565 Transformation applied prior to identification as necessary."
"All data outliers"	"Qmax_Dry"	0	"Value removed as an outlier for site 901S04565 Transformation applied prior to identification as necessary."
"All data outliers"	"MaxMonthQ_Dry"	0	"Value removed as an outlier for site 901S06969 Transformation applied prior to identification as necessary."
"All data outliers"	"Q99_Average"	0	"Value removed as an outlier for site 901S06969 Transformation applied prior to identification as necessary."
"All data outliers"	"Qmax_Dry"	0	"Value removed as an outlier for site 901S06969 Transformation applied prior to identification as necessary."
"All data outliers"	"MaxMonthQ_Dry"	0	"Value removed as an outlier for site 901SJC74x Transformation applied prior to identification as necessary."
"All data outliers"	"Q99_Average"	0	"Value removed as an outlier for site 901SJC74x Transformation applied prior to identification as necessary."
"All data outliers"	"Qmax_Dry"	0	"Value removed as an outlier for site 901SJC74x Transformation applied prior to identification as necessary."
"All data outliers"	"MaxMonthQ_Dry"	0	"Value removed as an outlier for site 905CE0512 Transformation applied prior to identification as necessary."
"All data outliers"	"MaxMonthQ_Wet"	0	"Value removed as an outlier for site 905CE0512 Transformation applied prior to identification as necessary."
"All data outliers"	"Q99_Average"	0	"Value removed as an outlier for site 905CE0512 Transformation applied prior to identification as necessary."
"All data outliers"	"Qmax_Dry"	0	"Value removed as an outlier for site 905CE0512 Transformation applied prior to identification as necessary."
"All data outliers"	"QmaxIDR_All"	0	"Value removed as an outlier for site 905CE0512 Transformation applied prior to identification as necessary."
"All data outliers"	"MaxMonthQ_Dry"	0	"Value removed as an outlier for site 905S02561 Transformation applied prior to identification as necessary."
"All data outliers"	"Qmax_Dry"	0	"Value removed as an outlier for site 905S02561 Transformation applied prior to identification as necessary."
"All data outliers"	"MaxMonthQ_Dry"	0	"Value removed as an outlier for site 905SDYSA7 Transformation applied prior to identification as necessary."
"All data outliers"	"Q99_Average"	0	"Value removed as an outlier for site 905SDYSA7 Transformation applied prior to identification as necessary."
