StationID_Master	CanonicalStationID	WaterbodyName	WaterbodyType	FinalLatitude	FinalLongitude	Coastal	CARefSite_2017	GIS_County	GIS_State	GIS_EcoL3Code	GIS_EcoL3Name	COMID_NHD2	COMID_NHD2_Notes	StationComment
SDR20	SDR20	San Diego River	Rivers/Streams	32.99	-116.84	0	0	San Diego	California	85	Southern California/Northern Baja Coast	20332430		
SDR21	SDR21	San Diego River	Rivers/Streams	32.84	-116.86	0	0	San Diego	California	85	Southern California/Northern Baja Coast	20332944		
SDR22	SDR22	San Diego River	Rivers/Streams	32.84	-116.8	0	0	San Diego	California	85	Southern California/Northern Baja Coast	20332994		
SDR24	SDR24	San Diego River	Rivers/Streams	32.85	-116.94	0	0	San Diego	California	85	Southern California/Northern Baja Coast	20332992		
SDR25	SDR25	San Diego River	Rivers/Streams	33	-116.8	0	0	San Diego	California	85	Southern California/Northern Baja Coast	20330028		
SDR34	SDR34	San Diego River	Rivers/Streams	32.85	-116.93	0	0	San Diego	California	85	Southern California/Northern Baja Coast	948070175		
SDR-MLS	SDR-MLS	San Diego River (Lower)	Rivers/Streams	32.76	-117.16	0	0	San Diego	California	85	Southern California/Northern Baja Coast	20331516		
SDR-TWAS-1	SDR-TWAS-1	San Diego River (Lower)	Rivers/Streams	32.78	-117.1	0	0	San Diego	California	85	Southern California/Northern Baja Coast	948070169		
SDR-TWAS-2	SDR-TWAS-2	San Diego River (Lower)	Rivers/Streams	32.83	-117.02	0	0	San Diego	California	85	Southern California/Northern Baja Coast	20331402		
SDR-TWAS-2-DUP	SDR-TWAS-2	San Diego River (Lower)	Rivers/Streams	32.83	-117.02	0	0	San Diego	California	85	Southern California/Northern Baja Coast	20331402		
SDR-TWAS-3	SDR-TWAS-3	San Diego River (Lower)	Rivers/Streams	32.85	-116.94	0	0	San Diego	California	85	Southern California/Northern Baja Coast	948070177		
SDSD1	SDSD1			33.65	-117.75	0	0	Orange	California	85	Southern California/Northern Baja Coast	20355478		
SDSD3	SDSD3			33.68	-117.81	0	0	Orange	California	85	Southern California/Northern Baja Coast	20355376		
SDSR1	SDSR1			33.64	-117.69	0	0	Orange	California	85	Southern California/Northern Baja Coast	20355506		
SE11-1	SE11-1	San Elijo Lagoon	Estuary	33.01	-117.27	0	0	San Diego	California	85	Southern California/Northern Baja Coast	20342597		
