FEATUREID	AreaSqKM	P_High	P_Mod	P_VeryHigh	P_TotalFire
20332782	1.1295	NA	NA	4.568706932	4.568706932
20332786	1.8315	7.451955333	3.280979383	88.3479996	99.08093432
20332792	1.5453	NA	NA	50.65126454	50.65126454
20332794	2.1933	NA	NA	37.57044567	37.57044567
20332802	0.5985	NA	NA	67.12805957	67.12805957
20332804	2.7576	NA	NA	5.465443366	5.465443366
20332808	5.7591	4.569134895	NA	95.43086529	100.0000002
20332812	0.2601	NA	NA	0.004148766	0.004148766
20332818	0.0288	NA	NA	54.21831999	54.21831999
20332820	2.4876	39.46371441	NA	11.42963979	50.89335421
20332822	0.5724	NA	NA	19.71902114	19.71902114
20332824	10.1808	NA	NA	57.61416985	57.61416985
20332828	1.7316	NA	NA	31.87076352	31.87076352
20332830	6.6096	NA	NA	24.22024527	24.22024527
20332832	1.9962	NA	25.35806067	74.64193967	100.0000003
20332836	2.6721	NA	NA	0.068801155	0.068801155
20332838	0.9945	NA	NA	99.99999932	99.99999932
20332846	2.6658	NA	NA	100.0000002	100.0000002
20332852	3.1932	NA	NA	49.24279828	49.24279828
20332854	3.8565	NA	NA	36.09815807	36.09815807
20332858	4.1958	NA	20.29419116	39.09863762	59.39282878
20332860	0.2583	NA	19.82526867	80.1747297	99.99999837
20332868	9.5526	6.116372832	19.30003329	74.58359335	99.99999948
20332870	0.7263	NA	NA	19.22370435	19.22370435
20332872	1.2753	NA	NA	12.3721588	12.3721588
20332880	1.1439	NA	NA	99.99999824	99.99999824
20332882	1.0764	0.925788248	NA	99.07420813	99.99999638
20332892	1.5714	NA	NA	94.67024312	94.67024312
20332894	2.097	NA	NA	100.0000006	100.0000006
20332896	12.0015	NA	NA	85.9120683	85.9120683
20332900	0.9657	12.7769703	0.854133967	86.36889709	100.0000014
20332902	2.1501	7.916990855	3.742225201	87.00998313	98.66919918
20332904	5.9229	NA	5.771440914	94.22855777	99.99999868
20332906	1.1412	NA	NA	99.99999653	99.99999653
20332908	0.0351	NA	NA	99.99999442	99.99999442
20332910	0.1377	NA	NA	99.99998333	99.99998333
20332912	2.9601	NA	NA	73.71915826	73.71915826
20332914	0.2421	NA	NA	99.99999468	99.99999468
20332916	2.9313	NA	NA	92.44363366	92.44363366
20332918	3.4902	NA	NA	100.0000017	100.0000017
20332920	1.8207	10.14499184	4.310841688	85.54416637	99.99999991
20332922	18.3537	0.158491486	4.163690706	51.78375662	56.10593881
20332924	6.8265	0.323519312	NA	21.39115485	21.71467417
20332930	2.4318	NA	NA	99.53544178	99.53544178
20332932	1.2915	5.074439957	NA	1.574430811	6.648870768
20332934	2.3031	NA	NA	99.99999953	99.99999953
