StationID_Master	ChemSampleID	SampDate	SampYear	StdParamName	ResultValue	COMID	clust
402BA0079	402BA0079_2008-05-28	5/28/2008	2008	Silver_uf_ug_L	0.06	17586810	2
402BA0079	402BA0079_2008-05-28	5/28/2008	2008	Zinc_uf_ug_L	3.17	17586810	2
402BA0079	402BA0079_2008-05-28	5/28/2008	2008	Cadmium_f_ug_L	0.04	17586810	2
402BA0079	402BA0079_2008-05-28	5/28/2008	2008	Nickel_f_ug_L	5.82	17586810	2
402BA0079	402BA0079_2008-05-28	5/28/2008	2008	Arsenic_f_ug_L	1.13	17586810	2
402BA0079	402BA0079_2008-05-28	5/28/2008	2008	Selenium_ug_L	3.4	17586810	2
402BA0079	402BA0079_2008-05-28	5/28/2008	2008	Alkalinity_CaCO3_f_mg_L	185	17586810	2
402BA0079	402BA0079_2008-05-28	5/28/2008	2008	NO2_N_f_mg_L	0.0128	17586810	2
402BA0079	402BA0079_2008-05-28	5/28/2008	2008	P_uf_mg_L	0.0165	17586810	2
402BA0079	402BA0079_2008-05-28	5/28/2008	2008	Aluminum_f_ug_L	4.82	17586810	2
402BA0079	402BA0079_2008-05-28	5/28/2008	2008	H_SubNat_score	0.73	17586810	2
402BA0079	402BA0079_2008-05-28	5/28/2008	2008	NH3_N_f_mg_L	0.0321	17586810	2
402BA0095	402BA0095_2008-05-29	5/29/2008	2008	Selenium_ug_L	0.94	17586570	2
402BA0095	402BA0095_2008-05-29	5/29/2008	2008	SuspendedSediment_particulate_mg_L	2.823	17586570	2
402BA0095	402BA0095_2008-05-29	5/29/2008	2008	Arsenic_uf_ug_L	0.3	17586570	2
402BA0095	402BA0095_2008-05-29	5/29/2008	2008	XCMG_score	1	17586570	2
402BA0095	402BA0095_2008-05-29	5/29/2008	2008	Arsenic_f_ug_L	0.32	17586570	2
402BA0095	402BA0095_2008-05-29	5/29/2008	2008	Aluminum_uf_ug_L	37.5	17586570	2
402BA0095	402BA0095_2008-05-29	5/29/2008	2008	Nickel_uf_ug_L	3.76	17586570	2
402BA0095	402BA0095_2008-05-29	5/29/2008	2008	Selenium_f_ug_L	0.88	17586570	2
402BA0095	402BA0095_2008-05-29	5/29/2008	2008	PCT_SAFN_score	0.83	17586570	2
402BA0095	402BA0095_2008-05-29	5/29/2008	2008	PO4_P_f_mg_L	0.0243	17586570	2
402BA0095	402BA0095_2008-05-29	5/29/2008	2008	Hardness_CaCO3_f_mg_L	325	17586570	2
402BA0095	402BA0095_2008-05-29	5/29/2008	2008	Zinc_f_ug_L	0.78	17586570	2
402BA0095	402BA0095_2008-05-29	5/29/2008	2008	Zinc_uf_ug_L	0.9	17586570	2
402BA0095	402BA0095_2008-05-29	5/29/2008	2008	P_uf_mg_L	0.0062	17586570	2
402BA0095	402BA0095_2008-05-29	5/29/2008	2008	Alkalinity_CaCO3_f_mg_L	203	17586570	2
402BA0095	402BA0095_2008-05-29	5/29/2008	2008	Iron_f_ug_L	1.29	17586570	2
402BA0095	402BA0095_2008-05-29	5/29/2008	2008	Sulfate_f_mg_L	170	17586570	2
402BA0095	402BA0095_2008-05-29	5/29/2008	2008	Manganese_uf_ug_L	2.2	17586570	2
402BA0095	402BA0095_2008-05-29	5/29/2008	2008	Chromium_f_ug_L	0.17	17586570	2
402BA0095	402BA0095_2008-05-29	5/29/2008	2008	AFDM_algae_particulate_g_m2	2.02	17586570	2
402BA0095	402BA0095_2008-05-29	5/29/2008	2008	Nickel_f_ug_L	3.68	17586570	2
402BA0095	402BA0095_2008-05-29	5/29/2008	2008	Aluminum_f_ug_L	11.1	17586570	2
402BA0095	402BA0095_2008-05-29	5/29/2008	2008	IPI	1.22	17586570	2
402BA0095	402BA0095_2008-05-29	5/29/2008	2008	Iron_uf_ug_L	22.15	17586570	2
402BA0095	402BA0095_2008-05-29	5/29/2008	2008	TDS_f_mg_L	477	17586570	2
402BA0095	402BA0095_2008-05-29	5/29/2008	2008	Manganese_f_ug_L	0.97	17586570	2
402BA0095	402BA0095_2008-05-29	5/29/2008	2008	Copper_uf_ug_L	0.41	17586570	2
402BA0095	402BA0095_2008-05-29	5/29/2008	2008	Ev_FlowHab_score	0.94	17586570	2
402BA0095	402BA0095_2008-05-29	5/29/2008	2008	H_AqHab_score	0.83	17586570	2
402BA0095	402BA0095_2008-05-29	5/29/2008	2008	Chromium_ug_L	0.2	17586570	2
402BA0095	402BA0095_2008-05-29	5/29/2008	2008	Copper_f_ug_L	0.31	17586570	2
402BA0095	402BA0095_2008-05-29	5/29/2008	2008	NH3_N_f_mg_L	0.0113	17586570	2
402BA0095	402BA0095_2008-05-29	5/29/2008	2008	H_SubNat_score	0.98	17586570	2
402BA0143	402BA0143_2008-05-21	5/21/2008	2008	TKN_uf_mg_L	0.21	17587720	5
402BA0143	402BA0143_2008-05-21	5/21/2008	2008	Cadmium_f_ug_L	0.05	17587720	5
402BA0143	402BA0143_2008-05-21	5/21/2008	2008	TDS_f_mg_L	600	17587720	5
402BA0143	402BA0143_2008-05-21	5/21/2008	2008	Arsenic_uf_ug_L	0.73	17587720	5
402BA0143	402BA0143_2008-05-21	5/21/2008	2008	Iron_f_ug_L	31.1	17587720	5
402BA0143	402BA0143_2008-05-21	5/21/2008	2008	XCMG_score	0.65	17587720	5
402BA0143	402BA0143_2008-05-21	5/21/2008	2008	SuspendedSediment_particulate_mg_L	2.713	17587720	5
402BA0143	402BA0143_2008-05-21	5/21/2008	2008	Cadmium_uf_ug_L	0.06	17587720	5
402BA0143	402BA0143_2008-05-21	5/21/2008	2008	NH3_N_f_mg_L	0.0161	17587720	5
402BA0143	402BA0143_2008-05-21	5/21/2008	2008	Iron_uf_ug_L	45	17587720	5
402BA0143	402BA0143_2008-05-21	5/21/2008	2008	Nickel_f_ug_L	5.8	17587720	5
402BA0143	402BA0143_2008-05-21	5/21/2008	2008	PO4_P_f_mg_L	0.01965	17587720	5
402BA0143	402BA0143_2008-05-21	5/21/2008	2008	PCT_SAFN_score	1	17587720	5
402BA0143	402BA0143_2008-05-21	5/21/2008	2008	Manganese_f_ug_L	14.3	17587720	5
402BA0143	402BA0143_2008-05-21	5/21/2008	2008	Hardness_CaCO3_f_mg_L	409	17587720	5
402BA0143	402BA0143_2008-05-21	5/21/2008	2008	Manganese_uf_ug_L	14.4	17587720	5
402BA0143	402BA0143_2008-05-21	5/21/2008	2008	Selenium_ug_L	1.8	17587720	5
402BA0143	402BA0143_2008-05-21	5/21/2008	2008	P_uf_mg_L	0.0155	17587720	5
402BA0143	402BA0143_2008-05-21	5/21/2008	2008	H_SubNat_score	0.7	17587720	5
402BA0143	402BA0143_2008-05-21	5/21/2008	2008	Selenium_f_ug_L	2.04	17587720	5
402BA0143	402BA0143_2008-05-21	5/21/2008	2008	Aluminum_uf_ug_L	3.18	17587720	5
402BA0143	402BA0143_2008-05-21	5/21/2008	2008	Copper_uf_ug_L	0.63	17587720	5
402BA0143	402BA0143_2008-05-21	5/21/2008	2008	Arsenic_f_ug_L	0.68	17587720	5
402BA0143	402BA0143_2008-05-21	5/21/2008	2008	IPI	0.8	17587720	5
402BA0143	402BA0143_2008-05-21	5/21/2008	2008	Ev_FlowHab_score	0	17587720	5
402BA0143	402BA0143_2008-05-21	5/21/2008	2008	Sulfate_f_mg_L	217	17587720	5
402BA0143	402BA0143_2008-05-21	5/21/2008	2008	H_AqHab_score	0.66	17587720	5
402BA0143	402BA0143_2008-05-21	5/21/2008	2008	NO2_N_f_mg_L	0.00295	17587720	5
402BA0143	402BA0143_2008-05-21	5/21/2008	2008	Nickel_uf_ug_L	5.27	17587720	5
402BA0143	402BA0143_2008-05-21	5/21/2008	2008	Zinc_uf_ug_L	1.14	17587720	5
402BA0143	402BA0143_2008-05-21	5/21/2008	2008	Chromium_ug_L	0.19	17587720	5
402BA0143	402BA0143_2008-05-21	5/21/2008	2008	Alkalinity_CaCO3_f_mg_L	213	17587720	5
402BA0143	402BA0143_2008-05-21	5/21/2008	2008	NO3_N_f_mg_L	0.164	17587720	5
402BA0143	402BA0143_2008-05-21	5/21/2008	2008	Zinc_f_ug_L	1.22	17587720	5
402BA0143	402BA0143_2008-05-21	5/21/2008	2008	Chlor_a_particulate_mg_m2	16	17587720	5
402BA0143	402BA0143_2008-05-21	5/21/2008	2008	Copper_f_ug_L	0.62	17587720	5
402BA0143	402BA0143_2008-05-21	5/21/2008	2008	Chromium_f_ug_L	0.22	17587720	5
402BA0335	402BA0335_2008-05-27	5/27/2008	2008	Arsenic_uf_ug_L	0.53	17586848	5
402BA0335	402BA0335_2008-05-27	5/27/2008	2008	SuspendedSediment_particulate_mg_L	3.5155	17586848	5
402BA0335	402BA0335_2008-05-27	5/27/2008	2008	Aluminum_uf_ug_L	6.265	17586848	5
402BA0335	402BA0335_2008-05-27	5/27/2008	2008	TDS_f_mg_L	646	17586848	5
402BA0335	402BA0335_2008-05-27	5/27/2008	2008	TKN_uf_mg_L	0.085	17586848	5
402BA0335	402BA0335_2008-05-27	5/27/2008	2008	Cadmium_uf_ug_L	0.055	17586848	5
402BA0335	402BA0335_2008-05-27	5/27/2008	2008	Selenium_ug_L	3.13	17586848	5
402BA0335	402BA0335_2008-05-27	5/27/2008	2008	P_uf_mg_L	0.012866667	17586848	5
402BA0335	402BA0335_2008-05-27	5/27/2008	2008	Cadmium_f_ug_L	0.045	17586848	5
402BA0335	402BA0335_2008-05-27	5/27/2008	2008	Silver_uf_ug_L	0.04	17586848	5
402BA0335	402BA0335_2008-05-27	5/27/2008	2008	Nickel_uf_ug_L	5.925	17586848	5
402BA0335	402BA0335_2008-05-27	5/27/2008	2008	Selenium_f_ug_L	2.56	17586848	5
402BA0335	402BA0335_2008-05-27	5/27/2008	2008	Manganese_uf_ug_L	2.335	17586848	5
402BA0335	402BA0335_2008-05-27	5/27/2008	2008	Chlor_a_particulate_mg_m2	10.785	17586848	5
402BA0335	402BA0335_2008-05-27	5/27/2008	2008	NO3_N_f_mg_L	0.7615	17586848	5
402BA0335	402BA0335_2008-05-27	5/27/2008	2008	H_SubNat_score	0.75	17586848	5
402BA0335	402BA0335_2008-05-27	5/27/2008	2008	Alkalinity_CaCO3_f_mg_L	209.5	17586848	5
402BA0335	402BA0335_2008-05-27	5/27/2008	2008	PCT_SAFN_score	1	17586848	5
402BA0335	402BA0335_2008-05-27	5/27/2008	2008	Copper_uf_ug_L	0.65	17586848	5
402BA0335	402BA0335_2008-05-27	5/27/2008	2008	Sulfate_f_mg_L	252	17586848	5
402BA0335	402BA0335_2008-05-27	5/27/2008	2008	Iron_uf_ug_L	11.25	17586848	5
402BA0335	402BA0335_2008-05-27	5/27/2008	2008	Iron_f_ug_L	3.465	17586848	5
402BA0335	402BA0335_2008-05-27	5/27/2008	2008	Arsenic_f_ug_L	0.555	17586848	5
402BA0335	402BA0335_2008-05-27	5/27/2008	2008	NH3_N_f_mg_L	0.01985	17586848	5
402BA0335	402BA0335_2008-05-27	5/27/2008	2008	NO2_N_mg_L	0.004666667	17586848	5
402BA0335	402BA0335_2008-05-27	5/27/2008	2008	Hardness_CaCO3_f_mg_L	410.5	17586848	5
402BA0335	402BA0335_2008-05-27	5/27/2008	2008	Ev_FlowHab_score	0.99	17586848	5
402BA0335	402BA0335_2008-05-27	5/27/2008	2008	AFDM_algae_particulate_g_m2	4.475	17586848	5
402BA0335	402BA0335_2008-05-27	5/27/2008	2008	Manganese_f_ug_L	1.79	17586848	5
402BA0335	402BA0335_2008-05-27	5/27/2008	2008	Nickel_f_ug_L	5.63	17586848	5
402BA0335	402BA0335_2008-05-27	5/27/2008	2008	H_AqHab_score	0.74	17586848	5
402BA0335	402BA0335_2008-05-27	5/27/2008	2008	Zinc_uf_ug_L	1.245	17586848	5
402BA0335	402BA0335_2008-05-27	5/27/2008	2008	Zinc_f_ug_L	1.205	17586848	5
402BA0335	402BA0335_2008-05-27	5/27/2008	2008	IPI	1.2	17586848	5
402BA0335	402BA0335_2008-05-27	5/27/2008	2008	Copper_f_ug_L	0.605	17586848	5
402BA0335	402BA0335_2008-05-29	5/29/2008	2008	PO4_P_f_mg_L	0.03035	17586848	5
402BA0335	402BA0335_2008-05-27	5/27/2008	2008	XCMG_score	1	17586848	5
402BA0335	402BA0335_2008-05-27	5/27/2008	2008	Chromium_ug_L	0.29	17586848	5
402BA0335	402BA0335_2008-05-27	5/27/2008	2008	Chromium_f_ug_L	0.255	17586848	5
402M00002	402M00002_2015-08-13	8/13/2015	2015	H_AqHab_score	1	17586972	5
402M00002	402M00002_2015-08-13	8/13/2015	2015	H_SubNat_score	0.96	17586972	5
402M00002	402M00002_2015-08-13	8/13/2015	2015	Ev_FlowHab_score	0.77	17586972	5
402M00002	402M00002_2015-08-13	8/13/2015	2015	PCT_SAFN_score	0.81	17586972	5
402M00002	402M00002_2015-08-13	8/13/2015	2015	XCMG_score	0.68	17586972	5
402M00002	402M00002_2015-08-13	8/13/2015	2015	IPI	1.07	17586972	5
402M00005	402M00005_2015-06-11	6/11/2015	2015	H_AqHab_score	0.73	17585758	2
402M00005	402M00005_2015-06-11	6/11/2015	2015	IPI	1	17585758	2
402M00005	402M00005_2015-06-11	6/11/2015	2015	H_SubNat_score	0.97	17585758	2
402M00005	402M00005_2015-06-11	6/11/2015	2015	XCMG_score	0.64	17585758	2
402M00005	402M00005_2015-06-11	6/11/2015	2015	Ev_FlowHab_score	0.78	17585758	2
402M00005	402M00005_2015-06-11	6/11/2015	2015	PCT_SAFN_score	0.77	17585758	2
402M00009	402M00009_2015-06-29	6/29/2015	2015	XCMG_score	0.82	17586774	2
402M00009	402M00009_2015-06-29	6/29/2015	2015	Ev_FlowHab_score	0.15	17586774	2
402M00009	402M00009_2015-06-29	6/29/2015	2015	PCT_SAFN_score	0.77	17586774	2
402M00009	402M00009_2015-06-29	6/29/2015	2015	IPI	0.95	17586774	2
402M00009	402M00009_2015-06-29	6/29/2015	2015	H_SubNat_score	1	17586774	2
402M00009	402M00009_2015-06-29	6/29/2015	2015	H_AqHab_score	0.78	17586774	2
402MTCUNF	402MTCUNF_2012-06-05	6/5/2012	2012	Hardness_CaCO3_uf_mg_L	442.5	17585756	2
