"ANALYSIS_TYPE"	"CHEMICAL_NAME"	"FinalUnit"	"StdParamName"	"GroupNum"	"GroupName"	"LogTransf"	"SSD"	"SSTV"	"SensMin"	"SensMax"	"TolMin"	"TolMax"	"UseInStressorID"	"DirIncStress"	"SSTVname"	"Label"	"MinWQO_CAR9"	"MCL_Primary"	"MCL_Secondary"	"Analyte"
"Total"	"Hardness as CaCO3"	"mg/L"	"Hardness_CaCO3_uf_mg_L"	17	"Water quality"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Total hardness as calcium carbonate (mg/L)"	NA	NA	NA	"Hardness_CaCO3_uf_mg_L"
"Dissolved"	"Iron"	"ug/L"	"Iron_f_ug_L"	6	"Metals_metalloids"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Dissolved iron (µg/L)"	0.3	NA	300	"Iron_f_ug_L"
"Total"	"Iron"	"ug/L"	"Iron_uf_ug_L"	6	"Metals_metalloids"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Total iron (µg/L)"	0.3	NA	300	"Iron_uf_ug_L"
"Total"	"Jasmolin-1"	"ng/g dw"	"Jasmolin1_tot_ng_g_dw"	13	"Pyrethroids"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Total jasmolin-1 (ng/g dry weight)"	NA	NA	NA	"Jasmolin1_tot_ng_g_dw"
"Total"	"Jasmolin-1"	"ug/L"	"Jasmolin1_ug_L"	13	"Pyrethroids"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Total jasmolin-1 (µg/L)"	NA	NA	NA	"Jasmolin1_ug_L"
"Total"	"Jasmolin-2"	"ng/g dw"	"Jasmolin2_tot_ng_g_dw"	13	"Pyrethroids"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Total jasmolin-2 (ng/g dry weight)"	NA	NA	NA	"Jasmolin2_tot_ng_g_dw"
"Total"	"Jasmolin-2"	"ug/L"	"Jasmolin2_ug_L"	13	"Pyrethroids"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Total jasmolin-2 (µg/L)"	NA	NA	NA	"Jasmolin2_ug_L"
"Dissolved"	"Lead"	"ug/L"	"Lead_f_ug_L"	6	"Metals_metalloids"	1	1	0	NA	NA	NA	NA	1	"Inc"	""	"Dissolved lead (µg/L)"	NA	NA	NA	"Lead_f_ug_L"
"Total"	"Lead"	"mg/kg dw"	"Lead_tot_mg_kg_dw"	6	"Metals_metalloids"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Total lead (mg/kg dry weight)"	NA	NA	NA	"Lead_tot_mg_kg_dw"
"Total"	"Lead"	"ug/L"	"Lead_uf_ug_L"	6	"Metals_metalloids"	1	1	0	NA	NA	NA	NA	1	"Inc"	""	"Total lead (µg/L)"	NA	NA	NA	"Lead_uf_ug_L"
"Dissolved"	"Magnesium"	"mg/L"	"Magnesium_f_mg_L"	6	"Metals_metalloids"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Dissolved magnesium (mg/L)"	NA	NA	NA	"Magnesium_f_mg_L"
"Total"	"Magnesium"	"mg/L"	"Magnesium_uf_mg_L"	6	"Metals_metalloids"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Total magnesium (mg/L)"	NA	NA	NA	"Magnesium_uf_mg_L"
"Dissolved"	"Manganese"	"ug/L"	"Manganese_f_ug_L"	6	"Metals_metalloids"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Dissolved manganese (µg/L)"	0.05	NA	50	"Manganese_f_ug_L"
"Total"	"Manganese"	"mg/kg dw"	"Manganese_tot_mg_kg_dw"	6	"Metals_metalloids"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Total manganese (mg/kg dry weight)"	NA	NA	NA	"Manganese_tot_mg_kg_dw"
"Total"	"Manganese"	"ug/L"	"Manganese_uf_ug_L"	6	"Metals_metalloids"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Total manganese (µg/L)"	0.05	NA	50	"Manganese_uf_ug_L"
"Dissolved"	"Mercury"	"ng/L"	"Mercury_f_ng_L"	6	"Metals_metalloids"	1	1	0	NA	NA	NA	NA	1	"Inc"	""	"Dissolved mercury (µg/L)"	NA	0.002	NA	"Mercury_f_ng_L"
"Total"	"Mercury"	"ng/L"	"Mercury_ng_L"	6	"Metals_metalloids"	1	1	0	NA	NA	NA	NA	1	"Inc"	""	"Total mercury (ng/L)"	NA	0.002	NA	"Mercury_ng_L"
"Total"	"Mercury"	"mg/kg dw"	"Mercury_tot_mg_kg_dw"	6	"Metals_metalloids"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Total mercury (mg/kg dry weight)"	NA	NA	NA	"Mercury_tot_mg_kg_dw"
"Dissolved"	"Molybdenum"	"ug/L"	"Molybdenum_f_ug_L"	6	"Metals_metalloids"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Dissolved molybdenum (µg/L)"	NA	NA	NA	"Molybdenum_f_ug_L"
"Total"	"Molybdenum"	"ug/L"	"Molybdenum_uf_ug_L"	6	"Metals_metalloids"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Total molybdenum (µg/L)"	NA	NA	NA	"Molybdenum_uf_ug_L"
"Dissolved"	"Ammonia as N"	"mg/L"	"NH3_N_f_mg_L"	7	"Nutrients"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Dissolved ammonia as N (mg/L)"	0.025	NA	NA	"NH3_N_f_mg_L"
"Total"	"Ammonia as N"	"mg/L"	"NH3_N_uf_mg_L"	7	"Nutrients"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Total ammonia as N (mg/L)"	0.025	NA	NA	"NH3_N_uf_mg_L"
"Dissolved"	"Nickel"	"ug/L"	"Nickel_f_ug_L"	6	"Metals_metalloids"	1	1	0	NA	NA	NA	NA	1	"Inc"	""	"Dissolved nickel (µg/L)"	NA	0.1	NA	"Nickel_f_ug_L"
"Total"	"Nickel"	"mg/kg dw"	"Nickel_tot_mg_kg_dw"	6	"Metals_metalloids"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Total nickel (mg/kg dry weight)"	NA	NA	NA	"Nickel_tot_mg_kg_dw"
"Total"	"Nickel"	"ug/L"	"Nickel_uf_ug_L"	6	"Metals_metalloids"	1	1	0	NA	NA	NA	NA	1	"Inc"	""	"Total nickel (µg/L)"	NA	0.1	NA	"Nickel_uf_ug_L"
"Dissolved"	"Nitrite as N"	"mg/L"	"NO2_N_f_mg_L"	7	"Nutrients"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Dissolved nitrite as N (mg/L)"	NA	1	NA	"NO2_N_f_mg_L"
"Not Recorded"	"Nitrite as N"	"mg/L"	"NO2_N_mg_L"	7	"Nutrients"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Nitrite as N (mg/L)"	NA	1	NA	"NO2_N_mg_L"
"Dissolved"	"Nitrate as N"	"mg/L"	"NO3_N_f_mg_L"	7	"Nutrients"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Dissolved nitrate as N (mg/L)"	NA	10	NA	"NO3_N_f_mg_L"
"Not Recorded"	"Nitrate as N"	"mg/L"	"NO3_N_mg_L"	7	"Nutrients"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Nitrate as N (mg/L)"	NA	10	NA	"NO3_N_mg_L"
"Total"	"Biphenyl"	"ug/L"	"Biphenyl_ug_L"	3	"Organic"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Biphenyl (µg/L)"	NA	NA	NA	"Biphenyl_ug_L"
"Total"	"Toluene"	"ug/L"	"Toluene_ug_L"	3	"Organic"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Toluene (µg/L)"	NA	150	NA	"Toluene_ug_L"
"Total"	"Trimethylbenzene, 1,2,4-"	"ug/L"	"Trimethylbenzene_124_ug_L"	3	"Organic"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"1,2,4-Trimethylbenzene (µg/L)"	NA	NA	NA	"Trimethylbenzene_124_ug_L"
"Total"	"Trimethylbenzene, 1,3,5-"	"ug/L"	"Trimethylbenzene_135_ug_L"	3	"Organic"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"1,3,5-Trimethylbenzene (µg/L)"	NA	NA	NA	"Trimethylbenzene_135_ug_L"
"Total"	"Xylene, m/p-"	"ug/L"	"Xylene_m_p_ug_L"	3	"Organic"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"m- and p-Xylenes (µg/L)"	NA	1750	NA	"Xylene_m_p_ug_L"
"Total"	"Xylene, o-"	"ug/L"	"Xylene_o_ug_L"	3	"Organic"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"o-Xylene (µg/L)"	NA	1750	NA	"Xylene_o_ug_L"
"Total"	"Benzene"	"ug/L"	"Benzene_ug_L"	3	"Organic"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Benzene (µg/L)"	NA	1	NA	"Benzene_ug_L"
"Total"	"Butylbenzene, n-"	"ug/L"	"Butylbenzene_n_ug_L"	3	"Organic"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"n-Butylbenzene (µg/L)"	NA	NA	NA	"Butylbenzene_n_ug_L"
"Total"	"Butylbenzene, sec-"	"ug/L"	"Butylbenzene_sec_ug_L"	3	"Organic"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"sec-Butylbenzene (µg/L)"	NA	NA	NA	"Butylbenzene_sec_ug_L"
"Total"	"Butylbenzene, tert-"	"ug/L"	"Butylbenzene_tert_ug_L"	3	"Organic"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"tert-Butylbenzene (µg/L)"	NA	NA	NA	"Butylbenzene_tert_ug_L"
"Total"	"Caffeine"	"ug/L"	"Caffeine_ug_L"	3	"Organic"	1	0	0	NA	NA	NA	NA	0	"Inc"	""	"Caffeine (µg/L)"	NA	NA	NA	"Caffeine_ug_L"
"Total"	"Ethylbenzene"	"ug/L"	"Ethylbenzene_ug_L"	3	"Organic"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Ethylbenzene (µg/L)"	NA	300	NA	"Ethylbenzene_ug_L"
"Total"	"Isopropylbenzene"	"ug/L"	"Isopropylbenzene_ug_L"	3	"Organic"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Isopropylbenzene (µg/L)"	NA	NA	NA	"Isopropylbenzene_ug_L"
"Total"	"Isopropyltoluene, p-"	"ug/L"	"Isopropyltoluene_p_ug_L"	3	"Organic"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"p-Isopropyltoluene (µg/L)"	NA	NA	NA	"Isopropyltoluene_p_ug_L"
"Total"	"Methyl Tert-butyl Ether"	"ug/L"	"Methyl_TertbutylEther_ug_L"	3	"Organic"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Methyl tert-butyl ether (µg/L)"	NA	13	5	"Methyl_TertbutylEther_ug_L"
"Total"	"Propylbenzene, n-"	"ug/L"	"Propylbenzene_n_ug_L"	3	"Organic"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"n-Propylbenzene (µg/L)"	NA	NA	NA	"Propylbenzene_n_ug_L"
"Total"	"Aldrin"	"ng/g dw"	"Aldrin_ng_g_dw"	8	"Organochlorine"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Aldrin (ng/g dry weight)"	NA	NA	NA	"Aldrin_ng_g_dw"
"Total"	"Aldrin"	"ug/L"	"Aldrin_ug_L"	8	"Organochlorine"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Aldrin (µg/L)"	NA	NA	NA	"Aldrin_ug_L"
"Total"	"Chlordane, cis-"	"ng/g dw"	"Chlordane_cis_ng_g_dw"	8	"Organochlorine"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"cis-Chlordane (ng/g dry weight)"	NA	NA	NA	"Chlordane_cis_ng_g_dw"
"Total"	"Chlordane, cis-"	"ug/L"	"Chlordane_cis_ug_L"	8	"Organochlorine"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"cis-Chlordane (µg/L)"	NA	0.1	NA	"Chlordane_cis_ug_L"
"Total"	"Chlordane, trans-"	"ng/g dw"	"Chlordane_trans_ng_g_dw"	8	"Organochlorine"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"trans-Chlordane (ng/g dry weight)"	NA	NA	NA	"Chlordane_trans_ng_g_dw"
"Total"	"Chlordane, trans-"	"ug/L"	"Chlordane_trans_ug_L"	8	"Organochlorine"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"trans-Chlordane (µg/L)"	NA	0.1	NA	"Chlordane_trans_ug_L"
"Total"	"Chlordene, cis-"	"ug/L"	"Chlordene_cis_ug_L"	8	"Organochlorine"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"cis-Chlordene (µg/L)"	NA	NA	NA	"Chlordene_cis_ug_L"
"Total"	"Chlordene, trans-"	"ug/L"	"Chlordene_trans_ug_L"	8	"Organochlorine"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"trans-Chlordene (µg/L)"	NA	NA	NA	"Chlordene_trans_ug_L"
"Total"	"Dieldrin"	"ng/g dw"	"Dieldrin_tot_ng_g_dw"	8	"Organochlorine"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Dieldrin (ng/g dry weight)"	NA	NA	NA	"Dieldrin_tot_ng_g_dw"
"Total"	"Dieldrin"	"ug/L"	"Dieldrin_ug_L"	8	"Organochlorine"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Dieldrin (µg/L)"	NA	NA	NA	"Dieldrin_ug_L"
"Total"	"Endosulfan I"	"ng/g dw"	"Endosulfan_I_ng_g_dw"	8	"Organochlorine"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Endosulfan I (ng/g dry weight)"	NA	NA	NA	"Endosulfan_I_ng_g_dw"
"Total"	"Endosulfan I"	"ug/L"	"Endosulfan_I_ug_L"	8	"Organochlorine"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Endosulfan I (µg/L)"	NA	NA	NA	"Endosulfan_I_ug_L"
"Total"	"Endosulfan II"	"ug/L"	"Endosulfan_II_ug_L"	8	"Organochlorine"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Endosulfan II (µg/L)"	NA	NA	NA	"Endosulfan_II_ug_L"
"Total"	"Endosulfan Sulfate"	"ug/L"	"Endosulfan_Sulfate_ug_L"	8	"Organochlorine"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Endosulfan sulfate (µg/L)"	NA	NA	NA	"Endosulfan_Sulfate_ug_L"
"Total"	"Endrin Aldehyde"	"ug/L"	"Endrin_Aldehyde_ug_L"	8	"Organochlorine"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Endrin aldehyde (µg/L)"	NA	NA	NA	"Endrin_Aldehyde_ug_L"
"Total"	"Endrin Ketone"	"ug/L"	"Endrin_Ketone_ug_L"	8	"Organochlorine"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Endrin ketone (µg/L)"	NA	NA	NA	"Endrin_Ketone_ug_L"
"Total"	"Endrin"	"ng/g dw"	"Endrin_ng_g_dw"	8	"Organochlorine"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Endrin (ng/g dry weight)"	NA	NA	NA	"Endrin_ng_g_dw"
"Total"	"Endrin"	"ug/L"	"Endrin_ug_L"	8	"Organochlorine"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Endrin (µg/L)"	NA	NA	NA	"Endrin_ug_L"
"Total"	"HCH, alpha-"	"ng/g dw"	"HCH_alpha_ng_g_dw"	8	"Organochlorine"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"alpha-HCH (ng/g dry weight)"	NA	NA	NA	"HCH_alpha_ng_g_dw"
"Total"	"HCH, alpha-"	"ug/L"	"HCH_alpha_ug_L"	8	"Organochlorine"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"alpha-HCH (µg/L)"	NA	NA	NA	"HCH_alpha_ug_L"
"Total"	"HCH, beta-"	"ng/g dw"	"HCH_beta_ng_g_dw"	8	"Organochlorine"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"beta-HCH (ng/g dry weight)"	NA	NA	NA	"HCH_beta_ng_g_dw"
"Total"	"HCH, beta-"	"ug/L"	"HCH_beta_ug_L"	8	"Organochlorine"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"beta-HCH (µg/L)"	NA	NA	NA	"HCH_beta_ug_L"
"Total"	"HCH, delta-"	"ug/L"	"HCH_delta_ug_L"	8	"Organochlorine"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"delta-HCH (µg/L)"	NA	NA	NA	"HCH_delta_ug_L"
"Total"	"HCH, gamma-"	"ng/g dw"	"HCH_gamma_ng_g_dw"	8	"Organochlorine"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"gamma-HCH (ng/g dry weight)"	NA	NA	NA	"HCH_gamma_ng_g_dw"
"Total"	"HCH, gamma-"	"ug/L"	"HCH_gamma_ug_L"	8	"Organochlorine"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"gamma-HCH (µg/L)"	NA	NA	NA	"HCH_gamma_ug_L"
"Total"	"Heptachlor Epoxide"	"ng/g dw"	"Heptachlor_Epoxide_ng_g_dw"	8	"Organochlorine"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Heptachlor epoxide (ng/g dry weight)"	NA	NA	NA	"Heptachlor_Epoxide_ng_g_dw"
"Total"	"Heptachlor Epoxide"	"ug/L"	"Heptachlor_Epoxide_ug_L"	8	"Organochlorine"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Heptachlor epoxide (µg/L)"	NA	0.01	NA	"Heptachlor_Epoxide_ug_L"
"Total"	"Heptachlor"	"ng/g dw"	"Heptachlor_ng_g_dw"	8	"Organochlorine"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Heptachlor (ng/g dry weight)"	NA	NA	NA	"Heptachlor_ng_g_dw"
"Total"	"Heptachlor"	"ug/L"	"Heptachlor_ug_L"	8	"Organochlorine"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Heptachlor (µg/L)"	NA	0.01	NA	"Heptachlor_ug_L"
"Total"	"Hexachlorobenzene"	"ng/g dw"	"Hexachlorobenzene_ng_g_dw"	8	"Organochlorine"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Hexachlorobenzene (ng/g dry weight)"	NA	NA	NA	"Hexachlorobenzene_ng_g_dw"
"Total"	"Hexachlorobenzene"	"ug/L"	"Hexachlorobenzene_ug_L"	8	"Organochlorine"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Hexachlorobenzene (µg/L)"	NA	1	NA	"Hexachlorobenzene_ug_L"
"Total"	"Hexachlorobutadiene"	"ug/L"	"Hexachlorobutadiene_ug_L"	8	"Organochlorine"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Hexachlorobutadiene (µg/L)"	NA	NA	NA	"Hexachlorobutadiene_ug_L"
"Total"	"Methoxychlor"	"ng/g dw"	"Methoxychlor_ng_g_dw"	8	"Organochlorine"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Methoxychlor (ng/g dry weight)"	NA	NA	NA	"Methoxychlor_ng_g_dw"
"Total"	"Methoxychlor"	"ug/L"	"Methoxychlor_ug_L"	8	"Organochlorine"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Methoxychlor (µg/L)"	NA	30	NA	"Methoxychlor_ug_L"
"Total"	"Oxychlordane"	"ng/g dw"	"Oxychlordane_ng_g_dw"	8	"Organochlorine"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Oxychlordane (ng/g dry weight)"	NA	NA	NA	"Oxychlordane_ng_g_dw"
"Total"	"Oxychlordane"	"ug/L"	"Oxychlordane_ug_L"	8	"Organochlorine"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Oxychlordane (µg/L)"	NA	NA	NA	"Oxychlordane_ug_L"
"Total"	"Tedion"	"ug/L"	"Tedion_ug_L"	8	"Organochlorine"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Tedion (µg/L)"	NA	NA	NA	"Tedion_ug_L"
"Total"	"Bromobenzene"	"ug/L"	"Bromobenzene_ug_L"	9	"Organohalide"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Bromobenzene (µg/L)"	NA	NA	NA	"Bromobenzene_ug_L"
"Total"	"Bromochloromethane"	"ug/L"	"Bromochloromethane_ug_L"	9	"Organohalide"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Bromochloromethane (µg/L)"	NA	NA	NA	"Bromochloromethane_ug_L"
"Total"	"Bromodichloromethane"	"ug/L"	"Bromodichloromethane_ug_L"	9	"Organohalide"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Bromodichloromethane (µg/L)"	NA	NA	NA	"Bromodichloromethane_ug_L"
"Total"	"Bromoform"	"ug/L"	"Bromoform_ug_L"	9	"Organohalide"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Bromoform (µg/L)"	NA	NA	NA	"Bromoform_ug_L"
"Total"	"Carbon Tetrachloride"	"ug/L"	"Carbon_tetrachloride_ug_L"	9	"Organohalide"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Carbon tetrachloride (µg/L)"	NA	0.5	NA	"Carbon_tetrachloride_ug_L"
"Total"	"Chlorobenzene"	"ug/L"	"Chlorobenzene_ug_L"	9	"Organohalide"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Chlorobenzene (µg/L)"	NA	70	NA	"Chlorobenzene_ug_L"
"Total"	"Chloroform"	"ug/L"	"Chloroform_ug_L"	9	"Organohalide"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Chloroform (µg/L)"	NA	NA	NA	"Chloroform_ug_L"
"Total"	"Chlorotoluene, 2-"	"ug/L"	"Chlorotoluene_2_ug_L"	9	"Organohalide"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"2-Chlorotoluene (µg/L)"	NA	NA	NA	"Chlorotoluene_2_ug_L"
"Total"	"Chlorotoluene, 4-"	"ug/L"	"Chlorotoluene_4_ug_L"	9	"Organohalide"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"4-Chlorotoluene (µg/L)"	NA	NA	NA	"Chlorotoluene_4_ug_L"
"Total"	"Dibromo-3-Chloropropane, 1,2-"	"ug/L"	"Dibromo_3_chloropropane_12_ug_L"	9	"Organohalide"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"1,2-Dibromo-3-chloropropane (µg/L)"	NA	0.2	NA	"Dibromo_3_chloropropane_12_ug_L"
"Total"	"Dibromochloromethane"	"ug/L"	"Dibromochloromethane_ug_L"	9	"Organohalide"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Dibromochloromethane (µg/L)"	NA	NA	NA	"Dibromochloromethane_ug_L"
"Total"	"Dibromoethane, 1,2-"	"ug/L"	"Dibromoethane_12_ug_L"	9	"Organohalide"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"1,2-Dibromoethane (µg/L)"	NA	NA	NA	"Dibromoethane_12_ug_L"
"Total"	"Dibromomethane"	"ug/L"	"Dibromomethane_ug_L"	9	"Organohalide"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Dibromomethane (µg/L)"	NA	NA	NA	"Dibromomethane_ug_L"
"Total"	"Dichlorobenzene, 1,2-"	"ug/L"	"Dichlorobenzene_12_ug_L"	9	"Organohalide"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"1,2-Dichlorobenzene (µg/L)"	NA	600	NA	"Dichlorobenzene_12_ug_L"
"Total"	"Dichlorobenzene, 1,3-"	"ug/L"	"Dichlorobenzene_13_ug_L"	9	"Organohalide"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"1,3-Dichlorobenzene (µg/L)"	NA	NA	NA	"Dichlorobenzene_13_ug_L"
"Total"	"Dichlorobenzene, 1,4-"	"ug/L"	"Dichlorobenzene_14_ug_L"	9	"Organohalide"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"1,4-Dichlorobenzene (µg/L)"	NA	5	NA	"Dichlorobenzene_14_ug_L"
"Total"	"Dichloroethane, 1,1-"	"ug/L"	"Dichloroethane_11_ug_L"	9	"Organohalide"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"1,1-Dichloroethane (µg/L)"	NA	5	NA	"Dichloroethane_11_ug_L"
"Total"	"Dichloroethane, 1,2-"	"ug/L"	"Dichloroethane_12_ug_L"	9	"Organohalide"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"1,2-Dichloroethane (µg/L)"	NA	0.5	NA	"Dichloroethane_12_ug_L"
"Total"	"Dichloroethylene, 1,1-"	"ug/L"	"Dichloroethylene_11_ug_L"	9	"Organohalide"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"1,1-Dichloroethylene (µg/L)"	NA	6	NA	"Dichloroethylene_11_ug_L"
"Total"	"Dichloroethylene, cis 1,2-"	"ug/L"	"Dichloroethylene_cis_12_ug_L"	9	"Organohalide"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"cis-1,2-Dichloroethylene (µg/L)"	NA	6	NA	"Dichloroethylene_cis_12_ug_L"
"Total"	"Dichloroethylene, trans 1,2-"	"ug/L"	"Dichloroethylene_trans_12_ug_L"	9	"Organohalide"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"trans 1,2-Dichloroethylene (µg/L)"	NA	10	NA	"Dichloroethylene_trans_12_ug_L"
"Total"	"Dichloropropane, 1,2-"	"ug/L"	"Dichloropropane_12_ug_L"	9	"Organohalide"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"1,2-Dichloropropane (µg/L)"	NA	5	NA	"Dichloropropane_12_ug_L"
"Total"	"Dichloropropane, 1,3-"	"ug/L"	"Dichloropropane_13_ug_L"	9	"Organohalide"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"1,3-Dichloropropane (µg/L)"	NA	NA	NA	"Dichloropropane_13_ug_L"
"Total"	"Dichloropropane, 2,2-"	"ug/L"	"Dichloropropane_22_ug_L"	9	"Organohalide"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"2,2-Dichloropropane (µg/L)"	NA	NA	NA	"Dichloropropane_22_ug_L"
"Total"	"Dichloropropene, 1,1-"	"ug/L"	"Dichloropropene_11_ug_L"	9	"Organohalide"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"1,1-Dichloropropene (µg/L)"	NA	NA	NA	"Dichloropropene_11_ug_L"
"Total"	"Mirex"	"ng/g dw"	"Mirex_tot_ng_g_dw"	9	"Organohalide"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Mirex (ng/g dry weight)"	NA	NA	NA	"Mirex_tot_ng_g_dw"
"Total"	"Mirex"	"ug/L"	"Mirex_ug_L"	9	"Organohalide"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Mirex (µg/L)"	NA	NA	NA	"Mirex_ug_L"
"Total"	"Nonachlor, cis-"	"ng/g dw"	"Nonachlor_cis_ng_g_dw"	9	"Organohalide"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"cis-Nonachlor (ng/g dry weight)"	NA	NA	NA	"Nonachlor_cis_ng_g_dw"
"Total"	"Nonachlor, cis-"	"ug/L"	"Nonachlor_cis_ug_L"	9	"Organohalide"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"cis-Nonachlor (µg/L)"	NA	NA	NA	"Nonachlor_cis_ug_L"
"Total"	"Nonachlor, trans-"	"ng/g dw"	"Nonachlor_trans_ng_g_dw"	9	"Organohalide"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"trans-Nonachlor (ng/g dry weight)"	NA	NA	NA	"Nonachlor_trans_ng_g_dw"
