"ANALYSIS_TYPE"	"CHEMICAL_NAME"	"FinalUnit"	"StdParamName"	"GroupNum"	"GroupName"	"LogTransf"	"SSD"	"SSTV"	"SensMin"	"SensMax"	"TolMin"	"TolMax"	"UseInStressorID"	"DirIncStress"	"SSTVname"	"Label"	"MinWQO_CAR9"	"MCL_Primary"	"MCL_Secondary"	"Analyte"
"Total"	"Terbutryn"	"ug/L"	"Terbutryn_ug_L"	4	"Herbicide"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Terbutryn (µg/L)"	NA	NA	NA	"Terbutryn_ug_L"
"Total"	"Thiobencarb"	"ug/L"	"Thiobencarb_ug_L"	4	"Herbicide"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Thiobencarb (µg/L)"	NA	70	1	"Thiobencarb_ug_L"
"Total"	"Atrazine"	"ug/L"	"Atrazine_ug_L"	4	"Herbicide"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Atrazine (µg/L)"	NA	1	NA	"Atrazine_ug_L"
"Total"	"Molinate"	"ug/L"	"Molinate_ug_L"	4	"Herbicide"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Molinate (µg/L)"	NA	20	NA	"Molinate_ug_L"
"Total"	"Oxadiazon"	"ng/g dw"	"Oxadiazon_ng_g_dw"	4	"Herbicide"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Oxadiazon (ng/g dry weight)"	NA	NA	NA	"Oxadiazon_ng_g_dw"
"Total"	"Oxadiazon"	"ug/L"	"Oxadiazon_ug_L"	4	"Herbicide"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Oxadiazon (µg/L)"	NA	NA	NA	"Oxadiazon_ug_L"
"Total"	"Prometon"	"ug/L"	"Prometon_ug_L"	4	"Herbicide"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Prometon (µg/L)"	NA	NA	NA	"Prometon_ug_L"
"Total"	"Prometryn"	"ug/L"	"Prometryn_ug_L"	4	"Herbicide"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Prometryn (µg/L)"	NA	NA	NA	"Prometryn_ug_L"
"Total"	"Propazine"	"ug/L"	"Propazine_ug_L"	4	"Herbicide"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Propazine (µg/L)"	NA	NA	NA	"Propazine_ug_L"
"Total"	"Secbumeton"	"ug/L"	"Secbumeton_ug_L"	4	"Herbicide"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Secbumeton (µg/L)"	NA	NA	NA	"Secbumeton_ug_L"
"Total"	"Simazine"	"ug/L"	"Simazine_ug_L"	4	"Herbicide"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Simazine (µg/L)"	NA	4	NA	"Simazine_ug_L"
"Total"	"Simetryn"	"ug/L"	"Simetryn_ug_L"	4	"Herbicide"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Simetryn (µg/L)"	NA	NA	NA	"Simetryn_ug_L"
"Total"	"Terbuthylazine"	"ug/L"	"Terbuthylazine_ug_L"	4	"Herbicide"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Terbuthylazine (µg/L)"	NA	NA	NA	"Terbuthylazine_ug_L"
"Total"	"Ametryn"	"ug/L"	"Ametryn_ug_L"	4	"Herbicide"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Ametryn (µg/L)"	NA	NA	NA	"Ametryn_ug_L"
"Total"	"Atraton"	"ug/L"	"Atraton_ug_L"	4	"Herbicide"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Atraton (µg/L)"	NA	NA	NA	"Atraton_ug_L"
"Total"	"Dacthal"	"ng/g dw"	"Dacthal_tot_ng_g_dw"	4	"Herbicide"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Dacthal (ng/g dry weight)"	NA	NA	NA	"Dacthal_tot_ng_g_dw"
"Total"	"Dacthal"	"ug/L"	"Dacthal_ug_L"	4	"Herbicide"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Dacthal (µg/L)"	NA	NA	NA	"Dacthal_ug_L"
"Particulate"	"AFDM_Algae"	"g/m2"	"AFDM_algae_particulate_g_m2"	7	"Nutrients"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Ash-free dry mass from algae (g/m2)"	NA	NA	NA	"AFDM_algae_particulate_g_m2"
"Dissolved"	"Alkalinity as CaCO3"	"mg/L"	"Alkalinity_CaCO3_f_mg_L"	17	"Water quality"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Dissolved alkalinity as calcium carbonate (mg/L)"	NA	NA	NA	"Alkalinity_CaCO3_f_mg_L"
"Field_None"	"Alkalinity as CaCO3"	"mg/L"	"Alkalinity_CaCO3_fld_mg_L"	17	"Water quality"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Field-measured alkalinity as calcium carbonate (mg/L)"	NA	NA	NA	"Alkalinity_CaCO3_fld_mg_L"
"Field_Total"	"Alkalinity as CaCO3"	"mg/L"	"Alkalinity_CaCO3_fld_mg_L"	17	"Water quality"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Field-measured alkalinity as calcium carbonate (mg/L)"	NA	NA	NA	"Alkalinity_CaCO3_fld_mg_L"
"Total"	"Alkalinity as CaCO3"	"mg/L"	"Alkalinity_CaCO3_uf_mg_L"	17	"Water quality"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Total alkalinity as calcium carbonate (mg/L)"	NA	NA	NA	"Alkalinity_CaCO3_uf_mg_L"
"Dissolved"	"Aluminum"	"ug/L"	"Aluminum_f_ug_L"	6	"Metals_metalloids"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Dissolved aluminum (µg/L)"	NA	1	200	"Aluminum_f_ug_L"
"Total"	"Aluminum"	"mg/kg dw"	"Aluminum_tot_mg_kg_dw"	6	"Metals_metalloids"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Total aluminum (mg/kg dry weight)"	NA	NA	NA	"Aluminum_tot_mg_kg_dw"
"Total"	"Aluminum"	"ug/L"	"Aluminum_uf_ug_L"	6	"Metals_metalloids"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Total aluminum (µg/L)"	NA	1	200	"Aluminum_uf_ug_L"
"Total"	"Acid Neutralizing Capacity"	"ueq/L"	"ANC_ueq_L"	17	"Water quality"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Total acid neutralizing capacity (µeq/L)"	NA	NA	NA	"ANC_ueq_L"
"Dissolved"	"Antimony"	"ug/L"	"Antimony_f_ug_L"	6	"Metals_metalloids"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Dissolved antimony (µg/L)"	NA	0.006	NA	"Antimony_f_ug_L"
"Total"	"Antimony"	"ug/L"	"Antimony_uf_ug_L"	6	"Metals_metalloids"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Total antimony (µg/L)"	NA	0.006	NA	"Antimony_uf_ug_L"
"Dissolved"	"Arsenic"	"ug/L"	"Arsenic_f_ug_L"	6	"Metals_metalloids"	1	1	0	NA	NA	NA	NA	1	"Inc"	""	"Dissolved arsenic (µg/L)"	NA	0.05	NA	"Arsenic_f_ug_L"
"Total"	"Arsenic"	"mg/kg dw"	"Arsenic_tot_mg_kg_dw"	6	"Metals_metalloids"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Total arsenic (mg/kg dry weight)"	NA	NA	NA	"Arsenic_tot_mg_kg_dw"
"Total"	"Arsenic"	"ug/L"	"Arsenic_uf_ug_L"	6	"Metals_metalloids"	1	1	0	NA	NA	NA	NA	1	"Inc"	""	"Total arsenic (µg/L)"	NA	0.05	NA	"Arsenic_uf_ug_L"
"Dissolved"	"Barium"	"ug/L"	"Barium_f_ug_L"	6	"Metals_metalloids"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Dissolved barium (µg/L)"	NA	1	NA	"Barium_f_ug_L"
"Total"	"Barium"	"ug/L"	"Barium_uf_ug_L"	6	"Metals_metalloids"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Total barium (µg/L)"	NA	1	NA	"Barium_uf_ug_L"
"Dissolved"	"Beryllium"	"ug/L"	"Beryllium_f_ug_L"	6	"Metals_metalloids"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Dissolved beryllium (µg/L)"	NA	0.004	NA	"Beryllium_f_ug_L"
