ANALYSIS_TYPE	CHEMICAL_NAME	FinalUnit	StdParamName	GroupNum	GroupName	LogTransf	SSD	SSTV	SensMin	SensMax	TolMin	TolMax	UseInStressorID	DirIncStress	SSTVname	Label	MinWQO_CAR9	MCL_Primary	MCL_Secondary
Total	Endosulfan II	ug/L	Endosulfan_II_ug_L	8	Organochlorine	1	0	0	NA	NA	NA	NA	1	Inc		Endosulfan II (µg/L)			
Total	Endosulfan Sulfate	ug/L	Endosulfan_Sulfate_ug_L	8	Organochlorine	1	0	0	NA	NA	NA	NA	1	Inc		Endosulfan sulfate (µg/L)			
Total	Endrin Aldehyde	ug/L	Endrin_Aldehyde_ug_L	8	Organochlorine	1	0	0	NA	NA	NA	NA	1	Inc		Endrin aldehyde (µg/L)			
Total	Endrin Ketone	ug/L	Endrin_Ketone_ug_L	8	Organochlorine	1	0	0	NA	NA	NA	NA	1	Inc		Endrin ketone (µg/L)			
Total	Endrin	ng/g dw	Endrin_ng_g_dw	8	Organochlorine	1	0	0	NA	NA	NA	NA	1	Inc		Endrin (ng/g dry weight)			
Total	Endrin	ug/L	Endrin_ug_L	8	Organochlorine	1	0	0	NA	NA	NA	NA	1	Inc		Endrin (µg/L)			
Total	"HCH, alpha-"	ng/g dw	HCH_alpha_ng_g_dw	8	Organochlorine	1	0	0	NA	NA	NA	NA	1	Inc		alpha-HCH (ng/g dry weight)			
Total	"HCH, alpha-"	ug/L	HCH_alpha_ug_L	8	Organochlorine	1	0	0	NA	NA	NA	NA	1	Inc		alpha-HCH (µg/L)			
Total	"HCH, beta-"	ng/g dw	HCH_beta_ng_g_dw	8	Organochlorine	1	0	0	NA	NA	NA	NA	1	Inc		beta-HCH (ng/g dry weight)			
Total	"HCH, beta-"	ug/L	HCH_beta_ug_L	8	Organochlorine	1	0	0	NA	NA	NA	NA	1	Inc		beta-HCH (µg/L)			
Total	"HCH, delta-"	ug/L	HCH_delta_ug_L	8	Organochlorine	1	0	0	NA	NA	NA	NA	1	Inc		delta-HCH (µg/L)			
Total	"HCH, gamma-"	ng/g dw	HCH_gamma_ng_g_dw	8	Organochlorine	1	0	0	NA	NA	NA	NA	1	Inc		gamma-HCH (ng/g dry weight)			
Total	"HCH, gamma-"	ug/L	HCH_gamma_ug_L	8	Organochlorine	1	0	0	NA	NA	NA	NA	1	Inc		gamma-HCH (µg/L)			
Total	Heptachlor Epoxide	ng/g dw	Heptachlor_Epoxide_ng_g_dw	8	Organochlorine	1	0	0	NA	NA	NA	NA	1	Inc		Heptachlor epoxide (ng/g dry weight)			
Total	Heptachlor Epoxide	ug/L	Heptachlor_Epoxide_ug_L	8	Organochlorine	1	0	0	NA	NA	NA	NA	1	Inc		Heptachlor epoxide (µg/L)		0.01	
Total	Heptachlor	ng/g dw	Heptachlor_ng_g_dw	8	Organochlorine	1	0	0	NA	NA	NA	NA	1	Inc		Heptachlor (ng/g dry weight)			
Total	Heptachlor	ug/L	Heptachlor_ug_L	8	Organochlorine	1	0	0	NA	NA	NA	NA	1	Inc		Heptachlor (µg/L)		0.01	
Total	Hexachlorobenzene	ng/g dw	Hexachlorobenzene_ng_g_dw	8	Organochlorine	1	0	0	NA	NA	NA	NA	1	Inc		Hexachlorobenzene (ng/g dry weight)			
Total	Hexachlorobenzene	ug/L	Hexachlorobenzene_ug_L	8	Organochlorine	1	0	0	NA	NA	NA	NA	1	Inc		Hexachlorobenzene (µg/L)		1	
Total	Hexachlorobutadiene	ug/L	Hexachlorobutadiene_ug_L	8	Organochlorine	1	0	0	NA	NA	NA	NA	1	Inc		Hexachlorobutadiene (µg/L)			
Total	Methoxychlor	ng/g dw	Methoxychlor_ng_g_dw	8	Organochlorine	1	0	0	NA	NA	NA	NA	1	Inc		Methoxychlor (ng/g dry weight)			
Total	Methoxychlor	ug/L	Methoxychlor_ug_L	8	Organochlorine	1	0	0	NA	NA	NA	NA	1	Inc		Methoxychlor (µg/L)		30	
Total	Oxychlordane	ng/g dw	Oxychlordane_ng_g_dw	8	Organochlorine	1	0	0	NA	NA	NA	NA	1	Inc		Oxychlordane (ng/g dry weight)			
Total	Oxychlordane	ug/L	Oxychlordane_ug_L	8	Organochlorine	1	0	0	NA	NA	NA	NA	1	Inc		Oxychlordane (µg/L)			
Total	Tedion	ug/L	Tedion_ug_L	8	Organochlorine	1	0	0	NA	NA	NA	NA	1	Inc		Tedion (µg/L)			
Total	Bromobenzene	ug/L	Bromobenzene_ug_L	9	Organohalide	1	0	0	NA	NA	NA	NA	1	Inc		Bromobenzene (µg/L)			
Total	Bromochloromethane	ug/L	Bromochloromethane_ug_L	9	Organohalide	1	0	0	NA	NA	NA	NA	1	Inc		Bromochloromethane (µg/L)			
Total	Bromodichloromethane	ug/L	Bromodichloromethane_ug_L	9	Organohalide	1	0	0	NA	NA	NA	NA	1	Inc		Bromodichloromethane (µg/L)			
Total	Bromoform	ug/L	Bromoform_ug_L	9	Organohalide	1	0	0	NA	NA	NA	NA	1	Inc		Bromoform (µg/L)			
Total	Carbon Tetrachloride	ug/L	Carbon_tetrachloride_ug_L	9	Organohalide	1	0	0	NA	NA	NA	NA	1	Inc		Carbon tetrachloride (µg/L)		0.5	
Total	Chlorobenzene	ug/L	Chlorobenzene_ug_L	9	Organohalide	1	0	0	NA	NA	NA	NA	1	Inc		Chlorobenzene (µg/L)		70	
Total	Chloroform	ug/L	Chloroform_ug_L	9	Organohalide	1	0	0	NA	NA	NA	NA	1	Inc		Chloroform (µg/L)			
Total	"Chlorotoluene, 2-"	ug/L	Chlorotoluene_2_ug_L	9	Organohalide	1	0	0	NA	NA	NA	NA	1	Inc		2-Chlorotoluene (µg/L)			
Total	"Chlorotoluene, 4-"	ug/L	Chlorotoluene_4_ug_L	9	Organohalide	1	0	0	NA	NA	NA	NA	1	Inc		4-Chlorotoluene (µg/L)			
Total	"Dibromo-3-Chloropropane, 1,2-"	ug/L	Dibromo_3_chloropropane_12_ug_L	9	Organohalide	1	0	0	NA	NA	NA	NA	1	Inc		"1,2-Dibromo-3-chloropropane (µg/L)"		0.2	
Total	Dibromochloromethane	ug/L	Dibromochloromethane_ug_L	9	Organohalide	1	0	0	NA	NA	NA	NA	1	Inc		Dibromochloromethane (µg/L)			
Total	"Dibromoethane, 1,2-"	ug/L	Dibromoethane_12_ug_L	9	Organohalide	1	0	0	NA	NA	NA	NA	1	Inc		"1,2-Dibromoethane (µg/L)"			
Total	Dibromomethane	ug/L	Dibromomethane_ug_L	9	Organohalide	1	0	0	NA	NA	NA	NA	1	Inc		Dibromomethane (µg/L)			
Total	"Dichlorobenzene, 1,2-"	ug/L	Dichlorobenzene_12_ug_L	9	Organohalide	1	0	0	NA	NA	NA	NA	1	Inc		"1,2-Dichlorobenzene (µg/L)"		600	
Total	"Dichlorobenzene, 1,3-"	ug/L	Dichlorobenzene_13_ug_L	9	Organohalide	1	0	0	NA	NA	NA	NA	1	Inc		"1,3-Dichlorobenzene (µg/L)"			
Total	"Dichlorobenzene, 1,4-"	ug/L	Dichlorobenzene_14_ug_L	9	Organohalide	1	0	0	NA	NA	NA	NA	1	Inc		"1,4-Dichlorobenzene (µg/L)"		5	
Total	"Dichloroethane, 1,1-"	ug/L	Dichloroethane_11_ug_L	9	Organohalide	1	0	0	NA	NA	NA	NA	1	Inc		"1,1-Dichloroethane (µg/L)"		5	
Total	"Dichloroethane, 1,2-"	ug/L	Dichloroethane_12_ug_L	9	Organohalide	1	0	0	NA	NA	NA	NA	1	Inc		"1,2-Dichloroethane (µg/L)"		0.5	
Total	"Dichloroethylene, 1,1-"	ug/L	Dichloroethylene_11_ug_L	9	Organohalide	1	0	0	NA	NA	NA	NA	1	Inc		"1,1-Dichloroethylene (µg/L)"		6	
Total	"Dichloroethylene, cis 1,2-"	ug/L	Dichloroethylene_cis_12_ug_L	9	Organohalide	1	0	0	NA	NA	NA	NA	1	Inc		"cis-1,2-Dichloroethylene (µg/L)"		6	
Total	"Dichloroethylene, trans 1,2-"	ug/L	Dichloroethylene_trans_12_ug_L	9	Organohalide	1	0	0	NA	NA	NA	NA	1	Inc		"trans 1,2-Dichloroethylene (µg/L)"		10	
Total	"Dichloropropane, 1,2-"	ug/L	Dichloropropane_12_ug_L	9	Organohalide	1	0	0	NA	NA	NA	NA	1	Inc		"1,2-Dichloropropane (µg/L)"		5	
Total	"Dichloropropane, 1,3-"	ug/L	Dichloropropane_13_ug_L	9	Organohalide	1	0	0	NA	NA	NA	NA	1	Inc		"1,3-Dichloropropane (µg/L)"			
Total	"Dichloropropane, 2,2-"	ug/L	Dichloropropane_22_ug_L	9	Organohalide	1	0	0	NA	NA	NA	NA	1	Inc		"2,2-Dichloropropane (µg/L)"			
Total	"Dichloropropene, 1,1-"	ug/L	Dichloropropene_11_ug_L	9	Organohalide	1	0	0	NA	NA	NA	NA	1	Inc		"1,1-Dichloropropene (µg/L)"			
Total	Mirex	ng/g dw	Mirex_tot_ng_g_dw	9	Organohalide	1	0	0	NA	NA	NA	NA	1	Inc		Mirex (ng/g dry weight)			
Total	Mirex	ug/L	Mirex_ug_L	9	Organohalide	1	0	0	NA	NA	NA	NA	1	Inc		Mirex (µg/L)			
Total	"Nonachlor, cis-"	ng/g dw	Nonachlor_cis_ng_g_dw	9	Organohalide	1	0	0	NA	NA	NA	NA	1	Inc		cis-Nonachlor (ng/g dry weight)			
Total	"Nonachlor, cis-"	ug/L	Nonachlor_cis_ug_L	9	Organohalide	1	0	0	NA	NA	NA	NA	1	Inc		cis-Nonachlor (µg/L)			
Total	"Nonachlor, trans-"	ng/g dw	Nonachlor_trans_ng_g_dw	9	Organohalide	1	0	0	NA	NA	NA	NA	1	Inc		trans-Nonachlor (ng/g dry weight)			
Total	"Nonachlor, trans-"	ug/L	Nonachlor_trans_ug_L	9	Organohalide	1	0	0	NA	NA	NA	NA	1	Inc		trans-Nonachlor (µg/L)			
Total	"Tetrachloroethane, 1,1,1,2-"	ug/L	Tetrachloroethane_1112-ug_L	9	Organohalide	1	0	0	NA	NA	NA	NA	1	Inc		"1,1,1,2-Tetrachloroethane (µg/L)"			
Total	"Tetrachloroethane, 1,1,2,2-"	ug/L	Tetrachloroethane_1122_ug_L	9	Organohalide	1	0	0	NA	NA	NA	NA	1	Inc		"1,1,2,2-Tetrachloroethane (µg/L)"		1	
Total	Tetrachloroethylene	ug/L	Tetrachloroethylene_ug_L	9	Organohalide	1	0	0	NA	NA	NA	NA	1	Inc		Tetrachloroethylene (µg/L)		5	
Total	"Trichlorobenzene, 1,2,3-"	ug/L	Trichlorobenzene_123_ug_L	9	Organohalide	1	0	0	NA	NA	NA	NA	1	Inc		"1,2,3-Trichlorobenzene (µg/L)"			
Total	"Trichlorobenzene, 1,2,4-"	ug/L	Trichlorobenzene_124_ug_L	9	Organohalide	1	0	0	NA	NA	NA	NA	1	Inc		"1,2,4-Trichlorobenzene (µg/L)"		5	
Total	"Trichloroethane, 1,1,1-"	ug/L	Trichloroethane_111_ug_L	9	Organohalide	1	0	0	NA	NA	NA	NA	1	Inc		"1,1,1-Trichloroethane (µg/L)"		200	
Total	"Trichloroethane, 1,1,2-"	ug/L	Trichloroethane_112_ug_L	9	Organohalide	1	0	0	NA	NA	NA	NA	1	Inc		"1,1,2-Trichloroethane (µg/L)"		5	
Total	Trichloroethylene	ug/L	Trichloroethylene_ug_L	9	Organohalide	1	0	0	NA	NA	NA	NA	1	Inc		Trichloroethylene (µg/L)		5	
Total	"Trichloropropane, 1,2,3-"	ug/L	Trichloropropane_123_ug_L	9	Organohalide	1	0	0	NA	NA	NA	NA	1	Inc		"1,2,3-Trichloropropane (µg/L)"			
Total	Aspon	ug/L	Aspon_ug_L	10	Organophosphate	1	0	0	NA	NA	NA	NA	1	Inc		Aspon (µg/L)			
Total	Azinphos Ethyl	ug/L	Azinphos_Ethyl_ug_L	10	Organophosphate	1	0	0	NA	NA	NA	NA	1	Inc		Ethyl azinphos (µg/L)			
Total	Azinphos Methyl	ug/L	Azinphos_Methyl_ug_L	10	Organophosphate	1	0	0	NA	NA	NA	NA	1	Inc		Methyl azinphos (µg/L)			
Total	Bolstar	ug/L	Bolstar_ug_L	10	Organophosphate	1	0	0	NA	NA	NA	NA	1	Inc		Bolstar (µg/L)			
Total	Carbophenothion	ug/L	Carbophenothion_ug_L	10	Organophosphate	1	0	0	NA	NA	NA	NA	1	Inc		Carbophenothion (µg/L)			
Total	Chlorfenvinphos	ug/L	Chlorfenvinphos_ug_L	10	Organophosphate	1	0	0	NA	NA	NA	NA	1	Inc		Chlorfenvinphos (µg/L)			
Total	Chlorpyrifos Methyl	ug/L	Chlorpyrifos_Methyl_ug_L	10	Organophosphate	1	0	0	NA	NA	NA	NA	1	Inc		Methyl chlorpyrifos (µg/L)			
Total	Chlorpyrifos	ug/L	Chlorpyrifos_ug_L	10	Organophosphate	1	0	0	NA	NA	NA	NA	1	Inc		Chlorpyrifos (µg/L)			
Total	Ciodrin	ug/L	Ciodrin_ug_L	10	Organophosphate	1	0	0	NA	NA	NA	NA	1	Inc		Ciodrin (µg/L)			
Total	Coumaphos	ug/L	Coumaphos_ug_L	10	Organophosphate	1	0	0	NA	NA	NA	NA	1	Inc		Coumaphos (µg/L)			
Total	Demeton-s	ug/L	Demeton_s_ug_L	10	Organophosphate	1	0	0	NA	NA	NA	NA	1	Inc		Demeton-s (µg/L)			
Total	Diazinon	ug/L	Diazinon_ug_L	10	Organophosphate	1	0	0	NA	NA	NA	NA	1	Inc		Diazinon (µg/L)			
Total	Dichlofenthion	ug/L	Dichlofenthion_ug_L	10	Organophosphate	1	0	0	NA	NA	NA	NA	1	Inc		Dichlofenthion (µg/L)			
Total	Dichlorvos	ug/L	Dichlorvos_ug_L	10	Organophosphate	1	0	0	NA	NA	NA	NA	1	Inc		Dichlorvos (µg/L)			
Total	Dicrotophos	ug/L	Dicrotophos_ug_L	10	Organophosphate	1	0	0	NA	NA	NA	NA	1	Inc		Dicrotophos (µg/L)			
Total	Dimethoate	ug/L	Dimethoate_ug_L	10	Organophosphate	1	0	0	NA	NA	NA	NA	1	Inc		Dimethoate (µg/L)			
Total	Dioxathion	ug/L	Dioxathion_ug_L	10	Organophosphate	1	0	0	NA	NA	NA	NA	1	Inc		Dioxathion (µg/L)			
Total	Disulfoton	ug/L	Disulfoton_ug_L	10	Organophosphate	1	0	0	NA	NA	NA	NA	1	Inc		Disulfoton (µg/L)			
Total	Ethion	ug/L	Ethion_ug_L	10	Organophosphate	1	0	0	NA	NA	NA	NA	1	Inc		Ethion (µg/L)			
Total	Ethoprop	ug/L	Ethoprop_ug_L	10	Organophosphate	1	0	0	NA	NA	NA	NA	1	Inc		Ethoprop (µg/L)			
Total	Famphur	ug/L	Famphur_ug_L	10	Organophosphate	1	0	0	NA	NA	NA	NA	1	Inc		Famphur (µg/L)			
Total	Fenchlorphos	ug/L	Fenchlorphos_ug_L	10	Organophosphate	1	0	0	NA	NA	NA	NA	1	Inc		Fenchlorphos (µg/L)			
Total	Fenitrothion	ug/L	Fenitrothion_ug_L	10	Organophosphate	1	0	0	NA	NA	NA	NA	1	Inc		Fenitrothion (µg/L)			
Total	Fensulfothion	ug/L	Fensulfothion_ug_L	10	Organophosphate	1	0	0	NA	NA	NA	NA	1	Inc		Fensulfothion (µg/L)			
Total	Fenthion	ug/L	Fenthion_ug_L	10	Organophosphate	1	0	0	NA	NA	NA	NA	1	Inc		Fenthion (µg/L)			
Total	Fonofos	ug/L	Fonofos_ug_L	10	Organophosphate	1	0	0	NA	NA	NA	NA	1	Inc		Fonofos (µg/L)			
Total	Leptophos	ug/L	Leptophos_ug_L	10	Organophosphate	1	0	0	NA	NA	NA	NA	1	Inc		Leptophos (µg/L)			
Total	Malathion	ug/L	Malathion_ug_L	10	Organophosphate	1	0	0	NA	NA	NA	NA	1	Inc		Malathion (µg/L)			
Total	Merphos	ug/L	Merphos_ug_L	10	Organophosphate	1	0	0	NA	NA	NA	NA	1	Inc		Merphos (µg/L)			
Total	Methidathion	ug/L	Methidathion_ug_L	10	Organophosphate	1	0	0	NA	NA	NA	NA	1	Inc		Methidathion (µg/L)			
Total	Mevinphos	ug/L	Mevinphos_ug_L	10	Organophosphate	1	0	0	NA	NA	NA	NA	1	Inc		Mevinphos (µg/L)			
Total	Naled	ug/L	Naled_ug_L	10	Organophosphate	1	0	0	NA	NA	NA	NA	1	Inc		Naled (µg/L)			
Total	"Parathion, Ethyl"	ug/L	Parathion_Ethyl_ug_L	10	Organophosphate	1	0	0	NA	NA	NA	NA	1	Inc		Ethyl parathion (µg/L)			
Total	"Parathion, Methyl"	ug/L	Parathion_Methyl_ug_L	10	Organophosphate	1	0	0	NA	NA	NA	NA	1	Inc		Methyl parathion (µg/L)			
Total	Phorate	ug/L	Phorate_ug_L	10	Organophosphate	1	0	0	NA	NA	NA	NA	1	Inc		Phorate (µg/L)			
Total	Phosmet	ug/L	Phosmet_ug_L	10	Organophosphate	1	0	0	NA	NA	NA	NA	1	Inc		Phosmet (µg/L)			
Total	Phosphamidon	ug/L	Phosphamidon_ug_L	10	Organophosphate	1	0	0	NA	NA	NA	NA	1	Inc		Phosphamidon (µg/L)			
Total	Sulfotep	ug/L	Sulfotep_ug_L	10	Organophosphate	1	0	0	NA	NA	NA	NA	1	Inc		Sulfotep (µg/L)			
Total	Terbufos	ug/L	Terbufos_ug_L	10	Organophosphate	1	0	0	NA	NA	NA	NA	1	Inc		Terbufos (µg/L)			
Total	Tetrachlorvinphos	ug/L	Tetrachlorvinphos_ug_L	10	Organophosphate	1	0	0	NA	NA	NA	NA	1	Inc		Tetrachlorvinphos (µg/L)			
Total	Thionazin	ug/L	Thionazin_ug_L	10	Organophosphate	1	0	0	NA	NA	NA	NA	1	Inc		Thionazin (µg/L)			
Total	Tokuthion	ug/L	Tokuthion_ug_L	10	Organophosphate	1	0	0	NA	NA	NA	NA	1	Inc		Tokuthion (µg/L)			
Total	Trichlorfon	ug/L	Trichlorfon_ug_L	10	Organophosphate	1	0	0	NA	NA	NA	NA	1	Inc		Trichlorfon (µg/L)			
Total	Trichloronate	ug/L	Trichloronate_ug_L	10	Organophosphate	1	0	0	NA	NA	NA	NA	1	Inc		Trichloronate (µg/L)			
Total	Acenaphthene	ug/L	Acenaphthene_ug_L	11	PAHs & Phthalataes	1	0	0	NA	NA	NA	NA	1	Inc		Acenaphthene (µg/L)			
Total	Acenaphthylene	ug/L	Acenaphthylene_ug_L	11	PAHs & Phthalataes	1	0	0	NA	NA	NA	NA	1	Inc		Acenaphthylene (µg/L)			
Total	Anthracene	ug/L	Anthracene_ug_L	11	PAHs & Phthalataes	1	0	0	NA	NA	NA	NA	1	Inc		Anthracene (µg/L)			
Total	Benz(a)anthracene	ug/L	Benz_a_anthracene_ug_L	11	PAHs & Phthalataes	1	0	0	NA	NA	NA	NA	1	Inc		Benz(a)anthracene (µg/L)			
Total	Benzo(a)pyrene	ug/L	Benzo_a_pyrene_ug_L	11	PAHs & Phthalataes	1	0	0	NA	NA	NA	NA	1	Inc		Benzo(a)pyrene (µg/L)		2	
Total	Benzo(b)fluoranthene	ug/L	Benzo_b_fluoranthene_ug_L	11	PAHs & Phthalataes	1	0	0	NA	NA	NA	NA	1	Inc		Benzo(b)fluoranthene (µg/L)			
Total	Benzo(e)pyrene	ug/L	Benzo_e_pyrene_ug_L	11	PAHs & Phthalataes	1	0	0	NA	NA	NA	NA	1	Inc		Benzo(e)pyrene (µg/L)			
Total	"Benzo(g,h,i)perylene"	ug/L	Benzo_ghi_perylene_ug_L	11	PAHs & Phthalataes	1	0	0	NA	NA	NA	NA	1	Inc		"Benzo(g,h,i)perylene (µg/L)"			
Total	Benzo(k)fluoranthene	ug/L	Benzo_k_fluoranthene_ug_L	11	PAHs & Phthalataes	1	0	0	NA	NA	NA	NA	1	Inc		Benzo(k)fluoranthene (µg/L)			
Total	Chrysene	ug/L	Chrysene_ug_L	11	PAHs & Phthalataes	1	0	0	NA	NA	NA	NA	1	Inc		Chrysene (µg/L)			
Total	"Dibenz(a,h)anthracene"	ug/L	Dibenz_ah_anthracene_ug_L	11	PAHs & Phthalataes	1	0	0	NA	NA	NA	NA	1	Inc		"Dibenz(a,h)anthracene (µg/L)"			
Total	"Dimethylnaphthalene, 2,6-"	ug/L	Dimethylnaphthalene_26_ug_L	11	PAHs & Phthalataes	1	0	0	NA	NA	NA	NA	1	Inc		"2,6-Dimethylnaphthalene (µg/L)"			
Total	Fluoranthene	ug/L	Fluoranthene_ug_L	11	PAHs & Phthalataes	1	0	0	NA	NA	NA	NA	1	Inc		Fluoranthene (µg/L)			
Total	Fluorene	ug/L	Fluorene_ug_L	11	PAHs & Phthalataes	1	0	0	NA	NA	NA	NA	1	Inc		Fluorene (µg/L)			
Total	"Indeno(1,2,3-c,d)pyrene"	ug/L	Indeno_123cd_pyrene_ug_L	11	PAHs & Phthalataes	1	0	0	NA	NA	NA	NA	1	Inc		"Indeno(1,2,3-c,d)pyrene (µg/L)"			
Total	"Methylnaphthalene, 1-"	ug/L	Methylnaphthalene_1_ug_L	11	PAHs & Phthalataes	1	0	0	NA	NA	NA	NA	1	Inc		1-Methylnaphthalene (µg/L)			
Total	"Methylnaphthalene, 2-"	ug/L	Methylnaphthalene_2_ug_L	11	PAHs & Phthalataes	1	0	0	NA	NA	NA	NA	1	Inc		2-Methylnaphthalene (µg/L)			
Total	"Methylphenanthrene, 1-"	ug/L	Methylphenanthrene_1_ug_L	11	PAHs & Phthalataes	1	0	0	NA	NA	NA	NA	1	Inc		1-Methylphenanthrene (µg/L)			
Total	Naphthalene	ug/L	Naphthalene_ug_L	11	PAHs & Phthalataes	1	0	0	NA	NA	NA	NA	1	Inc		Naphthalene (µg/L)			
Total	Phenanthrene	ug/L	Phenanthrene_ug_L	11	PAHs & Phthalataes	1	0	0	NA	NA	NA	NA	1	Inc		Phenanthrene (µg/L)			
Total	Pyrene	ug/L	Pyrene_ug_L	11	PAHs & Phthalataes	1	0	0	NA	NA	NA	NA	1	Inc		Pyrene (µg/L)			
Total	"Trimethylnaphthalene, 2,3,5-"	ug/L	Trimethylnaphthalene_235_ug_L	11	PAHs & Phthalataes	1	0	0	NA	NA	NA	NA	1	Inc		"2,3,5-Trimethylnaphthalene (µg/L)"			
Total	PCB 005	ug/L	PCB005_ug_L	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc		PCB 005 (µg/L)			
Total	PCB 008	ng/g dw	PCB008_ng_g_dw	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc		PCB 008 (ng/g dry weight)			
Total	PCB 008	ug/L	PCB008_ug_L	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc		PCB 008 (µg/L)			
Total	PCB 015	ug/L	PCB015_ug_L	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc		PCB 015 (µg/L)			
Total	PCB 018	ng/g dw	PCB018_ng_g_dw	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc		PCB 018 (ng/g dry weight)			
Total	PCB 018	ug/L	PCB018_ug_L	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc		PCB 018 (µg/L)			
Total	PCB 027	ng/g dw	PCB027_ng_g_dw	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc		PCB 027 (ng/g dry weight)			
Total	PCB 027	ug/L	PCB027_ug_L	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc		PCB 027 (µg/L)			
Total	PCB 028/31	ng/g dw	PCB028_31_ng_g_dw	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc		PCB 028/31 (ng/g dry weight)			
Total	PCB 028	ug/L	PCB028_ug_L	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc		PCB 028 (µg/L)			
Total	PCB 029	ng/g dw	PCB029_ng_g_dw	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc		PCB 029 (ng/g dry weight)			
Total	PCB 029	ug/L	PCB029_ug_L	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc		PCB 029 (µg/L)			
Total	PCB 031	ug/L	PCB031_ug_L	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc		PCB 031 (µg/L)			
Total	PCB 033	ng/g dw	PCB033_ng_g_dw	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc		PCB 033 (ng/g dry weight)			
Total	PCB 033	ug/L	PCB033_ug_L	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc		PCB 033 (µg/L)			
Total	PCB 044	ng/g dw	PCB044_ng_g_dw	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc		PCB 044 (ng/g dry weight)			
Total	PCB 044	ug/L	PCB044_ug_L	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc		PCB 044 (µg/L)			
Total	PCB 049	ng/g dw	PCB049_ng_g_dw	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc		PCB 049 (ng/g dry weight)			
Total	PCB 049	ug/L	PCB049_ug_L	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc		PCB 049 (µg/L)			
Total	PCB 052	ng/g dw	PCB052_ng_g_dw	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc		PCB 052 (ng/g dry weight)			
Total	PCB 052	ug/L	PCB052_ug_L	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc		PCB 052 (µg/L)			
Total	PCB 056/60	ng/g dw	PCB056_60_ng_g_dw	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc		PCB 056/60 (ng/g dry weight)			
Total	PCB 056	ug/L	PCB056_ug_L	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc		PCB 056 (µg/L)			
Total	PCB 060	ug/L	PCB060_ug_L	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc		PCB 060 (µg/L)			
Total	PCB 064	ng/g dw	PCB064_ng_g_dw	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc		PCB 064 (ng/g dry weight)			
Total	PCB 066	ng/g dw	PCB066_ng_g_dw	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc		PCB 066 (ng/g dry weight)			
Total	PCB 066	ug/L	PCB066_ug_L	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc		PCB 066 (µg/L)			
Total	PCB 070	ng/g dw	PCB070_ng_g_dw	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc		PCB 070 (ng/g dry weight)			
Total	PCB 070	ug/L	PCB070_ug_L	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc		PCB 070 (µg/L)			
Total	PCB 074	ng/g dw	PCB074_ng_g_dw	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc		PCB 074 (ng/g dry weight)			
Total	PCB 074	ug/L	PCB074_ug_L	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc		PCB 074 (µg/L)			
Total	PCB 077	ng/g dw	PCB077_ng_g_dw	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc		PCB 077 (ng/g dry weight)			
Total	PCB 077	ug/L	PCB077_ug_L	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc		PCB 077 (µg/L)			
Total	PCB 087	ng/g dw	PCB087_ng_g_dw	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc		PCB 087 (ng/g dry weight)			
Total	PCB 087	ug/L	PCB087_ug_L	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc		PCB 087 (µg/L)			
Total	PCB 095	ng/g dw	PCB095_ng_g_dw	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc		PCB 095 (ng/g dry weight)			
Total	PCB 095	ug/L	PCB095_ug_L	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc		PCB 095 (µg/L)			
