ANALYSIS_TYPE	CHEMICAL_NAME	FinalUnit	StdParamName	GroupNum	GroupName	LogTransf	SSD	SSTV	SensMin	SensMax	TolMin	TolMax	UseInStressorID	DirIncStress	SSTVname	Label	MinWQO_CAR9	MCL_Primary	MCL_Secondary
Total	Ametryn	ug/L	Ametryn_ug_L	4	Herbicide	1	0	0	NA	NA	NA	NA	1	Inc		Ametryn (µg/L)			
Total	Atraton	ug/L	Atraton_ug_L	4	Herbicide	1	0	0	NA	NA	NA	NA	1	Inc		Atraton (µg/L)			
Total	Dacthal	ng/g dw	Dacthal_tot_ng_g_dw	4	Herbicide	1	0	0	NA	NA	NA	NA	1	Inc		Dacthal (ng/g dry weight)			
Total	Dacthal	ug/L	Dacthal_ug_L	4	Herbicide	1	0	0	NA	NA	NA	NA	1	Inc		Dacthal (µg/L)			
Particulate	AFDM_Algae	g/m2	AFDM_algae_particulate_g_m2	7	Nutrients	1	0	0	NA	NA	NA	NA	1	Inc		Ash-free dry mass from algae (g/m2)			
Dissolved	Alkalinity as CaCO3	mg/L	Alkalinity_CaCO3_f_mg_L	17	Water quality	1	0	0	NA	NA	NA	NA	1	Inc		Dissolved alkalinity as calcium carbonate (mg/L)			
Field_None	Alkalinity as CaCO3	mg/L	Alkalinity_CaCO3_fld_mg_L	17	Water quality	1	0	0	NA	NA	NA	NA	1	Inc		Field-measured alkalinity as calcium carbonate (mg/L)			
Field_Total	Alkalinity as CaCO3	mg/L	Alkalinity_CaCO3_fld_mg_L	17	Water quality	1	0	0	NA	NA	NA	NA	1	Inc		Field-measured alkalinity as calcium carbonate (mg/L)			
Total	Alkalinity as CaCO3	mg/L	Alkalinity_CaCO3_uf_mg_L	17	Water quality	1	0	0	NA	NA	NA	NA	1	Inc		Total alkalinity as calcium carbonate (mg/L)			
Dissolved	Aluminum	ug/L	Aluminum_f_ug_L	6	Metals_metalloids	1	0	0	NA	NA	NA	NA	1	Inc		Dissolved aluminum (µg/L)		1	200
Total	Aluminum	mg/kg dw	Aluminum_tot_mg_kg_dw	6	Metals_metalloids	1	0	0	NA	NA	NA	NA	1	Inc		Total aluminum (mg/kg dry weight)			
Total	Aluminum	ug/L	Aluminum_uf_ug_L	6	Metals_metalloids	1	0	0	NA	NA	NA	NA	1	Inc		Total aluminum (µg/L)		1	200
Total	Acid Neutralizing Capacity	ueq/L	ANC_ueq_L	17	Water quality	1	0	0	NA	NA	NA	NA	1	Inc		Total acid neutralizing capacity (µeq/L)			
Dissolved	Antimony	ug/L	Antimony_f_ug_L	6	Metals_metalloids	1	0	0	NA	NA	NA	NA	1	Inc		Dissolved antimony (µg/L)		0.006	
Total	Antimony	ug/L	Antimony_uf_ug_L	6	Metals_metalloids	1	0	0	NA	NA	NA	NA	1	Inc		Total antimony (µg/L)		0.006	
Dissolved	Arsenic	ug/L	Arsenic_f_ug_L	6	Metals_metalloids	1	1	0	NA	NA	NA	NA	1	Inc		Dissolved arsenic (µg/L)		0.05	
Total	Arsenic	mg/kg dw	Arsenic_tot_mg_kg_dw	6	Metals_metalloids	1	0	0	NA	NA	NA	NA	1	Inc		Total arsenic (mg/kg dry weight)			
Total	Arsenic	ug/L	Arsenic_uf_ug_L	6	Metals_metalloids	1	1	0	NA	NA	NA	NA	1	Inc		Total arsenic (µg/L)		0.05	
Dissolved	Barium	ug/L	Barium_f_ug_L	6	Metals_metalloids	1	0	0	NA	NA	NA	NA	1	Inc		Dissolved barium (µg/L)		1	
Total	Barium	ug/L	Barium_uf_ug_L	6	Metals_metalloids	1	0	0	NA	NA	NA	NA	1	Inc		Total barium (µg/L)		1	
Dissolved	Beryllium	ug/L	Beryllium_f_ug_L	6	Metals_metalloids	1	0	0	NA	NA	NA	NA	1	Inc		Dissolved beryllium (µg/L)		0.004	
Total	Beryllium	ug/L	Beryllium_uf_ug_L	6	Metals_metalloids	1	0	0	NA	NA	NA	NA	1	Inc		Total beryllium (µg/L)		0.004	
Total	Bifenthrin	ng/g dw	Bifenthrin_tot_ng_g_dw	13	Pyrethroids	1	0	0	NA	NA	NA	NA	1	Inc		Total bifenthrin (ng/g dry weight)			
Total	Bifenthrin	ug/L	Bifenthrin_ug_L	13	Pyrethroids	1	1	0	NA	NA	NA	NA	1	Inc		Total bifenthrin (µg/L)			
Total	Boron	mg/L	Boron_uf_mg_L	6	Metals_metalloids	1	0	0	NA	NA	NA	NA	1	Inc		Total boron (mg/L)	0.75		
Dissolved	Cadmium	ug/L	Cadmium_f_ug_L	6	Metals_metalloids	1	1	0	NA	NA	NA	NA	1	Inc		Dissolved cadmium (µg/L)		0.005	
Total	Cadmium	mg/kg dw	Cadmium_tot_mg_kg_dw	6	Metals_metalloids	1	0	0	NA	NA	NA	NA	1	Inc		Total cadmium (mg/kg dry weight)			
Total	Cadmium	ug/L	Cadmium_uf_ug_L	6	Metals_metalloids	1	1	0	NA	NA	NA	NA	1	Inc		Total cadmium (µg/L)		0.005	
Dissolved	Calcium	mg/L	Calcium_f_mg_L	5	Ions	1	0	0	NA	NA	NA	NA	1	Inc		Dissolved calcium (mg/L)			
Total	Calcium	mg/L	Calcium_uf_mg_L	5	Ions	1	0	0	NA	NA	NA	NA	1	Inc		Total calcium (mg/L)			
Particulate	Chlorophyll a	mg/m2	Chlor_a_particulate_mg_m2	7	Nutrients	1	0	0	NA	NA	NA	NA	1	Inc		Particulate chlorophyll a (mg/m2)			
Particulate	Chlorophyll a	ug/L	Chlor_a_particulate_ug_L	7	Nutrients	1	0	0	NA	NA	NA	NA	1	Inc		Particulate chlorophyll a (µg/L)			
Dissolved	Chloride	mg/L	Chloride_f_mg_L	5	Ions	1	0	0	NA	NA	NA	NA	1	Inc		Dissolved chloride (mg/L)	50		
Dissolved	Chromium	ug/L	Chromium_f_ug_L	6	Metals_metalloids	1	1	0	NA	NA	NA	NA	1	Inc		Dissolved chromium (µg/L)		0.05	
Total	Chromium	mg/kg dw	Chromium_tot_mg_kg_dw	6	Metals_metalloids	1	0	0	NA	NA	NA	NA	1	Inc		Total chromium (mg/kg dry weight)			
Total	Chromium	ug/L	Chromium_ug_L	6	Metals_metalloids	1	1	0	NA	NA	NA	NA	1	Inc		Total chromium (µg/L)		0.05	
Total	Cinerin-1	ug/L	Cinerin_1_ug_L	13	Pyrethroids	1	0	0	NA	NA	NA	NA	1	Inc		Total cinerin-1 (µg/L)			
Total	Cinerin-2	ug/L	Cinerin_2_ug_L	13	Pyrethroids	1	0	0	NA	NA	NA	NA	1	Inc		Total cinerin-2 (µg/L)			
Total	Cinerin-1	ng/g dw	Cinerin1_tot_ng_g_dw	13	Pyrethroids	1	0	0	NA	NA	NA	NA	1	Inc		Total cinerin-1 (ng/g dry weight)			
Total	Cinerin-2	ng/g dw	Cinerin2_tot_ng_g_dw	13	Pyrethroids	1	0	0	NA	NA	NA	NA	1	Inc		Total cinerin-2 (ng/g dry weight)			
Dissolved	Cobalt	ug/L	Cobalt_f_ug_L	6	Metals_metalloids	1	0	0	NA	NA	NA	NA	1	Inc		Dissolved cobalt (µg/L)			
Total	Cobalt	ug/L	Cobalt_uf_ug_L	6	Metals_metalloids	1	0	0	NA	NA	NA	NA	1	Inc		Total cobalt (µg/L)			
None	"Color, True"	CU	ColorTrue_CU	17	Water quality	0	0	0	NA	NA	NA	NA	0			True color (color units)	20		15
Dissolved	"Color, True"	CU	ColorTrue_f_CU	17	Water quality	0	0	0	NA	NA	NA	NA	0			Dissolved true color (color units)	20		15
Dissolved	Copper	ug/L	Copper_f_ug_L	6	Metals_metalloids	1	1	0	NA	NA	NA	NA	1	Inc		Dissolved copper (µg/L)			1000
Total	Copper	mg/kg dw	Copper_tot_mg_kg_dw	6	Metals_metalloids	1	0	0	NA	NA	NA	NA	1	Inc		Total copper (mg/kg dry weight)			
Total	Copper	ug/L	Copper_uf_ug_L	6	Metals_metalloids	1	1	0	NA	NA	NA	NA	1	Inc		Total copper (µg/L)			1000
Total	"Cyfluthrin, Total"	ng/g dw	Cyfluthrin_tot_ng_g_dw	13	Pyrethroids	1	0	0	NA	NA	NA	NA	1	Inc		"Total cyfluthrin, total (ng/g dry weight)"			
Total	"Cyfluthrin, Total"	ug/L	Cyfluthrin_Total_ug_L	13	Pyrethroids	1	1	0	NA	NA	NA	NA	1	Inc		"Total cyfluthrin, total (µg/L)"			
Total	"Cyhalothrin, Total lambda-"	ng/g dw	Cyhalothrin_lambda_tot_ng_g_dw	13	Pyrethroids	1	0	0	NA	NA	NA	NA	1	Inc		Total lambda-cyhalothrin (ng/g dry weight)			
Total	"Cyhalothrin, Total lambda-"	ug/L	Cyhalothrin_Total_lambda_ug_L	13	Pyrethroids	1	1	0	NA	NA	NA	NA	1	Inc		Total lambda-cyhalothrin (µg/L)			
Total	"Cypermethrin, Total"	ng/g dw	Cypermethrin_tot_ng_g_dw	13	Pyrethroids	1	0	0	NA	NA	NA	NA	1	Inc		Total cypermethrin (ng/g dry weight)			
Total	"Cypermethrin, Total"	ug/L	Cypermethrin_Total_ug_L	13	Pyrethroids	1	1	0	NA	NA	NA	NA	1	Inc		Total cypermethrin (µg/L)			
Total	Deltamethrin/Tralomethrin	ug/L	Deltamethrin_Tralomethrin_ug_L	13	Pyrethroids	1	0	0	NA	NA	NA	NA	1	Inc		Total deltamethrin/tralomethrin (µg/L)			
Total	Deltamethrin	ug/L	Deltamethrin_ug_L	13	Pyrethroids	1	1	0	NA	NA	NA	NA	1	Inc		Total deltamethrin (µg/L)			
Total	Deltamethrin/Tralomethrin	ng/g dw	DeltamethrinTralomethrine_tot_ng_g_dw	13	Pyrethroids	1	0	0	NA	NA	NA	NA	1	Inc		Total deltamethrin/tralomethrin (ng/g dry weight)			
Dissolved	Dissolved Inorganic Carbon	mg/L	DIC_f_mg_L	7	Nutrients	1	0	0	NA	NA	NA	NA	1	Inc		Dissolved inorganic carbon (mg/L)			
Field_None	"Oxygen, Dissolved"	mg/L	DO_fld_mg_L	17	Water quality	0	0	0	NA	NA	NA	NA	1	Dec		Field-measured dissolved oxygen (mg/L)			
Field_Total	"Oxygen, Dissolved"	mg/L	DO_fld_mg_L	17	Water quality	0	0	0	NA	NA	NA	NA	1	Dec		Field-measured dissolved oxygen (mg/L)			
Dissolved	Dissolved Organic Carbon	mg/L	DOC_f_mg_L	7	Nutrients	1	0	0	NA	NA	NA	NA	1	Inc		Dissolved organic carbon (mg/L)			
Total	Esfenvalerate/Fenvalerate-1	ug/L	Esfenvalerate_Fenvalerate_1_ug_L	13	Pyrethroids	1	0	0	NA	NA	NA	NA	1	Inc		Total esfenvalerate/fenvalerate-1 (µg/L)			
Total	Esfenvalerate/Fenvalerate-2	ug/L	Esfenvalerate_Fenvalerate_2_ug_L	13	Pyrethroids	1	0	0	NA	NA	NA	NA	1	Inc		Total esfenvalerate/fenvalerate-2 (µg/L)			
Total	"Esfenvalerate/Fenvalerate, Total"	ug/L	Esfenvalerate_Fenvalerate_Total_ug_L	13	Pyrethroids	1	0	0	NA	NA	NA	NA	1	Inc		Total esfenvalerate/fenvalerate (µg/L)			
Total	"Esfenvalerate/Fenvalerate, Total"	ng/g dw	EsfenvalerateFenvalerate_tot_ng_g_dw	13	Pyrethroids	1	0	0	NA	NA	NA	NA	1	Inc		Total esfenvalerate/fenvalerate (ng/g dry weight)			
Total	Fenpropathrin	ng/g dw	Fenpropathrin_tot_ng_g_dw	13	Pyrethroids	1	0	0	NA	NA	NA	NA	1	Inc		Total fenpropathrin (ng/g dry weight)			
Total	Fenpropathrin	ug/L	Fenpropathrin_ug_L	13	Pyrethroids	1	0	0	NA	NA	NA	NA	1	Inc		Total fenpropathrin (µg/L)			
Not Recorded	Fluoride	mg/L	Fluoride_mg_L	5	Ions	1	0	0	NA	NA	NA	NA	1	Inc		Fluoride (mg/L)	1	2	
Field_None	Glide/Pool Channel Alteration	none	GlidePoolChannelAlt_fld	17	Water quality	0	0	0	NA	NA	NA	NA	0			Field-measured glide/pool channel alteration			
Dissolved	Hardness as CaCO3	mg/L	Hardness_CaCO3_f_mg_L	17	Water quality	1	0	0	NA	NA	NA	NA	1	Inc		Dissolved hardness as calcium carbonate (mg/L)			
Total	Hardness as CaCO3	mg/L	Hardness_CaCO3_uf_mg_L	17	Water quality	1	0	0	NA	NA	NA	NA	1	Inc		Total hardness as calcium carbonate (mg/L)			
Dissolved	Iron	ug/L	Iron_f_ug_L	6	Metals_metalloids	1	0	0	NA	NA	NA	NA	1	Inc		Dissolved iron (µg/L)	0.3		300
Total	Iron	ug/L	Iron_uf_ug_L	6	Metals_metalloids	1	0	0	NA	NA	NA	NA	1	Inc		Total iron (µg/L)	0.3		300
Total	Jasmolin-1	ng/g dw	Jasmolin1_tot_ng_g_dw	13	Pyrethroids	1	0	0	NA	NA	NA	NA	1	Inc		Total jasmolin-1 (ng/g dry weight)			
Total	Jasmolin-1	ug/L	Jasmolin1_ug_L	13	Pyrethroids	1	0	0	NA	NA	NA	NA	1	Inc		Total jasmolin-1 (µg/L)			
Total	Jasmolin-2	ng/g dw	Jasmolin2_tot_ng_g_dw	13	Pyrethroids	1	0	0	NA	NA	NA	NA	1	Inc		Total jasmolin-2 (ng/g dry weight)			
Total	Jasmolin-2	ug/L	Jasmolin2_ug_L	13	Pyrethroids	1	0	0	NA	NA	NA	NA	1	Inc		Total jasmolin-2 (µg/L)			
Dissolved	Lead	ug/L	Lead_f_ug_L	6	Metals_metalloids	1	1	0	NA	NA	NA	NA	1	Inc		Dissolved lead (µg/L)			
Total	Lead	mg/kg dw	Lead_tot_mg_kg_dw	6	Metals_metalloids	1	0	0	NA	NA	NA	NA	1	Inc		Total lead (mg/kg dry weight)			
Total	Lead	ug/L	Lead_uf_ug_L	6	Metals_metalloids	1	1	0	NA	NA	NA	NA	1	Inc		Total lead (µg/L)			
Dissolved	Magnesium	mg/L	Magnesium_f_mg_L	6	Metals_metalloids	1	0	0	NA	NA	NA	NA	1	Inc		Dissolved magnesium (mg/L)			
Total	Magnesium	mg/L	Magnesium_uf_mg_L	6	Metals_metalloids	1	0	0	NA	NA	NA	NA	1	Inc		Total magnesium (mg/L)			
Dissolved	Manganese	ug/L	Manganese_f_ug_L	6	Metals_metalloids	1	0	0	NA	NA	NA	NA	1	Inc		Dissolved manganese (µg/L)	0.05		50
Total	Manganese	mg/kg dw	Manganese_tot_mg_kg_dw	6	Metals_metalloids	1	0	0	NA	NA	NA	NA	1	Inc		Total manganese (mg/kg dry weight)			
Total	Manganese	ug/L	Manganese_uf_ug_L	6	Metals_metalloids	1	0	0	NA	NA	NA	NA	1	Inc		Total manganese (µg/L)	0.05		50
Dissolved	Mercury	ng/L	Mercury_f_ng_L	6	Metals_metalloids	1	1	0	NA	NA	NA	NA	1	Inc		Dissolved mercury (µg/L)		0.002	
Total	Mercury	ng/L	Mercury_ng_L	6	Metals_metalloids	1	1	0	NA	NA	NA	NA	1	Inc		Total mercury (ng/L)		0.002	
Total	Mercury	mg/kg dw	Mercury_tot_mg_kg_dw	6	Metals_metalloids	1	0	0	NA	NA	NA	NA	1	Inc		Total mercury (mg/kg dry weight)			
Dissolved	Molybdenum	ug/L	Molybdenum_f_ug_L	6	Metals_metalloids	1	0	0	NA	NA	NA	NA	1	Inc		Dissolved molybdenum (µg/L)			
Total	Molybdenum	ug/L	Molybdenum_uf_ug_L	6	Metals_metalloids	1	0	0	NA	NA	NA	NA	1	Inc		Total molybdenum (µg/L)			
Dissolved	Ammonia as N	mg/L	NH3_N_f_mg_L	7	Nutrients	1	0	0	NA	NA	NA	NA	1	Inc		Dissolved ammonia as N (mg/L)	0.025		
Total	Ammonia as N	mg/L	NH3_N_uf_mg_L	7	Nutrients	1	0	0	NA	NA	NA	NA	1	Inc		Total ammonia as N (mg/L)	0.025		
Dissolved	Nickel	ug/L	Nickel_f_ug_L	6	Metals_metalloids	1	1	0	NA	NA	NA	NA	1	Inc		Dissolved nickel (µg/L)		0.1	
Total	Nickel	mg/kg dw	Nickel_tot_mg_kg_dw	6	Metals_metalloids	1	0	0	NA	NA	NA	NA	1	Inc		Total nickel (mg/kg dry weight)			
Total	Nickel	ug/L	Nickel_uf_ug_L	6	Metals_metalloids	1	1	0	NA	NA	NA	NA	1	Inc		Total nickel (µg/L)		0.1	
Dissolved	Nitrite as N	mg/L	NO2_N_f_mg_L	7	Nutrients	1	0	0	NA	NA	NA	NA	1	Inc		Dissolved nitrite as N (mg/L)		1	
Not Recorded	Nitrite as N	mg/L	NO2_N_mg_L	7	Nutrients	1	0	0	NA	NA	NA	NA	1	Inc		Nitrite as N (mg/L)		1	
Dissolved	Nitrate as N	mg/L	NO3_N_f_mg_L	7	Nutrients	1	0	0	NA	NA	NA	NA	1	Inc		Dissolved nitrate as N (mg/L)		10	
Not Recorded	Nitrate as N	mg/L	NO3_N_mg_L	7	Nutrients	1	0	0	NA	NA	NA	NA	1	Inc		Nitrate as N (mg/L)		10	
Total	Biphenyl	ug/L	Biphenyl_ug_L	3	Organic	1	0	0	NA	NA	NA	NA	1	Inc		Biphenyl (µg/L)			
Total	Toluene	ug/L	Toluene_ug_L	3	Organic	1	0	0	NA	NA	NA	NA	1	Inc		Toluene (µg/L)		150	
Total	"Trimethylbenzene, 1,2,4-"	ug/L	Trimethylbenzene_124_ug_L	3	Organic	1	0	0	NA	NA	NA	NA	1	Inc		"1,2,4-Trimethylbenzene (µg/L)"			
Total	"Trimethylbenzene, 1,3,5-"	ug/L	Trimethylbenzene_135_ug_L	3	Organic	1	0	0	NA	NA	NA	NA	1	Inc		"1,3,5-Trimethylbenzene (µg/L)"			
Total	"Xylene, m/p-"	ug/L	Xylene_m_p_ug_L	3	Organic	1	0	0	NA	NA	NA	NA	1	Inc		m- and p-Xylenes (µg/L)		1750	
Total	"Xylene, o-"	ug/L	Xylene_o_ug_L	3	Organic	1	0	0	NA	NA	NA	NA	1	Inc		o-Xylene (µg/L)		1750	
Total	Benzene	ug/L	Benzene_ug_L	3	Organic	1	0	0	NA	NA	NA	NA	1	Inc		Benzene (µg/L)		1	
Total	"Butylbenzene, n-"	ug/L	Butylbenzene_n_ug_L	3	Organic	1	0	0	NA	NA	NA	NA	1	Inc		n-Butylbenzene (µg/L)			
Total	"Butylbenzene, sec-"	ug/L	Butylbenzene_sec_ug_L	3	Organic	1	0	0	NA	NA	NA	NA	1	Inc		sec-Butylbenzene (µg/L)			
Total	"Butylbenzene, tert-"	ug/L	Butylbenzene_tert_ug_L	3	Organic	1	0	0	NA	NA	NA	NA	1	Inc		tert-Butylbenzene (µg/L)			
Total	Caffeine	ug/L	Caffeine_ug_L	3	Organic	1	0	0	NA	NA	NA	NA	0	Inc		Caffeine (µg/L)			
Total	Ethylbenzene	ug/L	Ethylbenzene_ug_L	3	Organic	1	0	0	NA	NA	NA	NA	1	Inc		Ethylbenzene (µg/L)		300	
Total	Isopropylbenzene	ug/L	Isopropylbenzene_ug_L	3	Organic	1	0	0	NA	NA	NA	NA	1	Inc		Isopropylbenzene (µg/L)			
Total	"Isopropyltoluene, p-"	ug/L	Isopropyltoluene_p_ug_L	3	Organic	1	0	0	NA	NA	NA	NA	1	Inc		p-Isopropyltoluene (µg/L)			
Total	Methyl Tert-butyl Ether	ug/L	Methyl_TertbutylEther_ug_L	3	Organic	1	0	0	NA	NA	NA	NA	1	Inc		Methyl tert-butyl ether (µg/L)		13	5
Total	"Propylbenzene, n-"	ug/L	Propylbenzene_n_ug_L	3	Organic	1	0	0	NA	NA	NA	NA	1	Inc		n-Propylbenzene (µg/L)			
Total	Aldrin	ng/g dw	Aldrin_ng_g_dw	8	Organochlorine	1	0	0	NA	NA	NA	NA	1	Inc		Aldrin (ng/g dry weight)			
Total	Aldrin	ug/L	Aldrin_ug_L	8	Organochlorine	1	0	0	NA	NA	NA	NA	1	Inc		Aldrin (µg/L)			
Total	"Chlordane, cis-"	ng/g dw	Chlordane_cis_ng_g_dw	8	Organochlorine	1	0	0	NA	NA	NA	NA	1	Inc		cis-Chlordane (ng/g dry weight)			
Total	"Chlordane, cis-"	ug/L	Chlordane_cis_ug_L	8	Organochlorine	1	0	0	NA	NA	NA	NA	1	Inc		cis-Chlordane (µg/L)		0.1	
Total	"Chlordane, trans-"	ng/g dw	Chlordane_trans_ng_g_dw	8	Organochlorine	1	0	0	NA	NA	NA	NA	1	Inc		trans-Chlordane (ng/g dry weight)			
Total	"Chlordane, trans-"	ug/L	Chlordane_trans_ug_L	8	Organochlorine	1	0	0	NA	NA	NA	NA	1	Inc		trans-Chlordane (µg/L)		0.1	
Total	"Chlordene, cis-"	ug/L	Chlordene_cis_ug_L	8	Organochlorine	1	0	0	NA	NA	NA	NA	1	Inc		cis-Chlordene (µg/L)			
Total	"Chlordene, trans-"	ug/L	Chlordene_trans_ug_L	8	Organochlorine	1	0	0	NA	NA	NA	NA	1	Inc		trans-Chlordene (µg/L)			
Total	Dieldrin	ng/g dw	Dieldrin_tot_ng_g_dw	8	Organochlorine	1	0	0	NA	NA	NA	NA	1	Inc		Dieldrin (ng/g dry weight)			
Total	Dieldrin	ug/L	Dieldrin_ug_L	8	Organochlorine	1	0	0	NA	NA	NA	NA	1	Inc		Dieldrin (µg/L)			
Total	Endosulfan I	ng/g dw	Endosulfan_I_ng_g_dw	8	Organochlorine	1	0	0	NA	NA	NA	NA	1	Inc		Endosulfan I (ng/g dry weight)			
Total	Endosulfan I	ug/L	Endosulfan_I_ug_L	8	Organochlorine	1	0	0	NA	NA	NA	NA	1	Inc		Endosulfan I (µg/L)			
