ANALYSIS_TYPE	CHEMICAL_NAME	FinalUnit	StdParamName	GroupNum	GroupName	LogTransf	SSD	SSTV	SensMin	SensMax	TolMin	TolMax	UseInStressorID	DirIncStress
none	H_AqHab_score	none	H_AqHab_score	18	habitat	0	0	0	NA	NA	NA	NA	1	Dec
none	H_SubNat_score	none	H_SubNat_score	18	habitat	0	0	0	NA	NA	NA	NA	1	Dec
none	PCT_SAFN_score	none	PCT_SAFN_score	18	habitat	0	0	0	1	2	4	5	1	Inc
none	XCMG_score	none	XCMG_score	18	habitat	0	0	0	NA	NA	NA	NA	1	Dec
Total	Terbutryn	ug/L	Terbutryn_ug_L	4	Herbicide	1	0	0	NA	NA	NA	NA	1	Inc
Total	Thiobencarb	ug/L	Thiobencarb_ug_L	4	Herbicide	1	0	0	NA	NA	NA	NA	1	Inc
Total	Atrazine	ug/L	Atrazine_ug_L	4	Herbicide	1	0	0	NA	NA	NA	NA	1	Inc
Total	Molinate	ug/L	Molinate_ug_L	4	Herbicide	1	0	0	NA	NA	NA	NA	1	Inc
Total	Oxadiazon	ng/g dw	Oxadiazon_ng_g_dw	4	Herbicide	1	0	0	NA	NA	NA	NA	1	Inc
Total	Oxadiazon	ug/L	Oxadiazon_ug_L	4	Herbicide	1	0	0	NA	NA	NA	NA	1	Inc
Total	Prometon	ug/L	Prometon_ug_L	4	Herbicide	1	0	0	NA	NA	NA	NA	1	Inc
Total	Prometryn	ug/L	Prometryn_ug_L	4	Herbicide	1	0	0	NA	NA	NA	NA	1	Inc
Total	Propazine	ug/L	Propazine_ug_L	4	Herbicide	1	0	0	NA	NA	NA	NA	1	Inc
Total	Secbumeton	ug/L	Secbumeton_ug_L	4	Herbicide	1	0	0	NA	NA	NA	NA	1	Inc
Total	Simazine	ug/L	Simazine_ug_L	4	Herbicide	1	0	0	NA	NA	NA	NA	1	Inc
Total	Simetryn	ug/L	Simetryn_ug_L	4	Herbicide	1	0	0	NA	NA	NA	NA	1	Inc
Total	Terbuthylazine	ug/L	Terbuthylazine_ug_L	4	Herbicide	1	0	0	NA	NA	NA	NA	1	Inc
Total	Ametryn	ug/L	Ametryn_ug_L	4	Herbicide	1	0	0	NA	NA	NA	NA	1	Inc
