COMID	Al2O3Cat	Al2O3Ws	BFICat	BFIWs	CompStrgthCat	CompStrgthWs	KffactCat	KffactWs	Na2OWs	PctSilicicWs	SandCat	SandWs	SiO2Cat	SiO2Ws	Tmax8110Cat	Tmax8110Ws	Tmean08Cat	Tmean08Ws	Tmean09Cat	Tmean09Ws	Tmean8110Cat	Tmean8110Ws	Tmin8110Cat	Tmin8110Ws	WtDepCat	WtDepWs	CaOCat	CaOWs	CatAreaSqKm	CatAreaSqKmRp100	ClayCat	ClayWs	Fe2O3Cat	Fe2O3Ws	HydrlCondCat	HydrlCondWs	K2OCat	MgOCat	MgOWs	Na2OCat	OmCat	OmWs	PctAlluvCoastCat	PctAlluvCoastWs	PctNonCarbResidCat	PctNonCarbResidWs	PctSilicicCat	PermCat	PermWs	Precip08Cat	Precip08Ws	Precip09Cat	Precip09Ws	Precip8110Cat	Precip8110Ws	QC_01	QC_02	QC_03	QC_04	QC_05	QC_06	QC_07	QC_08	QC_09	QC_10	QC_11	QC_12	QC_MA	RckDepCat	RckDepWs	RunoffCat	RunoffWs	WetIndexCat	WetIndexWs	WsAreaSqKm	WsAreaSqKmRp100	ElevCat	ElevWs	K2OWs	NCat	NWs	P2O5Cat	P2O5Ws	SCat	SLOPE	SWs	clust
17562526	9.634952604	8.807257833	36.28375101	36.21024486	16.8411714	57.56157397	0.364745352	0.36908528	0.555720187	0	26.85104285	24.44674923	40.61925135	56.515757	22.668066	22.92307326	16.75870095	16.59754084	16.46182998	16.29662924	16.52456908	16.35739909	10.37731115	9.78540686	182.88	182.88	1.024020584	1.722323088	0.748250707	0.411712221	3.300248808	3.314779846	3.12857564	1.986095478	4.660691097	2.963195364	0.989381245	0.677150145	1.214911572	0.578714001	0.485162006	0.487985853	4.59816918	3.429984397	0.992383106	4.264422569	0	1.75745921	1.488076148	5.95406897	6.064464289	5.565675086	5.657885725	6.166559054	6.290044047	0.379805361	0.48796633	1.222303761	0.720762348	0.421338457	0.075107472	0.04018179	0.069526063	0.062974799	0.081579987	0.157858085	0.22872793	0.41078427	4.52198284	4.390282533	4.077537444	4.071643	5.766978644	5.501810049	2.000858185	1.214556598	14.1286367	18.20356203	1.3763075	0.828973007	0.413078692	0.355974239	0.356365535	0.320676738	0.14796067	0.550772313	1
17562528	9.337996295	9.337996295	33.63270142	33.63270142	32.77365935	32.77365935	0.338898104	0.338898104	0.714716028	0	28.17114534	28.17114534	47.31362601	47.31362601	22.72989935	22.72989935	16.76087449	16.76087449	16.46487161	16.46487161	16.59806869	16.59806869	10.46128494	10.46128494	182.88	182.88	1.080582939	1.080582939	1.187477502	0.536551848	3.296562131	3.296562131	2.880891298	2.880891298	4.361265897	4.361265897	1.002996474	0.716897197	0.716897197	0.539247486	0.484345395	0.484345395	4.416344108	4.416344108	2.955272246	2.955272246	0	1.815133446	1.815133446	5.953808221	5.953808221	5.565106059	5.565106059	6.18481167	6.18481167	0.142367241	0.150142658	0.484892242	0.24137632	0.129272336	0.067658648	0.029558802	0.00796817	0.023716527	0.029558802	0.05921186	0.087094707	0.130150684	4.552534176	4.552534176	4.077537444	4.077537444	5.904880696	5.904880696	1.187477502	0.536551848	14.64100814	14.64100814	1.313940373	0.722838162	0.722838162	0.354070945	0.354070945	0.309306404	0.160577614	0.309306404	1
17562530	8.0003736	8.0003736	33.59956762	33.59956762	57.26791025	57.26791025	0.362049003	0.362049003	0.529615332	0	26.07334134	26.07334134	51.40532918	51.40532918	22.83325328	22.83325328	16.63837243	16.63837243	16.33266008	16.33266008	16.36601198	16.36601198	9.893379096	9.893379096	182.7891521	182.7891521	2.083164532	2.083164532	1.55744964	0.747398595	3.304873148	3.304873148	2.03754645	2.03754645	3.104239076	3.104239076	1.028232274	1.391948407	1.391948407	0.425016287	0.487183456	0.487183456	3.389705548	3.389705548	4.281415678	4.281415678	0	1.629078031	1.629078031	6.009277174	6.009277174	5.616889762	5.616889762	6.268646957	6.268646957	0.233489843	0.340037303	0.871711688	0.481808675	0.273836666	0.044016885	0.023716527	0.039220713	0.038258712	0.048790164	0.09531018	0.14063113	0.262364264	4.45822399	4.45822399	4.074013571	4.074013571	5.550914768	5.550914768	1.55744964	0.747398595	18.16235472	18.16235472	1.340193528	0.430803535	0.430803535	0.350765941	0.350765941	0.692119386	0.256655956	0.692119386	2
17562532	9.475012069	9.475012069	33	33	58.40917146	58.40917146	0.367332186	0.367332186	0.590466581	0	29.22646299	29.22646299	61.33513565	61.33513565	23.06430897	23.06430897	16.80416107	16.80416107	16.5023365	16.5023365	16.83316989	16.83316989	10.59978114	10.59978114	182.88	182.88	1.041475189	1.041475189	0.715788911	0.282694656	3.292183231	3.292183231	2.037825053	2.037825053	3.057040422	3.057040422	1.078247035	0.896125575	0.896125575	0.46402742	0.483647222	0.483647222	3.446127964	3.446127964	4.257332401	4.257332401	0	1.87932577	1.87932577	5.941723793	5.941723793	5.56398299	5.56398299	6.174130102	6.174130102	0.067658648	0.07881118	0.252313929	0.122217633	0.061095099	0.031498667	0.013902905	0.012916225	0.013902905	0.013902905	0.027615167	0.041141943	0.062974799	4.587510521	4.587510521	4.077537444	4.077537444	5.739502319	5.739502319	0.715788911	0.282694656	14.77539996	14.77539996	1.39266728	0.428122958	0.428122958	0.359115332	0.359115332	0.290314816	0.237405834	0.290314816	1
17562534	8.806374084	8.806374084	37	37	50.00504491	50.00504491	0.2838	0.2838	0.644574629	0	32.9412	32.9412	53.4411987	53.4411987	22.72977038	22.72977038	16.69187164	16.69187164	16.38300705	16.38300705	16.41776211	16.41776211	10.10005559	10.10005559	182.88	182.88	1.178519142	1.178519142	0.202940844	0.122660013	3.258487231	3.258487231	2.574657944	2.574657944	3.975018133	3.975018133	0.998306366	0.71330485	0.71330485	0.497481767	0.477277113	0.477277113	4.615120517	4.615120517	0	0	0	2.264210102	2.264210102	5.977541006	5.977541006	5.590654079	5.590654079	6.098699356	6.098699356	0.014888612	0.014888612	0.029558802	0.011928571	0.005982072	0.002995509	0	0	0.002995509	0.002995509	0.005982072	0.008959741	0.00796817	4.818239482	4.818239482	4.077537444	4.077537444	5.665720557	5.665720557	0.202940844	0.122660013	12.33047607	12.33047607	1.309076755	0.608083501	0.608083501	0.349183094	0.349183094	0.296439205	0.271384008	0.296439205	1
17562536	11.66834148	12.1129525	34.28801133	35.0581781	96.19282727	109.7017	0.261783449	0.2622525	2.119219932	54.71480891	45.94492881	45.89029019	55.54093532	57.9953176	22.8706546	22.13593318	16.54470992	16.09564044	16.26481526	15.81109465	16.06907439	15.46444189	9.262584981	8.787971301	177.7131474	179.8770197	1.679767978	1.781448114	0.89638673	0.322512938	2.908762317	2.918397504	1.930936441	1.810321417	1.23896897	1.015465354	1.095339639	1.127330866	1.19761067	0.961276494	0.602525036	0.639913926	1.258014175	1.074616077	1.655577237	1.866831404	2.32261354	2.188210574	2.19815679	6.158725577	6.227888799	5.723917171	5.794486983	6.192965284	6.275420715	1.098688762	1.46406381	1.610003875	1.315387881	0.99296114	0.556004095	0.372330757	0.309574104	0.296868205	0.335734555	0.501851095	0.627721756	0.944380853	4.349016255	4.283901374	3.906208875	3.906002215	5.759724935	5.612047473	2.439020262	1.402195379	24.65460157	28.30855732	1.440812768	0.322984282	0.26247837	0.39309801	0.398532274	0.434872177	0.226575502	0.431021979	4
17562538	9.970568644	9.65846201	32.20351391	32.70514905	3.408131967	38.04835305	0.323030747	0.350932249	0.682883221	0	45.26926794	35.16534417	35.42571676	51.74373559	23.10367701	23.07888261	16.80416107	16.80416107	16.5023365	16.5023365	16.78318947	16.81466765	10.45509314	10.54621913	174.6811713	179.844878	0.953949113	1.009960006	0.479149181	0.297508633	2.9284648	3.172413064	3.287518011	2.690932565	4.843850469	4.100838248	0.985743332	0.662125407	0.815744073	0.60982714	0.526719148	0.499809066	4.59609546	4.033304881	1.065871269	3.818873092	0	2.391347864	2.100492791	5.941723793	5.941723793	5.56398299	5.56398299	6.112189036	6.151644965	0.104360015	0.116003676	0.327863862	0.156148682	0.081579987	0.039220713	0.019802627	0.013902905	0.016857117	0.021761492	0.043059489	0.063913326	0.087094707	4.972773368	4.747918216	4.077537444	4.077537444	6.359176094	6.015421877	0.978514075	0.514737961	10.4444287	13.33709012	1.357710147	0.903200792	0.64608648	0.358688408	0.358957348	0.329987966	0.170030144	0.305602399	1
17562540	9.439366561	9.439366561	32.6809712	32.6809712	41.33376723	41.33376723	0.354952005	0.354952005	0.672034454	0	32.44566347	32.44566347	52.28965533	52.28965533	23.09265543	23.09265543	16.80416107	16.80416107	16.5023365	16.5023365	16.83256973	16.83256973	10.56904036	10.56904036	181.7984641	181.7984641	1.056002677	1.056002677	0.953162535	0.485815461	3.242754014	3.242754014	2.656720003	2.656720003	4.0623222	4.0623222	1.033718364	0.791662369	0.791662369	0.514041121	0.48751943	0.48751943	4.084043238	4.084043238	3.752204118	3.752204118	0	2.062999228	2.062999228	5.941723793	5.941723793	5.56398299	5.56398299	6.145412176	6.145412176	0.100749903	0.11064652	0.306749135	0.146694379	0.074179398	0.037295785	0.016857117	0.011928571	0.019802627	0.020782539	0.041141943	0.062035391	0.081579987	4.705025945	4.705025945	4.077537444	4.077537444	5.985356149	5.985356149	0.953162535	0.485815461	12.91948856	12.91948856	1.345919985	0.634441827	0.634441827	0.356496398	0.356496398	0.303117731	0.215910931	0.303117731	1
17562542	8.95274707	8.821551264	37	36.99952002	44.14646295	57.2015964	0.321510549	0.35844005	0.586321015	0	34.50604219	26.86067966	51.17613067	56.87811336	22.68252493	22.85306078	16.66394124	16.62142316	16.34408625	16.31395639	16.48008093	16.51435218	10.27252911	10.17087959	179.091308	182.0180244	1.152904704	1.45407574	1.141991012	0.584837877	3.156563482	3.281089552	2.697525909	2.199968521	4.13545586	3.392130309	0.996735476	0.707012244	0.989752729	0.512320209	0.507191179	0.492424859	4.615120517	4.117586804	0	3.703500374	0	1.983300004	1.62111223	5.952061275	6.030304855	5.581109146	5.633864507	6.115390107	6.225107023	0.488580015	0.510425544	1.298828335	0.763139552	0.464362749	0.086177696	0.039220713	0.071389996	0.089840704	0.11867153	0.224742273	0.320633173	0.461845442	4.689115415	4.465055225	4.077537444	4.074754546	5.93215005	5.716174733	2.339427981	1.239098606	12.88161186	16.50590508	1.350774858	0.652565273	0.480625692	0.35039236	0.353095362	0.300862932	0.142999266	0.425341123	1
17562544	10.00009155	8.866548423	33	33.46446787	2.226476908	36.96329579	0.310507519	0.342974045	0.658819309	0	47.59575188	31.86630625	34.96886063	46.26682782	22.92814997	22.82648098	16.76436558	16.70391574	16.46782245	16.40320129	16.62795678	16.49578486	10.32394489	10.16020235	173.0821617	180.4740156	0.94754362	1.659450077	1.069938428	0.439930945	2.850048934	3.209996397	3.300362216	2.726431048	4.85846559	4.160071076	0.985422684	0.66079287	1.082756825	0.612518286	0.538209459	0.498927167	4.615120517	4.128955309	0	3.686050453	0	2.409531428	1.924638235	5.949934844	5.979455762	5.562395609	5.589236765	6.11154065	6.208744656	0.43502391	0.528861986	1.207466694	0.710987099	0.421338457	0.077886539	0.04018179	0.047837329	0.076961041	0.100749903	0.19309663	0.277631737	0.421338457	4.997299143	4.641121823	4.077537444	4.075876304	6.192621924	5.842750392	2.190613886	1.216158259	11.44469478	15.7718721	1.322067013	0.909440475	0.661055897	0.358926182	0.353697662	0.330794499	0.144792403	0.529027379	1
