StationID_Master	SampleID	CollDate	ConvertTo	ResultValue	MDLvalue	ResultQualCode	Description
402BA0335	402BA0335_5/27/2008_1	5/27/2008 0:00:00	Embeddedness	20.41		=	Detected value is equal to the value in the ResultValue field
402VNTEST	402VNTEST_10/2/2006_1	10/2/2006 0:00:00	Clay_Coarse0.00195LT0.0039mm_%	1.70	0.01	=	Detected value is equal to the value in the ResultValue field
402VNTEST	402VNTEST_10/2/2006_1	10/2/2006 0:00:00	Clay_FineLT0.00098mm_%	4.28	0.01	=	Detected value is equal to the value in the ResultValue field
402VNTEST	402VNTEST_10/2/2006_1	10/2/2006 0:00:00	Clay_Medium0.00098LT0.00195mm_%	1.13	0.01	=	Detected value is equal to the value in the ResultValue field
402VNTEST	402VNTEST_10/2/2006_1	10/2/2006 0:00:00	Pebble_Small4LT8mm_%	3.25	0.01	=	Detected value is equal to the value in the ResultValue field
402VNTEST	402VNTEST_10/2/2006_1	10/2/2006 0:00:00	Sand_Coarse0.5LT1.0mm_%	10.63	0.01	=	Detected value is equal to the value in the ResultValue field
402VNTEST	402VNTEST_10/2/2006_1	10/2/2006 0:00:00	Sand_Fine0.125LT0.25mm_%	14.98	0.01	=	Detected value is equal to the value in the ResultValue field
402VNTEST	402VNTEST_10/2/2006_1	10/2/2006 0:00:00	Sand_Med0.25LT0.5mm_%	14.48	0.01	=	Detected value is equal to the value in the ResultValue field
402VNTEST	402VNTEST_10/2/2006_1	10/2/2006 0:00:00	Sand_VCoarse1.0LT2.0mm_%	6.78	0.01	=	Detected value is equal to the value in the ResultValue field
402VNTEST	402VNTEST_10/2/2006_1	10/2/2006 0:00:00	Sand_VFine0.0625LT0.125mm_%	13.76	0.01	=	Detected value is equal to the value in the ResultValue field
402VNTEST	402VNTEST_10/2/2006_1	10/2/2006 0:00:00	Silt_Coarse0.031LT0.0625mm_%	15.20	0.01	=	Detected value is equal to the value in the ResultValue field
402VNTEST	402VNTEST_10/2/2006_1	10/2/2006 0:00:00	Silt_Fine0.0078LT0.0156mm_%	3.51	0.01	=	Detected value is equal to the value in the ResultValue field
402VNTEST	402VNTEST_10/2/2006_1	10/2/2006 0:00:00	Silt_Med0.0156LT0.031mm_%	6.29	0.01	=	Detected value is equal to the value in the ResultValue field
402VNTEST	402VNTEST_10/2/2006_1	10/2/2006 0:00:00	Silt_Vfine0.0039LT0.0078mm_%	2.09	0.01	=	Detected value is equal to the value in the ResultValue field
402VRB0xx	402VRB0xx_5/16/2012_1	5/16/2012 0:00:00	Clay_LT0.0039mm_%	12.00	0.05	=	Detected value is equal to the value in the ResultValue field
402VRB0xx	402VRB0xx_5/16/2012_1	5/16/2012 0:00:00	Sand_0.0625LT2.0mm_%	39.80	0.05	=	Detected value is equal to the value in the ResultValue field
402VRB0xx	402VRB0xx_5/16/2012_1	5/16/2012 0:00:00	Silt_0.0039LT0.0625mm_%	47.80	0.05	=	Detected value is equal to the value in the ResultValue field
402VRB0xx	402VRB0xx_5/19/2008_1	5/19/2008 0:00:00	Clay_Coarse0.00195LT0.0039mm_%	1.95	0.01	=	Detected value is equal to the value in the ResultValue field
402VRB0xx	402VRB0xx_5/19/2008_1	5/19/2008 0:00:00	Clay_FineLT0.00098mm_%	4.21	0.01	=	Detected value is equal to the value in the ResultValue field
402VRB0xx	402VRB0xx_5/19/2008_1	5/19/2008 0:00:00	Clay_Medium0.00098LT0.00195mm_%	1.25	0.01	=	Detected value is equal to the value in the ResultValue field
402VRB0xx	402VRB0xx_5/19/2008_1	5/19/2008 0:00:00	Pebble_Small4LT8mm_%	0.00	0.01	=	Detected value is equal to the value in the ResultValue field
402VRB0xx	402VRB0xx_5/19/2008_1	5/19/2008 0:00:00	Sand_Coarse0.5LT1.0mm_%	0.23	0.01	=	Detected value is equal to the value in the ResultValue field
402VRB0xx	402VRB0xx_5/19/2008_1	5/19/2008 0:00:00	Sand_Fine0.125LT0.25mm_%	16.87	0.01	=	Detected value is equal to the value in the ResultValue field
402VRB0xx	402VRB0xx_5/19/2008_1	5/19/2008 0:00:00	Sand_Med0.25LT0.5mm_%	2.33	0.01	=	Detected value is equal to the value in the ResultValue field
402VRB0xx	402VRB0xx_5/19/2008_1	5/19/2008 0:00:00	Sand_VCoarse1.0LT2.0mm_%	0.07	0.01	=	Detected value is equal to the value in the ResultValue field
402VRB0xx	402VRB0xx_5/19/2008_1	5/19/2008 0:00:00	Sand_VFine0.0625LT0.125mm_%	33.57	0.01	=	Detected value is equal to the value in the ResultValue field
402VRB0xx	402VRB0xx_5/19/2008_1	5/19/2008 0:00:00	Silt_Coarse0.031LT0.0625mm_%	24.51	0.01	=	Detected value is equal to the value in the ResultValue field
402VRB0xx	402VRB0xx_5/19/2008_1	5/19/2008 0:00:00	Silt_Fine0.0078LT0.0156mm_%	3.54	0.01	=	Detected value is equal to the value in the ResultValue field
402VRB0xx	402VRB0xx_5/19/2008_1	5/19/2008 0:00:00	Silt_Med0.0156LT0.031mm_%	9.24	0.01	=	Detected value is equal to the value in the ResultValue field
402VRB0xx	402VRB0xx_5/19/2008_1	5/19/2008 0:00:00	Silt_Vfine0.0039LT0.0078mm_%	2.20	0.01	=	Detected value is equal to the value in the ResultValue field
402VRB0xx	402VRB0xx_5/27/2010_1	5/27/2010 0:00:00	Clay_LT0.0039mm_%	10.40	0.05	=	Detected value is equal to the value in the ResultValue field
402VRB0xx	402VRB0xx_5/27/2010_1	5/27/2010 0:00:00	Sand_0.0625LT2.0mm_%	21.30	0.05	=	Detected value is equal to the value in the ResultValue field
402VRB0xx	402VRB0xx_5/27/2010_1	5/27/2010 0:00:00	Silt_0.0039LT0.0625mm_%	68.20	0.05	=	Detected value is equal to the value in the ResultValue field
402VRB0xx	402VRB0xx_6/9/2011_1	6/9/2011 0:00:00	Clay_LT0.0039mm_%	10.70	0.05	=	Detected value is equal to the value in the ResultValue field
402VRB0xx	402VRB0xx_6/9/2011_1	6/9/2011 0:00:00	Sand_0.0625LT2.0mm_%	40.90	0.05	=	Detected value is equal to the value in the ResultValue field
402VRB0xx	402VRB0xx_6/9/2011_1	6/9/2011 0:00:00	Silt_0.0039LT0.0625mm_%	48.40	0.05	=	Detected value is equal to the value in the ResultValue field
402WE0803	402WE0803_6/12/2001_1	6/12/2001 0:00:00	Embeddedness	28.45		=	Detected value is equal to the value in the ResultValue field
402WE0803	402WE0803_6/12/2001_1	6/12/2001 0:00:00	IncisedHeight_m	0.00		=	Detected value is equal to the value in the ResultValue field
402WE0803	402WE0803_6/12/2001_1	6/12/2001 0:00:00	RiffleRunEmbeddedness	12.00		=	Detected value is equal to the value in the ResultValue field
402WE0803	402WE0803_6/12/2001_1	6/12/2001 0:00:00	RiffleRunEpifaunalSubstrate	17.00		=	Detected value is equal to the value in the ResultValue field
402WE0803	402WE0803_6/12/2001_1	6/12/2001 0:00:00	RiffleRunSedDeposit	17.00		=	Detected value is equal to the value in the ResultValue field
403BA0047	403BA0047_5/15/2008_1	5/15/2008 0:00:00	Embeddedness	31.17		=	Detected value is equal to the value in the ResultValue field
403BA0047	403BA0047_5/15/2008_1	5/15/2008 0:00:00	Velocity_m_s	0.00		=	Detected value is equal to the value in the ResultValue field
403BA0068	403BA0068_5/14/2008_1	5/14/2008 0:00:00	Velocity_m_s	0.00		=	Detected value is equal to the value in the ResultValue field
403BA0140	403BA0140_5/21/2008_1	5/21/2008 0:00:00	Embeddedness	27.25		=	Detected value is equal to the value in the ResultValue field
403BA0140	403BA0140_5/21/2008_1	5/21/2008 0:00:00	EmbeddednessReach	23.80		=	Detected value is equal to the value in the ResultValue field
403BA0140	403BA0140_5/21/2008_1	5/21/2008 0:00:00	RiffleRunEpifaunalSubstrate	13.00		=	Detected value is equal to the value in the ResultValue field
403BA0140	403BA0140_5/21/2008_1	5/21/2008 0:00:00	RiffleRunSedDeposit	16.00		=	Detected value is equal to the value in the ResultValue field
403BA0191	403BA0191_5/14/2008_1	5/14/2008 0:00:00	Embeddedness	43.60		=	Detected value is equal to the value in the ResultValue field
403BA0191	403BA0191_5/14/2008_1	5/14/2008 0:00:00	Velocity_m_s	0.00		=	Detected value is equal to the value in the ResultValue field
403MTVWGC	403MTVWGC_6/12/2012_1	6/12/2012 0:00:00	Clay_LT0.0039mm_%	5.00	0.05	=	Detected value is equal to the value in the ResultValue field
403MTVWGC	403MTVWGC_6/12/2012_1	6/12/2012 0:00:00	Sand_0.0625LT2.0mm_%	66.60	0.05	=	Detected value is equal to the value in the ResultValue field
403MTVWGC	403MTVWGC_6/12/2012_1	6/12/2012 0:00:00	Silt_0.0039LT0.0625mm_%	28.40	0.05	=	Detected value is equal to the value in the ResultValue field
403S00772	403S00772_5/20/2009_1	5/20/2009 0:00:00	Embeddedness	37.33		=	Detected value is equal to the value in the ResultValue field
403S00772	403S00772_5/20/2009_1	5/20/2009 0:00:00	Velocity_m_s	0.00		=	Detected value is equal to the value in the ResultValue field
403S00831	403S00831_6/10/2010_1	6/10/2010 0:00:00	Embeddedness	21.42		=	Detected value is equal to the value in the ResultValue field
403S00831	403S00831_6/10/2010_1	6/10/2010 0:00:00	EmbeddednessReach	16.60		=	Detected value is equal to the value in the ResultValue field
403S00831	403S00831_6/10/2010_1	6/10/2010 0:00:00	RiffleRunEpifaunalSubstrate	15.00		=	Detected value is equal to the value in the ResultValue field
403S00831	403S00831_6/10/2010_1	6/10/2010 0:00:00	RiffleRunSedDeposit	15.00		=	Detected value is equal to the value in the ResultValue field
403S00831	403S00831_6/10/2010_1	6/10/2010 0:00:00	Velocity_m_s	0.00		=	Detected value is equal to the value in the ResultValue field
403S01272	403S01272_6/9/2009_1	6/9/2009 0:00:00	Velocity_m_s	0.00		=	Detected value is equal to the value in the ResultValue field
403S01784	403S01784_6/9/2009_1	6/9/2009 0:00:00	Velocity_m_s	0.00		=	Detected value is equal to the value in the ResultValue field
403S02764	403S02764_6/14/2011_1	6/14/2011 0:00:00	Clay_LT0.0039mm_%	6.00	0.05	=	Detected value is equal to the value in the ResultValue field
403S02764	403S02764_6/14/2011_1	6/14/2011 0:00:00	Embeddedness	62.50		=	Detected value is equal to the value in the ResultValue field
403S02764	403S02764_6/14/2011_1	6/14/2011 0:00:00	EmbeddednessReach	61.40		=	Detected value is equal to the value in the ResultValue field
403S02764	403S02764_6/14/2011_1	6/14/2011 0:00:00	RiffleRunEpifaunalSubstrate	10.00		=	Detected value is equal to the value in the ResultValue field
403S02764	403S02764_6/14/2011_1	6/14/2011 0:00:00	RiffleRunSedDeposit	12.00		=	Detected value is equal to the value in the ResultValue field
403S02764	403S02764_6/14/2011_1	6/14/2011 0:00:00	Sand_0.0625LT2.0mm_%	74.20	0.05	=	Detected value is equal to the value in the ResultValue field
403S02764	403S02764_6/14/2011_1	6/14/2011 0:00:00	Silt_0.0039LT0.0625mm_%	19.20	0.05	=	Detected value is equal to the value in the ResultValue field
403S02764	403S02764_6/14/2011_1	6/14/2011 0:00:00	Velocity_m_s	0.00		=	Detected value is equal to the value in the ResultValue field
403S03320	403S03320_6/8/2010_1	6/8/2010 0:00:00	RiffleRunEpifaunalSubstrate	1.00		=	Detected value is equal to the value in the ResultValue field
403S03320	403S03320_6/8/2010_1	6/8/2010 0:00:00	RiffleRunSedDeposit	4.00		=	Detected value is equal to the value in the ResultValue field
403S03320	403S03320_6/8/2010_1	6/8/2010 0:00:00	Velocity_m_s	0.00		=	Detected value is equal to the value in the ResultValue field
403S03832	403S03832_6/8/2009_1	6/8/2009 0:00:00	Embeddedness	10.00		=	Detected value is equal to the value in the ResultValue field
403S03832	403S03832_6/8/2009_1	6/8/2009 0:00:00	EmbeddednessReach	55.40		=	Detected value is equal to the value in the ResultValue field
403S03832	403S03832_6/8/2009_1	6/8/2009 0:00:00	RiffleRunEpifaunalSubstrate	10.00		=	Detected value is equal to the value in the ResultValue field
403S03832	403S03832_6/8/2009_1	6/8/2009 0:00:00	RiffleRunSedDeposit	9.00		=	Detected value is equal to the value in the ResultValue field
403S03832	403S03832_6/8/2009_1	6/8/2009 0:00:00	Velocity_m_s	0.00		=	Detected value is equal to the value in the ResultValue field
403S04600	403S04600_6/8/2010_1	6/8/2010 0:00:00	Embeddedness	47.50		=	Detected value is equal to the value in the ResultValue field
403S04600	403S04600_6/8/2010_1	6/8/2010 0:00:00	EmbeddednessReach	26.80		=	Detected value is equal to the value in the ResultValue field
403S04600	403S04600_6/8/2010_1	6/8/2010 0:00:00	Velocity_m_s	0.00		=	Detected value is equal to the value in the ResultValue field
403S04868	403S04868_6/15/2011_1	6/15/2011 0:00:00	Clay_LT0.0039mm_%	6.80	0.05	=	Detected value is equal to the value in the ResultValue field
403S04868	403S04868_6/15/2011_1	6/15/2011 0:00:00	Embeddedness	22.27		=	Detected value is equal to the value in the ResultValue field
403S04868	403S04868_6/15/2011_1	6/15/2011 0:00:00	EmbeddednessReach	23.40		=	Detected value is equal to the value in the ResultValue field
403S04868	403S04868_6/15/2011_1	6/15/2011 0:00:00	RiffleRunEpifaunalSubstrate	11.00		=	Detected value is equal to the value in the ResultValue field
403S04868	403S04868_6/15/2011_1	6/15/2011 0:00:00	RiffleRunSedDeposit	12.00		=	Detected value is equal to the value in the ResultValue field
403S04868	403S04868_6/15/2011_1	6/15/2011 0:00:00	Sand_0.0625LT2.0mm_%	65.20	0.05	=	Detected value is equal to the value in the ResultValue field
403S04868	403S04868_6/15/2011_1	6/15/2011 0:00:00	Silt_0.0039LT0.0625mm_%	26.70	0.05	=	Detected value is equal to the value in the ResultValue field
403S04868	403S04868_6/15/2011_1	6/15/2011 0:00:00	Velocity_m_s	0.00		=	Detected value is equal to the value in the ResultValue field
403S05247	403S05247_6/1/2010_1	6/1/2010 0:00:00	Embeddedness	25.00		=	Detected value is equal to the value in the ResultValue field
403S05247	403S05247_6/1/2010_1	6/1/2010 0:00:00	EmbeddednessReach	12.85		=	Detected value is equal to the value in the ResultValue field
403S05247	403S05247_6/1/2010_1	6/1/2010 0:00:00	Velocity_m_s	0.00		=	Detected value is equal to the value in the ResultValue field
