"","sort(unique(names(data_CoOccur_CA)))"
"163","Dichloropropene_11_uf_µg_L"
"164","Mevinphos_uf_µg_L"
"165","Trichloropropane_123_uf_µg_L"
"166","FluoranthenePyrenes_C1_uf_µg_L"
"167","MicrocystinLA_uf_µg_L"
"168","MicrocystinLF_Particulate_µg_L"
"169","Disulfoton_uf_µg_L"
"170","Esfenvalerate_uf_µg_L"
"171","Fluorene_uf_µg_L"
"172","Oxadiazon_uf_µg_L"
"173","Doxycycline_uf_µg_L"
"174","PCB105_uf_µg_L"
"175","PCB101_uf_µg_L"
"176","PCB087_uf_µg_L"
"177","Dichloroethane_12_uf_µg_L"
"178","PCB149_uf_µg_L"
"179","Thionazin_uf_µg_L"
"180","Dioxathion._uf_µg_L"
"181","PCB156_uf_µg_L"
"182","PCB138_uf_µg_L"
"183","Dichloroethylene_11_uf_µg_L"
"184","PCB157_uf_µg_L"
"185","Naphthalenes_C2_uf_µg_L"
"186","Hexachlorobutadiene_uf_µg_L"
"187","Butylbenzene_tert_uf_µg_L"
"188","Nodularin_uf_µg_L"
"189","Dichlorobenzene_14_uf_µg_L"
"190","Nonylphenolethoxylate_uf_µg_L"
"191","Mirex_uf_µg_L"
"192","Dichlorvos_uf_µg_L"
"193","Fluorenes_C1_uf_µg_L"
"194","Ethylbenzene_uf_µg_L"
"195","HCH_alpha._uf_µg_L"
"196","SpecCond_uf_µS_cm"
"197","MicrocystinLR_uf_µg_L"
"198","Famphur_uf_µg_L"
"199","Fonofos_uf_µg_L"
"200","Fluoranthene_uf_µg_L"
"201","Dibenzothiophenes_C3_uf_µg_L"
"202","Deltamethrin_uf_µg_L"
"203","Trimethylbenzene_124_uf_µg_L"
"204","Endrin_Ketone_uf_µg_L"
"205","Chlorfenvinphos_uf_µg_L"
"206","Dichloropropane_13_uf_µg_L"
"207","Fluorenes_C2_uf_µg_L"
"208","PCB044_uf_µg_L"
"209","Dimethylnaphthalene_26_uf_µg_L"
"210","DesmethylLR_uf_µg_L"
"211","Dichloroethylene_cis_12_uf_µg_L"
"212","Al_f_µg_L"
"213","Dibromomethane_uf_µg_L"
"214","MicrocystinLF_uf_µg_L"
"215","PCB060_uf_µg_L"
"216","Methylfluorene_1_uf_µg_L"
"217","Mn_µg_g"
"218","Nonachlor_trans_uf_µg_L"
"219","Dichlofenthion_uf_µg_L"
"220","MicrocystinLW_uf_µg_L"
"221","Diazinon_uf_µg_L"
"222","Dibenzothiophenes_C1_uf_µg_L"
"223","Acenaphthene_ng_g"
"224","Dichlorobenzene_13_uf_µg_L"
"225","Ethoprop_uf_µg_L"
"226","Methylphenanthrene_1_uf_µg_L"
"227","Ametryn_uf_µg_L"
"228","Leptophos_uf_µg_L"
"229","AnatoxinA_Particulate_µg_L"
"230","Endosulfan_II_uf_µg_L"
"231","Butylbenzene_n_uf_µg_L"
"232","Mn_uf_µg_L"
"233","DeltamethrinTralomethrin_uf_µg_L"
"234","CarbonTetrachloride_uf_µg_L"
"235","Dichlorobenzene_12_uf_µg_L"
"236","Bolstar_uf_µg_L"
"237","Acenaphthylene_ng_g"
"238","AFDM_Algae_Particulate_g_m2"
"239","Ag_uf_mg_kg"
"240","Al_uf_mg_kg"
"241","Aldrin_ng_g"
"242","Aldrin_ppb"
"243","Alkalinity_mg_L"
"244","AlkalinityCaCO3_f_mg_L"
"245","AlkalinityCaCO3_uf_mg_L"
"246","Allethrin_ng_g"
"247","Ametryne_ppb"
"248","Anthracene_uf_ng_g"
"249","As_f_mg_L"
"250","As_uf_mg_kg"
"251","As_uf_mg_L"
"252","Aspon_ppb"
"253","Atraton_ppb"
"254","Atrazine_ppb"
"255","AzinphosEthyl_ppb"
"256","AzinphosMethyl_ppb"
"257","B_uf_mg_L"
"258","Ba_uf_mg_kg"
"259","Be_uf_mg_kg"
"260","Benz.a.anthracene_ng_g"
"261","Benzo.a.pyrene_ng_g"
"262","Benzo.b.fluoranthene_ng_g"
"263","Benzo.e.pyrene_ng_g"
"264","Benzo.g.h.i.perylene_ng_g"
"265","Benzo.k.fluoranthene_ng_g"
"266","Bicarbonate_HCO3_mg_L"
"267","Bifenthrin_ng_g"
"268","Biphenyl_ng_g"
"269","BOD_mg_L"
"270","Bolstar_ng_g"
"271","Ca_f_mg_L"
"272","Ca_uf_mg_L"
"273","CanonicalStationID"
"274","Carbonate_CaCO3_mg_L"
"275","Carbophenothion_ppb"
"276","Cd_f_mg_L"
"277","Cd_uf_mg_L"
"278","CHECK.THIS"
"279","Chlor_a_mg_m2"
"280","Chlor_a_mg_m3"
"281","Chlor_a_Particulate_mg_m2"
"282","Chlordane_alpha_ng_g"
"283","Chlordane_cis_ng_g"
"284","Chlordane_trans_ng_g"
"285","Chlordene_cis_ng_g"
"286","Chlordene_gamma_ng_g"
"287","Chlordene_trans_ng_g"
"288","Chlorfenvinphos_ppb"
"289","Chlorpyrifos_methyl_ng_g"
"290","Chlorpyrifos_ng_g"
"291","ChlorpyrifosMethyl_ppb"
"292","ChlorthalDimethyl_ppb"
"293","Chrysene_ng_g"
"294","Chrysenes_C1_ng_g"
"295","Chrysenes_C2_ng_g"
"296","Chrysenes_C3_ng_g"
"297","Cinerin1_ng_g"
"298","Cinerin2_ng_g"
"299","Ciodrin_ppb"
"300","Cl_f_mg_L"
"301","COD_mg_L"
"302","Coliform_Fecal_MPN_100mL"
"303","Coliform_Total_MPN_100mL"
"304","CollDate"
"305","Color_True_CU"
"306","Coumaphos_ppb"
"307","County"
"308","Cr_f_mg_L"
"309","Cr_uf_mg_L"
"310","CSCI"
"311","Cu_f_mg_L"
"312","Cu_uf_mg_L"
"313","Cyfluthrin_ng_g"
"314","Cyhalothrin_lambda_ng_g"
"315","Cyhalothrin_lambda_ppb"
"316","Cypermethrin_ng_g"
"317","Dacthal_ng_g"
"318","Danitol_ng_g"
"319","DCBP.p.p.._ng_g"
"320","DDD.o.p.._ng_g"
"321","DDD.p.p.._ng_g"
"322","DDE.o.p.._ng_g"
"323","DDE.p.p.._ng_g"
"324","DDMU.p.p.._ng_g"
"325","DDT.o.p.._ng_g"
"326","DDT.p.p.._ng_g"
"327","DDTs_Total_ng_g"
"328","DDVP_ppb"
"329","Deltamethrin_ng_g"
"330","DeltamethrinTralomethrin_ng_g"
"331","Demeton_s_ng_g"
"332","Demeton_ug_L"
"333","Diazinon_ng_g"
"334","Diazinon_ug_L"
"335","Dibenz.a.h.anthracene_ng_g"
"336","Dibenzothiophene_ng_g"
"337","Dibenzothiophenes_C1_ng_g"
"338","Dibenzothiophenes_C2_ng_g"
"339","Dibenzothiophenes_C3_ng_g"
"340","Dibutyltin_Sn_ng_g"
"341","DIC_f_mg_L"
"342","Dichlofenthion_ng_g"
"343","Dichlofenthion_ppb"
"344","Dichlorvos_ng_g"
"345","Dicrotophos_ppb"
"346","Dieldrin_ng_g"
"347","Dieldrin_ppb"
"348","Dimethylnaphthalene_2.6_ng_g"
"349","Dimethylphenanthrene_3.6_ng_g"
"350","Dioxathion._ng_g"
"351","Dioxathion_ppb"
"352","DO_uf_mg_L"
"353","DOC_f_mg_L"
"354","DP_f_mg_L"
"355","DP_P_mg_L"
"356","E_coli_MPN_100_mL"
"357","Endosulfan_I_ng_g"
"358","Endosulfan_II_ng_g"
"359","Endosulfan_II_ppb"
"360","Endosulfan_ppb"
"361","Endosulfan_sulfate_ng_g"
"362","Endosulfan_Sulfate_ppb"
"363","Endrin_Aldehyde_ng_g"
"364","Endrin_Aldehyde_ppb"
"365","Endrin_Ketone_ng_g"
"366","Endrin_Ketone_ppb"
"367","Endrin_ppb"
"368","Endrin_uf_ng_g"
"369","Enterococci_MPN_100mL"
"370","Enterococcus_MPN_100_mL"
"371","Esfenvalerate_ng_g"
"372","EsfenvalerateFenvalerate_ng_g"
"373","Ethion_ng_g"
"374","Ethion_ppb"
"375","Ethoprop_ng_g"
"376","Ethoprop_ppb"
"377","F_uf_mg_L"
"378","Famphur_ppb"
"379","Fenchlorphos_ng_g"
"380","Fenitrothion_ng_g"
"381","Fenpropathrin_ppb"
"382","Fensulfothion_ng_g"
"383","Fenthion_ng_g"
"384","Fenvalerate_ng_g"
"385","Fipronil_ng_g"
"386","FipronilDesulfinyl_ng_g"
"387","FipronilSulfide_ng_g"
"388","FipronilSulfone_ng_g"
"389","Fluoranthene_ng_g"
"390","FluoranthenePyrenes_C1_ng_g"
