"STATION_CD"	"STATION_NAME"	"COMID"	"STATION_RID"	"HUC12"	"COUNTY_NAME"	"STATION_TYPE"	"LATITUDE"	"LONGITUDE"	"UTM_EAST"	"UTM_NORTH"	"UTM_ZONE"	"Elevation"	"ReferenceStatus"	"Year"
"VRVER044.71"	102836	20438978	1419	15060203	"MARICOPA"	"Stream"	33.98175	-111.710611	434362	3760360	"12N"	NA	NA	NA
"VRVER053.21"	100740	20438416	412	15060203	"YAVAPAI"	"Stream"	34.073056	-111.716389	433899	3770488	"12N"	NA	NA	NA
"VRVER053.70"	100678	20438416	376	15060203	"YAVAPAI"	"Stream"	34.075837	-111.708958	434587	3770791	"12N"	2040	"reference"	2014
"VRVER054.62"	103408	20437544	1575	15060203	"YAVAPAI"	"Stream"	34.085611	-111.711083	434398	3771877	"12N"	NA	NA	NA
"VRVER054.92"	111477	20437562	61707	15060203	"YAVAPAI"	"Stream"	34.08104	-111.70724	434749	3771367	"12N"	NA	NA	NA
"VRVER070.22"	103176	20437274	1496	15060203	"GILA"	"Stream"	34.199	-111.690389	436393	3784436	"12N"	NA	NA	NA
"VRVER086.44"	104142	20436744	1837	15060203	"YAVAPAI"	"Stream"	34.348056	-111.696111	435978	3800968	"12N"	NA	NA	NA
"VRVER087.85"	104117	20436682	1828	15060203	"YAVAPAI"	"Stream"	34.362778	-111.714167	434329	3802612	"12N"	NA	NA	NA
"VRVER095.30"	104118	20436422	1829	15060203	"YAVAPAI"	"Stream"	34.414444	-111.781667	428166	3808387	"12N"	NA	NA	NA
"VRVER099.45"	100766	20436276	1163	15060203	"YAVAPAI"	"Stream"	34.448333	-111.79	427430	3812151	"12N"	NA	NA	NA
"VRVER101.15"	104145	20436238	1840	15060203	"YAVAPAI"	"Stream"	34.463611	-111.787222	427698	3813843	"12N"	NA	NA	NA
"VRVER103.19"	106122	20436214	2102	15060203	"YAVAPAI"	"Stream"	34.473056	-111.800833	426456	3814900	"12N"	NA	NA	NA
"VRVER103.60"	100477	20436214	992	15060203	"YAVAPAI"	"Stream"	34.478972	-111.80025	426515	3815556	"12N"	2960	NA	NA
"VRVER103.73"	100677	20436214	375	15060203	"YAVAPAI"	"Stream"	34.480721	-111.799454	426590	3815749	"12N"	2940	NA	NA
"VRVER104.30"	110043	20436214	2497	15060203	"YAVAPAI"	"Stream"	34.479749	-111.812649	425377	3815651	"12N"	NA	NA	NA
"VRVER105.51"	104141	20436170	1836	15060203	"YAVAPAI"	"Stream"	34.486944	-111.817778	424913	3816453	"12N"	NA	NA	NA
"VRVER105.81"	110044	20436170	2498	15060203	"YAVAPAI"	"Stream"	34.498082	-111.815982	425088	3817687	"12N"	NA	NA	NA
"VRVER106.50"	104140	20436170	1835	15060203	"YAVAPAI"	"Stream"	34.5	-111.819722	424746	3817902	"12N"	NA	NA	NA
"VRVER107.53"	100750	20435378	419	15060203	"YAVAPAI"	"Stream"	34.504167	-111.829444	423857	3818371	"12N"	NA	NA	NA
"VRVER107.68"	100723	20435378	403	15060203	"YAVAPAI"	"Stream"	34.506917	-111.837417	423128	3818682	"12N"	3000	NA	NA
"VRVER108.49"	100476	20435332	275	15060203	"YAVAPAI"	"Stream"	34.515556	-111.838611	423026	3819641	"12N"	NA	NA	NA
"VRVER108.95"	104120	20435298	1831	15060203	"YAVAPAI"	"Stream"	34.523333	-111.835278	423339	3820501	"12N"	NA	NA	NA
"VRVER109.21"	104147	20435298	1842	15060203	"YAVAPAI"	"Stream"	34.526667	-111.837778	423113	3820873	"12N"	NA	NA	NA
"VRVER109.58"	104143	20435298	1838	15060203	"YAVAPAI"	"Stream"	34.5275	-111.844167	422527	3820970	"12N"	NA	NA	NA
"VRVER110.77"	104138	20435342	1833	15060203	"YAVAPAI"	"Stream"	34.53	-111.865	420618	3821264	"12N"	NA	NA	NA
"VRVER112.19"	104137	20435214	1832	15060203	"YAVAPAI"	"Stream"	34.544167	-111.863056	420809	3822833	"12N"	NA	NA	NA
"VRVER112.88"	104139	20435214	1834	15060203	"YAVAPAI"	"Stream"	34.549722	-111.852222	421809	3823441	"12N"	NA	NA	NA
"VRVER112.98"	106101	20435214	2099	15060203	"YAVAPAI"	"Stream"	34.551361	-111.851417	421884	3823622	"12N"	NA	NA	NA
"VRVER113.33"	104150	20435214	1845	15060203	"YAVAPAI"	"Stream"	34.555278	-111.849444	422069	3824055	"12N"	NA	NA	NA
"VRVER114.19"	104146	20454286	1841	15060202	"YAVAPAI"	"Stream"	34.566667	-111.845278	422462	3825314	"12N"	NA	NA	NA
"VRVER114.53"	110062	20454272	2499	15060202	"YAVAPAI"	"Stream"	34.573636	-111.85404	421664	3826094	"12N"	NA	NA	NA
"VRVER114.78"	104157	20454272	1846	15060202	"YAVAPAI"	"Stream"	34.573333	-111.850556	421984	3826058	"12N"	NA	NA	NA
