"HUC08"	"Region"	"RegionName"	"WaterbodyName"	"WBID"	"Category"	"Impairments"	"Exceedances"	"Pollutant"	"PollutantCategory"	"EstimatedSizeAffected"	"Unit"	"WaterbodyType"	"WBType"	"ReachCode"	"Year"	"PotentialSources"	"SourceCategory"	"COMID"	"Comments"
"15030201"	"BW"	"Bill Williams"	"BIG SANDY RIVER"	"15030201-006"	NA	"no"	NA	"Fines_percent_<2mm (REACH)"	NA	1702	"miles"	"Stream"	"Perennial"	2232	"05-16-2013"	NA	NA	21402543	"BWBSR037.79"
"15010010"	"CG"	"Colorado-Grand Canyon"	"VIRGIN RIVER"	"15010010-004"	NA	"yes?"	NA	"Fines_percent_<2mm (REACH)"	NA	4194	"miles"	"Stream"	"Perennial"	940	"04-24-2013"	NA	NA	4916176	"CGVGR044.58"
"14070007"	"CG"	"Colorado-Grand Canyon"	"PARIA RIVER"	"14070007-123"	NA	"no"	NA	"Fines_percent_<2mm (REACH)"	NA	1417.55	"miles"	"Stream"	"Perennial"	1171	"04-24-2013"	NA	NA	18267741	"CGPAR000.49"
"15020008"	"LC"	"Little Colorado"	"LITTLE COLORADO RIVER"	"15020008"	NA	"no"	NA	"Fines_percent_<2mm (RIFFLE)"	NA	11333	"miles"	"Stream"	"Perennial"	1942	"04-24-2007"	NA	NA	21747017	"LCLCR211.73"
"15020001"	"LC"	"Little Colorado"	"LITTLE COLORADO RIVER"	"15020001"	NA	"no"	NA	"Fines_percent_<2mm (RIFFLE)"	NA	333	"miles"	"Stream"	"Perennial"	194	"06-28-2000"	NA	NA	20584904	"LCLCR340.02"
"15020001"	"LC"	"Little Colorado"	"LILY CREEK"	"15020001"	NA	"yes"	NA	"Fines_percent_<2mm (RIFFLE)"	NA	0.575289	"miles"	"Stream"	"Perennial"	723	"07-31-2012"	NA	NA	20586684	"LCLIL002.16"
"15020001"	"LC"	"Little Colorado"	"LEE VALLEY CREEK"	"15020001"	NA	"no"	NA	"Fines_percent_<2mm (RIFFLE)"	NA	1.1	"miles"	"Stream"	"Perennial"	628	"06-13-2007"	NA	NA	20586786	"LCLVL001.32"
"15020001"	"LC"	"Little Colorado"	"MAMIE CREEK"	"15020001"	NA	"no"	NA	"Fines_percent_<2mm (RIFFLE)"	NA	2.108106	"miles"	"Stream"	"Perennial"	725	"06-24-2010"	NA	NA	20586710	"LCMAM002.05"
"15020001"	"LC"	"Little Colorado"	"MORRISON CREEK"	"15020001"	NA	"yes"	NA	"Fines_percent_<2mm (RIFFLE)"	NA	2.9	"miles"	"Stream"	"Perennial"	1918	"07-31-2012"	NA	NA	20586718	"LCMRS043.17"
"15020001"	"LC"	"Little Colorado"	"NUTRIOSO CREEK, reach #017A"	"15020001"	NA	"no"	NA	"Fines_percent_<2mm (RIFFLE)"	NA	54.92	"miles"	"Stream"	"Perennial"	1031	"06-09-2004"	NA	NA	20586674	"LCNUT020.72"
"15020001"	"LC"	"Little Colorado"	"RIGGS CREEK"	"15020001"	NA	"yes"	NA	"Fines_percent_<2mm (RIFFLE)"	NA	4.3	"miles"	"Stream"	"Perennial"	1926	"08-01-2012"	NA	NA	20587028	"LCRIG004.87"
"15020005"	"LC"	"Little Colorado"	"SHOW LOW CREEK"	"15020005"	NA	"no"	NA	"Fines_percent_<2mm (RIFFLE)"	NA	63	"miles"	"Stream"	"Perennial"	1920	"05-12-2014"	NA	NA	21756096	"LCSHL031.05"
"15020005"	"LC"	"Little Colorado"	"SILVER CREEK, reach 009"	"15020005"	NA	"no"	NA	"Fines_percent_<2mm (RIFFLE)"	NA	483	"miles"	"Stream"	"Perennial"	2234	"05-12-2014"	NA	NA	21754668	"LCSIL027.05"
"15020001"	"LC"	"Little Colorado"	"WEST FORK LITTLE COLORADO RIVER"	"15020001"	NA	"no"	NA	"Fines_percent_<2mm (RIFFLE)"	NA	11.6	"miles"	"Stream"	"Perennial"	974	"06-10-2013"	NA	NA	20586666	"LCWLR000.92"
"15070103"	"MG"	"Middle Gila"	"HASSAYAMPA RIVER"	"15070103-002A"	NA	"yes?"	NA	"Fines_percent_<2mm (REACH)"	NA	740	"miles"	"Stream"	"Perennial"	264	"04-15-2015"	NA	NA	20403905	"MGHSR048.20"
"15070102"	"MG"	"Middle Gila"	"AGUA FRIA RIVER"	"15070102-023"	NA	"no"	NA	"Fines_percent_<2mm (REACH)"	NA	506.63	"miles"	"Stream"	"Perennial"	1006	"05-23-2012"	NA	NA	20412498	"MGAFR087.35"
"15070103"	"MG"	"Middle Gila"	"HASSAYAMPA RIVER"	"15070103-004"	NA	"yes?"	NA	"Fines_percent_<2mm (REACH)"	NA	417	"miles"	"Stream"	"Perennial"	1056	"04-15-2015"	NA	NA	20403179	"MGHSR058.80"
"15070102"	"MG"	"Middle Gila"	"LITTLE SYCAMORE CREEK"	"15070102-615"	NA	"no"	NA	"Fines_percent_<2mm (REACH)"	NA	15.57	"miles"	"Stream"	"Perennial"	2173	"04-08-2009"	NA	NA	20414606	"MGLSY000.42"
"15050301"	"SC"	"Santa Cruz"	"SONOITA CREEK"	"15050301-013C"	NA	"yes"	NA	"Fines_percent_<2mm (REACH)"	NA	187	"miles"	"Stream"	"Perennial"	154	"04-18-2013"	NA	NA	15906393	"SCSON015.35"
"15050302"	"SC"	"Santa Cruz"	"CIENEGA CREEK"	"15050302-006B"	NA	"no"	NA	"Fines_percent_<2mm (REACH)"	NA	410	"miles"	"Stream"	"Perennial"	158	"04-18-2013"	NA	NA	15894436	"SCCIE002.89"
"15050201"	"SP"	"San Pedro"	"GRANT CREEK"	"15050201"	NA	"no"	NA	"Fines_percent_<2mm (RIFFLE)"	NA	9.644778	"miles"	"Stream"	"Perennial"	718	"04-28-1997"	NA	NA	21258377	"SPGRA007.71"
"15050203"	"SP"	"San Pedro"	"SAN PEDRO RIVER"	"15050203-003"	NA	"no"	NA	"Fines_percent_<2mm (REACH)"	NA	1168	"miles"	"Stream"	"Perennial"	2410	"04-05-2016"	NA	NA	15918897	"SPSPR015.42"
"15050203"	"SP"	"San Pedro"	"BUEHMAN CANYON"	"15050203-010A"	NA	"no"	NA	"Fines_percent_<2mm (REACH)"	NA	41	"miles"	"Stream"	"Perennial"	589	"04-16-2013"	NA	NA	15919613	"SPBHC004.31"
"15050203"	"SP"	"San Pedro"	"HOT SPRINGS CANYON"	"15050203-013"	NA	"no"	NA	"Fines_percent_<2mm (REACH)"	NA	95.1	"miles"	"Stream"	"Perennial"	721	"04-04-2012"	NA	NA	15919765	"SPHSC010.67"
"15050203"	"SP"	"San Pedro"	"SAN PEDRO RIVER"	"15050203-003"	NA	"no"	NA	"Fines_percent_<2mm (REACH)"	NA	1168	"miles"	"Stream"	"Perennial"	2446	"04-05-2016"	NA	NA	15918891	"SPSPR014.18"
"15050202"	"SP"	"San Pedro"	"SAN PEDRO RIVER"	"15050202-006"	NA	"yes"	NA	"Fines_percent_<2mm (REACH)"	NA	1233.976	"miles"	"Stream"	"Perennial"	365	"04-16-2012"	NA	NA	15932591	"SPSPR126.35"
"15060101"	"SR"	"Salt River"	"BEAR WALLOW CREEK"	"15060101"	NA	"no"	NA	"Fines_percent_<2mm (RIFFLE)"	NA	12.81	"miles"	"Stream"	"Perennial"	616	"06-11-2013"	NA	NA	20494381	"SRBWL005.79"
"15060103"	"SR"	"Salt River"	"PINAL CREEK"	"15060103-280D"	NA	"no"	NA	"Fines_percent_<2mm (REACH)"	NA	192.47	"miles"	"Stream"	"Perennial"	810	"10-10-2012"	NA	NA	22441594	"SRPNL005.12"
"15060103"	"SR"	"Salt River"	"West Fork Pinto Creek"	"15060103-066"	NA	"no"	NA	"Fines_percent_<2mm (REACH)"	NA	19.33	"miles"	"Stream"	"Perennial"	1276	"10-10-2012"	NA	NA	22442362	"SRWPN004.47"
"15060101"	"SR"	"Salt River"	"Horse Creek"	"15060101"	NA	"no"	NA	"Fines_percent_<2mm (RIFFLE)"	NA	4.32	"miles"	"Stream"	"Perennial"	2584	"06-20-2016"	NA	NA	20495063	"SRHRS001.41"
"15060101"	"SR"	"Salt River"	"STINKY CREEK"	"15060101"	NA	"no"	NA	"Fines_percent_<2mm (RIFFLE)"	NA	3.52	"miles"	"Stream"	"Perennial"	643	"05-29-2014"	NA	NA	20493467	"SRSTI000.38"
"15040005"	"UG"	"Upper Gila"	"GILA RIVER"	"15040005-020"	NA	"no"	NA	"Fines_percent_<2mm (REACH)"	NA	7920	"miles"	"Stream"	"Perennial"	2438	"05-07-2013"	NA	NA	21328317	"UGGLR446.02"
"15040005"	"UG"	"Upper Gila"	"GILA RIVER"	"15040005-022"	NA	"no"	NA	"Fines_percent_<2mm (REACH)"	NA	7521.97	"miles"	"Stream"	"Perennial"	443	"05-14-2007"	NA	NA	21328167	"UGGLR452.43"
"15040004"	"UG"	"Upper Gila"	"SAN FRANCISCO RIVER"	"15040004-003"	NA	"no"	NA	"Fines_percent_<2mm (REACH)"	NA	2696.89	"miles"	"Stream"	"Perennial"	395	"05-15-2012"	NA	NA	21357833	"UGSFR019.04"
"15040004"	"UG"	"Upper Gila"	"SAN FRANCISCO RIVER"	"15040004-004"	NA	"no"	NA	"Fines_percent_<2mm (REACH)"	NA	1982.93	"miles"	"Stream"	"Perennial"	458	"05-22-2013"	NA	NA	21356397	"UGSFR034.57"
"15060202"	"VR"	"Verde River"	"Spring Creek"	"VRSPN002.92"	NA	"no"	NA	"Fines_percent_<2mm (REACH)"	NA	71	"miles"	"Stream"	"Perennial"	2591	"05-10-2016"	NA	NA	20454490	"VRSPN002.92"
"15020005"	"LC"	"Little Colorado"	"BILLY CREEK"	"BILLY CREEK - BIL - S - LC - LC - 15020005 (S LC)"	NA	"needs additional sample"	NA	"Biological impairment"	"IBI"	NA	"miles"	"Stream"	"Perennial"	2467	"2014"	NA	NA	21756106	"LCBIL000.15"
"15020010"	"LC"	"Little Colorado"	"CHEVELON CANYON"	"CHEVELON CANYON - CHC - S - LC - LC - 15020010 (S LC)"	NA	"Yes*"	NA	"Biological impairment"	"IBI"	NA	"miles"	"Stream"	"Perennial"	251	"2014"	NA	NA	21740788	"LCCHC073.26"
"15020008"	"LC"	"Little Colorado"	"EAST CLEAR CREEK"	"EAST CLEAR CREEK - ECL - S - LC - LC - 15020008 (S LC)"	NA	"Yes*"	NA	"Biological impairment"	"IBI"	NA	"miles"	"Stream"	"Perennial"	312	"2014"	NA	NA	21745557	"LCECL009.39"
"15020001"	"LC"	"Little Colorado"	"NUTRIOSO CREEK"	"NUTRIOSO CREEK - NUT - S - LC - LC - 15020001 (S LC)"	NA	"needs additional sample"	NA	"Biological impairment"	"IBI"	NA	"miles"	"Stream"	"Perennial"	1026	"2014"	NA	NA	20585142	"LCNUT011.29"
"15020001"	"LC"	"Little Colorado"	"Rosey Creek"	"ROSEY CREEK - ROS - S - LC - LC - 15020001 (S LC)"	NA	"needs additional sample"	NA	"Biological impairment"	"IBI"	NA	"miles"	"Stream"	"Perennial"	2471	"2014"	NA	NA	20585342	"LCROS000.25"
"15020005"	"LC"	"Little Colorado"	"SHOW LOW CREEK"	"SHOW LOW CREEK - SHL - S - LC - LC - 15020005 (S LC)"	NA	"Yes*"	NA	"Biological impairment"	"IBI"	NA	"miles"	"Stream"	"Perennial"	1920	"2014"	NA	NA	21756096	"LCSHL031.05"
"15020005"	"LC"	"Little Colorado"	"SILVER CREEK (reach #009)"	"SILVER CREEK - SIL - S - LC - LC - 15020005 (S LC)"	NA	"Yes*"	NA	"Biological impairment"	"IBI"	NA	"miles"	"Stream"	"Perennial"	2234	"2014"	NA	NA	21754668	"LCSIL027.05"
"15020005"	"LC"	"Little Colorado"	"SILVER CREEK (reach #013)"	"SILVER CREEK - SIL - S - LC - LC - 15020005 (S LC)"	NA	"Yes*"	NA	"Biological impairment"	"IBI"	NA	"miles"	"Stream"	"Perennial"	588	"2011"	NA	NA	21755918	"LCSIL043.84"
"15050201"	"SP"	"San Pedro"	"GRANT CREEK"	"GRANT CREEK - GRA - S - SP - WP - 15050201 (S SP)"	NA	"Yes*"	NA	"Biological impairment"	"IBI"	NA	"miles"	"Stream"	"Perennial"	718	"2012"	NA	NA	21258377	"SPGRA007.71"
"15050203"	"SP"	"San Pedro"	"SAN PEDRO RIVER"	"SAN PEDRO RIVER - SPR - S - SP - SP - 15050203 (S SP)"	NA	"NO"	NA	"Biological impairment"	"IBI"	NA	"miles"	"Stream"	"Perennial"	2410	"2013"	NA	NA	15918897	"SPSPR015.42"
"15050201"	"SP"	"San Pedro"	"Turkey Creek"	"TURKEY CREEK - TUR - S - SP - WP - 15050201 (S SP)"	NA	"needs additional sample"	NA	"Biological impairment"	"IBI"	NA	"miles"	"Stream"	"Perennial"	1072	"2012"	NA	NA	21263991	"SPTUR028.53"
"15040004"	"UG"	"Upper Gila"	"BLUE RIVER (reach #15040004-026)"	"BLUE RIVER (BLR) - BLR - S - UG - UG - 15040004 (S UG)"	NA	"Yes*"	NA	"Biological impairment"	"IBI"	NA	"miles"	"Stream"	"Perennial"	2534	"2015"	NA	NA	21352277	"UGBLR028.77"
"15060203"	"VR"	"Verde River"	"ELLISON CREEK"	"ELLISON CREEK - ELL - S - VR - VR - 15060203 (S VR)"	NA	"needs additional sample"	NA	"Biological impairment"	"IBI"	NA	"miles"	"Stream"	"Perennial"	707	"2011"	NA	NA	20436604	"VRELL009.02"
"15060203"	"VR"	"Verde River"	"EAST VERDE RIVER"	"EAST VERDE RIVER - EVR - S - VR - VR - 15060203 (S VR)"	NA	"YES*"	NA	"Biological impairment"	"IBI"	NA	"miles"	"Stream"	"Perennial"	996	"2014"	NA	NA	20438170	"VREVR051.15"
"15060203"	"VR"	"Verde River"	"PINE CREEK (reach#049B)"	"PINE CREEK (PIE) - PIE - S - VR - VR - 15060203 (S VR)"	NA	"YES"	NA	"Biological impairment"	"IBI"	NA	"miles"	"Stream"	"Perennial"	2364	"2013"	NA	NA	20436898	"VRPIE008.19"
