	COMID	W___IMPERV	SLOPE	SLOPEGRADW	AWS050WTA	SLOPELENKM	RunOffV	MINELEVSMO	W___AGRIC	TempV	HYDCLPRS	W___CANAL_	DivDASqKM	W_RD_CROSS	ST_ORDER	ROCKTYPE1	HYDGRPDCD	DRCLASSDCD	HGroup	KGroup	Temp	HGroup2	KGroup2
3372	22555590	10.12234707	0.00001	5.9	5.36	0.533	88.263397	44602	0	1811.849975	51	0.898235404	0.7209	4.161464836	1	Alluvium	B	3	2	4	18.11849975	5	1
3373	22524869	1.541144902	0.01	4.3	6.15	0.211	105.184997	40232	0	1778.599975	43	0	7.0434	1.135815089	1	Alluvium	NA	3	2	1	17.78599975	5	1
3374	17572935	0.051960979	0.02276855	43.700001	7.59	1.145	150.729003	19575	0	1639.70996	42	0	9.0414	0.663614042	2	Rock	B	3	5	3	16.3970996	2	2
3375	20332652	0.023628692	0.28947407	43.900002	4.08	1.35	71.926597	22934	0	1682.310058	50	0	1.0665	0	1	Rock	C	4	3	2	16.82310058	3	2
3376	17563702	0	0.12391953	43.700001	7.59	1.541	71.150199	32935	0	1800.079956	42	0	0.7308	0	1	Rock	B	3	5	2	18.00079956	2	2
3377	22514480	0.957593123	0.13285298	47.700001	4.81	2.0610001	101.93	38757	0	1745.72998	46	0	1.5705	0.636739892	1	Rock	D	NA	4	2	17.4572998	4	2
3378	17586962	1.469967532	0.05941591	43.700001	7.59	1.558	64.810897	6081	0	1549.660034	42	0	1.1088	0.901875902	1	Rock	B	3	5	3	15.49660034	2	2
3379	20333398	0.340797378	0.10560093	43.900002	4.08	1.714	93.883697	65867	0	1553.400024	50	0	1.6479	2.427331756	1	Rock	C	4	3	3	15.53400024	3	2
3380	22547111	0.137493454	0.00145251	0	0	0.537	17	44792	0.070499134	1784.369995	100	0	44.6814	0.738562355	3	Rock	NA	NA	1	2	17.84369995	1	2
3381	20333274	0.400199601	0.03327125	43.900002	4.08	1.235	50.802398	47184	0	1686.70996	50	0	0.9018	3.326679973	1	Rock	C	4	3	2	16.8670996	3	2
3382	22548225	7.455085743	0.00717937	6.1	6.18	2.3469999	20.698099	33348	2.544418993	1765.530029	78	0	14.5377	1.788453469	1	Alluvium	B	3	2	1	17.65530029	5	1
3383	948070444	20.61184792	NA	NA	NA	NA	14	NA	0.884173298	1689.569946	NA	0	0.2187	3.929659102	0	Water	NA	NA	1	5	16.89569946	1	4
3384	20331958	4.842966507	0.00172625	9.1	5.13	0.979	14	159	2.486246792	1658.20996	74	0.048757114	885.7206	0.67854355	4	Alluvium	D	4	1	1	16.5820996	1	1
3385	22532988	9.315789474	0.03502747	46	4.24	0.728	14.001199	38940	0	1790.569946	75	0	1.4706	5.43995648	1	Rock	D	3	4	2	17.90569946	4	2
3386	17563870	6.440791738	0.02262552	43.700001	7.59	3.306	31.0379	20955	0	1705.800048	42	0	5.229	2.486135016	2	Rock	B	3	5	2	17.05800048	2	2
3387	22549101	2.42338198	0.0283842	44.799999	2	6.585	70.442703	31993	3.815038071	1758.189941	75	0.180424367	11.3472	1.674421884	1	Rock	D	NA	4	2	17.58189941	4	2
3388	948070165	6.667619389	0.00001	16.5	3.43	0.079	14	1777	0.500559459	1743	57	0.015160464	1005.435	0.795675504	5	Alluvium	D	3	2	4	17.43	4	1
3389	22558256	0.49584205	0.00003984	52.900002	4.31	0.251	245.36	68181	0.049068981	1708.48999	85	0.000278057	69.6978	0.373039034	3	Alluvium	C	4	3	1	17.0848999	3	5
3390	22561298	0.702996429	0.02616838	37.299999	7.58	0.582	34.04	34156	0	1767.73999	45	0	5.7969	1.380047957	2	Rock	C	3	5	2	17.6773999	2	2
3391	20325223	0	0.08550194	31.5	6.38	2.052	80.435897	51639	0	1590.869995	45	0	2.0502	0	1	Rock	C	3	5	3	15.90869995	2	2
3392	22556158	0.456811255	0.04586583	5.9	5.36	0.641	20.7614	60976	0.275539598	1767.75	51	0.149836132	129.3462	0.587570412	3	Alluvium	B	3	2	4	17.6775	5	1
3393	20333802	0.084701815	0.11928629	46	4.24	1.233	40.343601	37314	0	1646.069946	75	0	3.1239	0	2	Rock	D	3	4	2	16.46069946	4	2
3394	22602193	0.19612069	0.08353736	8.3	4.55	1.405	129.128997	120034	0	1374.050048	98	0	1.6704	0.598659004	1	Rock	A	5	1	3	13.74050048	1	2
3395	22558212	20.91016312	0.01052173	4.3	4.51	0.23	35.514301	30616	0	1838.180053	35	0.055287862	29.6838	2.695072733	2	Alluvium	A	4	6	6	18.38180053	6	5
3396	22532950	4.804505185	0.00001	46	4.24	0.662	14	42439	9.580712392	1786	75	0.082699314	1429.353	0.758385088	5	Water	D	3	4	5	17.86	4	4
3397	20342005	28.83599419	0.00001	9.1	5.13	0.524	14	396	0	1652.260009	74	0	0.6201	0	1	Alluvium	D	4	1	1	16.52260009	1	3
3398	17564868	0.096862406	0.02002525	43.700001	7.59	1.584	98.357398	53598	0	1786.45996	42	0	6.2532	0.479754366	2	Rock	B	3	5	2	17.8645996	2	2
3399	22523243	17.8458498	0.03699603	37.299999	7.58	3.279	73.986396	23791	0	1800.150024	45	0	2.0493	2.927829015	1	Rock	C	3	5	2	18.00150024	2	2
3400	17591168	0.02243982	0.01868501	23.200001	4.25	1.962	78.3069	7544	0	1418.140014	45	0	6.6177	0	2	Rock	D	NA	4	3	14.18140014	1	2
3401	22545211	0.032104637	0.11426315	46	4.24	1.33	17	50526	0	1772.060058	75	0	0.7569	1.321178491	1	Rock	D	3	4	2	17.72060058	4	2
3402	17572895	0.225102046	0.01972323	2.5	6.02	1.915	90.029098	15041	1.987987073	1640.670043	75	0	112.2291	0.454427595	4	Alluvium	B	3	2	4	16.40670043	5	1
3403	20348329	0.332326649	0.02750123	43.900002	4.08	2.029	38.678501	58506	0	1800.130004	50	0	7.4502	0.805347507	2	Rock	C	4	3	2	18.00130004	3	2
3404	17590244	0	0.14647664	23.200001	4.25	1.263	116.202003	8387	0	1476.550048	45	0	0.9711	0	1	Rock	D	NA	4	3	14.76550048	1	2
